"Name des Begünstigten","Bezeichnung des Vorhabens","Zusammenfassung des Vorhabens","Datum des Beginns des Vorhabens","Datum des Endes des Vorhabens","Gesamtbeitrag der förderfähigen Ausgaben des Vorhabens","Postleitzahl des Vorhabens oder andere angemessene Standortindikatoren","Land","Bezeichnung der Interventionskategorie für das Vorhaben gemäß Artikel 96 Absatz 2 Unterabsatz 1 Buchstabe b Ziffer vi"
Caritasverband für die Regionen Fulda und Geisa e. V.    ,Übergangsmanagement von Strafgefangenen,Übergangsmanagement in der JVA Fulda  ,1/1/2016,12/31/2016,"17,600.00",Fulda,Deutschland,109
Caritasverband Giessen E.V    ,Arbeitsmarktbudget,"Sozialberatung für Schuldner/innen, die nach SGB II, III, VIII und XII anspruchsberechtigt sind",3/1/2015,12/31/2017,"387,000.00",Gießen,Deutschland,109
Caritasverband Wetzlar/Lahn-Dill-Eder e.V.    ,Praxis und Schule (PuSch),PuSch A: Gesamtschule Solms  ,9/1/2015,7/31/2016,"15,500.00",Wetzlar,Deutschland,115
Caritasverband Wiesbaden-Rheingau-Taunus e.V.    ,Arbeitsmarktbudget,Projektname: Schuldnerberatung  ,4/1/2015,3/31/2018,"421,400.00",Wiesbaden,Deutschland,109
Caritasverband Wiesbaden-Rheingau-Taunus e.V.    ,Arbeitsmarktbudget,Projektname: Suchtberatung im Rahmen von SGB II und SGB XII  ,4/1/2015,3/31/2018,"190,100.00",Wiesbaden,Deutschland,109
Carsten Huebner Büro für Versicherungen    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/5/2015,9/30/2016,"4,156.00",Mühltal,Deutschland,118
Central-Apotheke Inh. Susanne Al-Talibi-Namvar    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/14/2016,8/14/2016,"4,156.00",Heuchelheim,Deutschland,118
China Restaurant YUNG Nichi GmbH    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/15/2015,7/31/2016,"4,156.00",Frankfurt am Main,Deutschland,118
China Restaurant YUNG Nichi GmbH    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/11/2016,7/31/2016,"4,156.00",Frankfurt am Main,Deutschland,118
Clemens Würkner Friseurmeister    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/16/2016,12/31/2016,"4,156.00",Wiesbaden,Deutschland,118
Come In Scholz GbR    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/15/2015,7/31/2016,"4,156.00",Hanau,Deutschland,118
Come In Scholz GbR    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/15/2015,7/31/2016,"4,156.00",Hanau,Deutschland,118
connmove GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,4/4/2016,10/3/2017,"4,156.00",Rimbach,Deutschland,118
connmove GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,4/4/2016,10/3/2017,"4,156.00",Rimbach,Deutschland,118
ConRat WebSolutions GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,11/13/2015,9/6/2017,"4,156.00",Ringgau,Deutschland,118
