"Name des Begünstigten","Bezeichnung des Vorhabens","Zusammenfassung des Vorhabens","Datum des Beginns des Vorhabens","Datum des Endes des Vorhabens","Gesamtbeitrag der förderfähigen Ausgaben des Vorhabens","Postleitzahl des Vorhabens oder andere angemessene Standortindikatoren","Land","Bezeichnung der Interventionskategorie für das Vorhaben gemäß Artikel 96 Absatz 2 Unterabsatz 1 Buchstabe b Ziffer vi"
T & W GmbH & Co. Stahlbau KG      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/23/2015,7/31/2016,"4,156.00",Rüsselsheim,Deutschland,118
Taunusdienste - gemeinnützige Arbeitsförderungsgesellschaft mbH im Hochtaunuskreis  ,Arbeitsmarktbudget,Clearingstelle vom Übergang Asylbereich zum SGB II  ,6/1/2015,5/31/2018,"219,400.00",Bad Homburg v.d.Höhe,Deutschland,109
Technische Universität Darmstadt      ,"Offene Hochschulen: Potentiale nutzen, Übergänge vorbereiten","Qualification, Support, Integration - Studienbegleitende Maßnahmen für internationale Master-Studierende (QuaSI)",1/1/2016,12/31/2018,"581,900.00",Darmstadt,Deutschland,116
Technologie- und Innovationszentrum Gießen GmbH    ,Bildungsberatung und -coaching,Bildungscoach Landkreis Gießen  ,1/1/2015,12/31/2016,"173,700.00",Gießen,Deutschland,117
Telo Hoch- und Tiefbau GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,3/16/2016,7/27/2016,"4,156.00",Maintal,Deutschland,118
Tierarztpraxis Dr. Maike Höch    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,3/17/2016,6/30/2016,"4,156.00",Frankfurt am Main,Deutschland,118
"TIGZ Technologie-, Innovations- und Gründungszentrum GmbH    ",Arbeitsmarktbudget,Kultur verbindet - Creative Industries Meets Immigrants (CIMI)  ,10/1/2015,12/31/2016,"273,100.00",Ginsheim-Gustavsburg,Deutschland,109
Top Two Beauty Center Inh. Jutta Becker    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/17/2016,9/30/2017,"4,156.00",Bad Wildungen,Deutschland,118
Trockendock e.V.      ,Arbeitsmarktbudget,Sozialpädagogische Begleitung von Personen mit psychischen Auffälligkeiten,4/1/2015,3/31/2016,"91,000.00",Friedberg,Deutschland,109
Trockendock e.V.      ,Arbeitsmarktbudget,Sozialpädagogische Begleitung von Personen mit Suchthintergrund in Arbeitsgelegenheiten oder anderen Maßnahmen,4/1/2015,3/31/2016,"90,700.00",Friedberg,Deutschland,109
Trockendock e.V.      ,Qualifizierung und Beschäftigung junger Menschen,VAMOS  ,1/1/2015,12/31/2015,"138,200.00",Friedberg,Deutschland,109
Trockendock e.V.      ,Qualifizierung und Beschäftigung junger Menschen,VAMOS! Vermittlung - Aktivierung - Motivation - Orientierung - Soziale Kompetenzen,1/1/2016,12/31/2016,"138,200.00",Friedberg,Deutschland,109
Türkisch-Deutsche Gesundheitsstiftung e. V.    ,Impulse der Arbeitsmarktpolitik (IdeA),"ABC Aktivierung, Beratung, Coaching bes. von MigrantInnen zum Einstieg in Gesundheits- u. Pflegeberufe zur Fachkräftesicherung",1/1/2015,12/31/2017,"368,500.00",Gießen,Deutschland,109
Universität Kassel Der Präsident    ,"Offene Hochschulen: Potentiale nutzen, Übergänge vorbereiten",Potentiale nutzen II - Fachliche Integration im Studium und Karriereförderung für den Übergang in den deutschen Arbeitsmarkt,1/1/2016,12/31/2018,"803,200.00",Kassel,Deutschland,116
UnternehmensGrün e.V. Bundesverband der grünen Wirtaschaft    ,Projekte der beruflichen Bildung,Nachhaltigkeitstrainee Hessen  ,7/1/2016,6/30/2017,"107,900.00",Berlin,Deutschland,118
Verbraucherzentrale Hessen e.V.      ,Arbeitsmarktbudget,"Schuldnerberatung als passgenaue, flankierende Hilfen für den Schwalm-Eder-Kreis",4/1/2015,12/31/2015,"75,600.00",Frankfurt am Main,Deutschland,109
Verein für sozialpädagogisches Management e.V.    ,Praxis und Schule (PuSch),PuSch B: Berufliche Schulen des Main-Kinzig-Kreises  ,8/1/2015,7/31/2016,"15,000.00",Hammersbach,Deutschland,115
"Verein für Sozialpolitik, Bildung und Berufsförderung e.V.    ",Bildungsberatung und -coaching,Bildungscoach Landkreis Kassel  ,1/1/2015,12/31/2016,"124,700.00",Kassel,Deutschland,117
"Verein für Sozialpolitik, Bildung und Berufsförderung e.V.    ",Bildungsberatung und -coaching,Bildungscoach Stadt Kassel  ,1/1/2015,12/31/2016,"127,200.00",Kassel,Deutschland,117
Verein zur beruflichen Förderung von Frauen e.V.    ,Impulse der Arbeitsmarktpolitik (IdeA),"""Neue Wege - Neue Pläne"", NeW - Netzwerk Wiedereinstieg",1/1/2015,12/31/2016,"293,000.00",Frankfurt,Deutschland,109
Verein zur Förderung der Schulen der Stadt Gießen e.V.    ,Praxis und Schule (PuSch),PuSch A: Brüder-Grimm-Schule  ,8/1/2015,7/31/2016,"60,500.00",Gießen,Deutschland,115
Verein zur Förderung und Unterstützung der Integrierten Gesamtschule Kelsterbach e.V.  ,Praxis und Schule (PuSch),PuSch A: IGS Kelsterbach  ,8/1/2015,7/31/2016,"30,000.00",Kelsterbach,Deutschland,115
Vermessungsbüro Wehrmann      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,3/24/2016,7/31/2017,"4,156.00",Eschwege,Deutschland,118
Vetrogel Deutschlandvertrieb e.K. Inh. Mehmet Cakar    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,11/5/2015,8/31/2017,"4,156.00",Limburg,Deutschland,118
Vetrogel Deutschlandvertrieb e.K. Inh. Mehmet Cakar    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,11/5/2015,8/31/2017,"4,156.00",Limburg,Deutschland,118
Vetrogel Deutschlandvertrieb e.K. Inh. Mehmet Cakar    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,10/20/2015,9/30/2016,"4,156.00",Limburg,Deutschland,118
Vodafone Fachhandel Wetzlar      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/17/2016,8/16/2017,"4,156.00",Wetzlar,Deutschland,118
Vogelsberg Consult GmbH      ,Bildungsberatung und -coaching,Bildungscoach Vogelsberg  ,1/1/2015,12/31/2016,"191,700.00",Alsfeld,Deutschland,117
Vogelsberg Consult GmbH      ,QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule im Vogelsbergkreis,1/1/2016,12/31/2017,"148,000.00",Alsfeld,Deutschland,117
Volkshochschule Frankfurt am Main      ,Alphabetisierung und Grundbildung Erwachsener,Grundbildungszentrum Frankfurt  ,1/1/2016,12/31/2019,"344,700.00",Frankfurt am Main,Deutschland,117
Volkshochschule Rheingau-Taunus e.V.      ,Bildungsberatung und -coaching,Bildungscoaches Landkreis Rheingau-Taunus  ,1/1/2015,12/31/2016,"161,900.00",Taunusstein,Deutschland,117
Volkshochschule Rheingau-Taunus e.V.      ,Praxis und Schule (PuSch),"PuSch A: Reformschule Rheingau, Oestrich-Winkel  ",8/1/2015,7/31/2017,"45,000.00",Taunusstein,Deutschland,115
Volkshochschule Rheingau-Taunus e.V.      ,Praxis und Schule (PuSch),PuSch B: Berufliche Schulen Rheingau  ,8/1/2015,7/31/2016,"30,000.00",Taunusstein,Deutschland,115
Volkshochschule Rheingau-Taunus e.V.      ,Praxis und Schule (PuSch),PuSch B: Berufliche Schulen Untertaunus  ,8/1/2015,7/31/2016,"30,000.00",Taunusstein,Deutschland,115
Volkshochschule Wiesbaden e.V.      ,Alphabetisierung und Grundbildung Erwachsener,Grundbildungszentrum in der Landeshauptstadt Wiesbaden  ,1/1/2016,12/31/2019,"369,400.00",Wiesbaden,Deutschland,117
WACON Internet GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/11/2016,8/31/2017,"4,156.00",Idstein,Deutschland,118
Walter-Kolb-Stiftung e.V.      ,Bildungsberatung und -coaching,Bildungscoach Stadt Frankfurt  ,1/1/2015,12/31/2016,"129,700.00",Frankfurt am Main,Deutschland,117
Weiterbildung Hessen e.V.      ,Projekte der beruflichen Bildung,Ausbau und Betrieb der Hessischen Weiterbildungsdatenbank  ,1/1/2016,6/30/2017,"205,100.00",Frankfurt am Main,Deutschland,118
Weiterbildung Hessen e.V.      ,Projekte der beruflichen Bildung,"Öffentlichkeitsarbeit zum Thema Weiterbildung, Qualifizierungsscheck und Nachqualifizierung (Infomobil)",1/1/2015,6/30/2017,"295,100.00",Frankfurt am Main,Deutschland,118
Weiterbildung Hessen e.V.      ,Projekte der beruflichen Bildung,Qualitätssicherung und Transparenz in der beruflichen Bildung - Förderung der Vereinstätigkeit von Weiterbildung Hessen e.V.,1/1/2015,6/30/2017,"655,300.00",Frankfurt am Main,Deutschland,118
Weiterbildung Hessen e.V.      ,Projekte der beruflichen Bildung,"Qualitätssicherung und Transparenz in der beruflichen Bildung ""Nachqualifizierungsoffensive""",1/1/2015,6/30/2017,"530,400.00",Frankfurt am Main,Deutschland,118
Weiterbildung Hessen e.V.      ,Projekte der beruflichen Bildung,Umsetzung der Marketing Kampagne ProAbschluss  ,12/1/2015,12/31/2017,"1,159,000.00",Frankfurt am Main,Deutschland,118
Weiterbildung Hessen e.V.      ,Projekte der beruflichen Bildung,Umsetzung des Förderinstruments Qualifizierungsscheck  ,7/1/2015,6/30/2017,"346,300.00",Frankfurt am Main,Deutschland,118
Weiterbildung Hessen e.V.      ,Qualifizierungsscheck,"Weiterleitungsmittel Programm ""Qualifizierungsschecks""  ",7/1/2015,6/30/2017,"2,921,300.00",Frankfurt am Main,Deutschland,117
Welle gGmbH      ,Praxis und Schule (PuSch),PuSch A: Erich-Kästner-Schule  ,8/1/2015,7/31/2016,"33,000.00",Maintal,Deutschland,115
Werbeagentur gravhics Inh. Verena Hasler    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,3/24/2016,7/31/2017,"4,156.00",Kelkheim,Deutschland,118
Werkhof Darmstadt e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Inklusive Qualifizierung und Beschäftigung 2016  ,1/1/2016,12/31/2016,"155,400.00",Darmstadt,Deutschland,109
Werkhof Darmstadt e.V.      ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschäftigung junger Menschen 2015  ,1/1/2015,12/31/2015,"151,100.00",Darmstadt,Deutschland,109
Werkstatt für junge Menschen Eschwege e.V.    ,Praxis und Schule (PuSch),PuSch A: Brüder-Grimm-Schule Eschwege  ,8/1/2015,7/31/2017,"50,000.00",Eschwege,Deutschland,115
Werkstatt für junge Menschen Eschwege e.V.    ,Praxis und Schule (PuSch),PuSch A: Jakob-Grimm-Schule  ,8/1/2015,7/31/2017,"46,400.00",Eschwege,Deutschland,115
Werkstatt für junge Menschen Eschwege e.V.    ,Praxis und Schule (PuSch),PuSch B: Berufliche Schulen Eschwege  ,8/1/2015,7/31/2016,"16,800.00",Eschwege,Deutschland,115
Werkstatt für junge Menschen Eschwege e.V.    ,QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule im Werra-Meißner-Kreis,1/1/2016,7/31/2017,"145,500.00",Eschwege,Deutschland,117
Werkstatt für junge Menschen Eschwege e.V.    ,Qualifizierung und Beschäftigung junger Menschen,AQUA AusbildungQualifizierungArbeit  ,1/1/2015,12/31/2015,"188,800.00",Eschwege,Deutschland,109
Werkstatt für junge Menschen Eschwege e.V.    ,Qualifizierung und Beschäftigung junger Menschen,AQUA AusbildungQualifizierungArbeit  ,1/1/2016,12/31/2016,"191,300.00",Eschwege,Deutschland,109
Werra-Meißner-Kreis      ,Arbeitsmarktbudget,"Erweiternde, vertiefende Qualifizierung und Abbau von Sprach- und Beschäftigungshemmnissen ausländischer Mitbürger im WMK",5/9/2016,12/31/2017,"72,900.00",Eschwege,Deutschland,109
Werra-Meißner-Kreis      ,Arbeitsmarktbudget,"ProCase-Management im SGB XII, 3. Kapitel und Qualifizierung der Mitarbeiter",6/1/2015,4/30/2017,"62,400.00",Eschwege,Deutschland,109
Werra-Meißner-Kreis      ,Arbeitsmarktbudget,Psychosoziale Hilfen und Suchtberatung  ,4/15/2015,4/14/2016,"44,100.00",Eschwege,Deutschland,109
Werra-Meißner-Kreis      ,Arbeitsmarktbudget,Qualifizierung und Abbau von Sprach- und Beschäftigungshemmnissen ausländischer Mitbürger/innen,6/1/2015,12/31/2016,"122,700.00",Eschwege,Deutschland,109
Werra-Meißner-Kreis      ,Arbeitsmarktbudget,"""2-Klang""-AGH Arbeit und Sprache mit arbeitspädagogischer Begleitung",6/1/2016,2/28/2017,"194,300.00",Eschwege,Deutschland,109
Werra-Meißner-Kreis      ,Bildungsberatung und -coaching,Bildungscoach im Werra-Meißner-Kreis  ,1/1/2015,12/31/2016,"156,800.00",Eschwege,Deutschland,117
Wilhelm Roth GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,1/1/2016,7/31/2016,"4,156.00",Frankfurt,Deutschland,118
Wirtschaftsförderung und Regional- management Waldeck-Frankenberg GmbH    ,Bildungsberatung und -coaching,Bildungscoach Landkreis Waldeck-Frankenberg  ,1/1/2015,12/31/2016,"170,700.00",Frankenberg,Deutschland,117
Wirtschaftsförderung Wetterau GmbH      ,Bildungsberatung und -coaching,Bildungscoach Wetteraukreis  ,1/1/2015,12/31/2016,"70,800.00",Friedberg,Deutschland,117
Wissenschaftsstadt Darmstadt      ,Arbeitsmarktbudget,Schuldner- und Insolvenzberatung  ,5/1/2015,4/30/2017,"324,500.00",Darmstadt,Deutschland,109
WohnTraum Immobilien GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,4/28/2016,8/31/2017,"4,156.00",Kassel,Deutschland,118
WVK Versicherungsmakler Krayer GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/9/2015,8/31/2016,"4,156.00",Eltville,Deutschland,118
WVK Versicherungsmakler Krayer GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/9/2015,8/31/2016,"4,156.00",Eltville,Deutschland,118
xpression Sandrock GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,3/30/2016,9/30/2017,"4,156.00",Münster,Deutschland,118
Zaug GmbH      ,Alphabetisierung und Grundbildung Erwachsener,Grundbildungszentrum Gießen - Für Bürger/innen der Stadt und des Landkreises Gießen,1/1/2016,12/31/2019,"332,000.00",Giessen,Deutschland,117
Zaug GmbH      ,Bildungsberatung und -coaching,Nachqualifizierungsberatungsstelle Mittelhessen  ,1/1/2015,12/31/2016,"253,000.00",Giessen,Deutschland,117
Zaug GmbH      ,Impulse der Arbeitsmarktpolitik (IdeA),Arbeitsintegrierte Nachqualifizierung in der Altenpflege ANQA-L (im ländlichen Raum),1/1/2015,8/31/2016,"428,900.00",Giessen,Deutschland,109
Zaug GmbH      ,Impulse der Arbeitsmarktpolitik (IdeA),"Dienstleistungsagentur ""Zeitgewinn"" mit modularer Qualifizierung zur Dienstleistungsfachkraft",11/15/2015,11/14/2017,"234,900.00",Giessen,Deutschland,109
Zaug GmbH      ,Impulse der Arbeitsmarktpolitik (IdeA),Region stärkt Frauen und Beruf im Landkreis Gießen  ,1/1/2015,12/31/2016,"30,600.00",Giessen,Deutschland,109
Zaug GmbH      ,QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule in der Region Gießen,7/1/2015,6/30/2017,"237,100.00",Giessen,Deutschland,117
"Zentrum für Kinder-, Jugend- und Familienhilfe Main-Kinzig e.V. (ZKJF)  ",QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule im Main-Kinzig-Kreis,1/1/2016,12/31/2017,"155,400.00",Hanau,Deutschland,117
Zentrum für Weiterbildung gGmbH      ,Arbeitsmarktbudget,"WEGE in DA-DI Ankommen in Deutschland, Wege in Erwerbstätigkeit und Gesellschaft ebnen",7/1/2016,6/30/2018,"776,000.00",Frankfurt am Main,Deutschland,109
Zentrum für Weiterbildung gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,Step up! - Arbeit und Qualifizierung im Produktionsschulbetrieb.  Berufsabschluss Fachkraft im Gastgewerbe,1/1/2016,12/31/2016,"146,800.00",Frankfurt am Main,Deutschland,109
Zentrum für Weiterbildung gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,"TOP Fit - Training, Orientierung und Praxis für junge Frauen  ",1/1/2015,12/31/2015,"88,100.00",Frankfurt am Main,Deutschland,109
Zentrum für Weiterbildung gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,TOP fit 2.0 - Gendersensible Qualifizierung und Beschäftigung für junge Menschen,1/1/2016,12/31/2016,"209,100.00",Frankfurt am Main,Deutschland,109
Zior Beratender Ingenieur GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/5/2015,8/31/2017,"4,156.00",Darmstadt,Deutschland,118
Zuhause betreut Inh. Michelle Schikatis    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/17/2016,9/30/2017,"4,156.00",Dieburg,Deutschland,118
