Tytu³ projektu;Nazwa beneficjenta;Wartoœæ projektu;Dofinansowanie z EU;Multimedia;Dziedzina;Czy projekt jest realizowany na obszarze wiêkszym ni¿ jedna jednostka administracyjna?
Zakup sprzêtu komputerowego, urz¹dzeñ peryferyjnych oraz licencji oprogramowania dla Generalnej Dyrekcji Ochrony Œrodowiska i Regionalnych Dyrekcji Ochrony Œrodowiska.;GENERALNA DYREKCJA OCHRONY ŒRODOWISKA;3177500.00;953030.20;Nie;brak;Nie
Wsparcie zatrudnienia w G³ównym Urzêdzie Statystycznym w celu realizacji zadañ zwi¹zanych z monitorowaniem polityki spójnoœci w roku 2016;G£ÓWNY URZ¥D STATYSTYCZNY;1093000.00;929050.00;Nie;administracja;Nie
Wsparcie instytucji realizuj¹cej politykê spójnoœci poprzez wdra¿anie zapisów dyrektyw unijnych w 2016 roku.;KRAJOWY ZARZ¥D GOSPODARKI WODNEJ;1084292.00;921648.20;Nie;administracja;Nie
Wsparcie zatrudnienia w G³ównym Urzêdzie Statystycznym w celu realizacji zadañ zwi¹zanych z monitorowaniem polityki spójnoœci;G£ÓWNY URZ¥D STATYSTYCZNY;1000000.00;850000.00;Nie;administracja;Nie
Wsparcie pracowników CUPT w zakresie wdra¿ania POIiŒ oraz POPW w 2015 r.;CENTRUM UNIJNYCH PROJEKTÓW TRANSPORTOWYCH;917000.00;751507.10;Nie;administracja;Nie
Dofinansowanie do kosztów zatrudnienia pracowników UOKiK w 2015 roku.;URZ¥D OCHRONY KONKURENCJI I KONSUMENTÓW;790750.00;672137.50;Nie;administracja;Nie
Wsparcie kadrowe KPRM w 2016 roku w zakresie wdra¿ania Programu Operacyjnego Wiedza Edukacja Rozwój 2014-2020;KANCELARIA PREZESA RADY MINISTRÓW;693000.00;589050.00;Nie;administracja;Nie
Podnoszenie kwalifikacji zawodowych pracowników UOKiK w 2016 r.;URZ¥D OCHRONY KONKURENCJI I KONSUMENTÓW;500000.00;425000.00;Nie;brak;Nie
Realizacja przez Wojewodê Ma³opolskiego, Podkarpackiego i Œl¹skiego zadañ Kontrolera Krajowego w programie Interreg VA Polska-S³owacja i Interreg VA Polska-Czechy w roku 2015.;MINISTERSTWO ROZWOJU, DWT;446000.00;379100.00;Nie;administracja;Nie
Wsparcie Urzêdu Zamówieñ Publicznych w zwi¹zku z wykonywaniem zadania zwi¹zanego z realizacj¹ polityki spójnoœci w perspektywie finansowej 2014 - 2020 w latach 2015 -2017.;URZ¥D ZAMÓWIEÑ PUBLICZNYCH;420000.00;357000.00;Nie;brak;Nie
Wsparcie funkcjonowania IK UP w 2016 roku;MINISTERSTWO ROZWOJU, DEPARTAMENT KOORDYNACJI WDRA¯ANIA FUNDUSZY UNII EUROPEJSKIEJ;400000.00;340000.00;Nie;brak;Nie
Wsparcie us³ugami telefonii stacjonarnej i ruchomej stanowisk pracy zaanga¿owanych w realizacjê polityki spójnoœci.;MINISTERSTWO INFRASTRUKTURY I ROZWOJU;361000.00;306850.00;Nie;brak;Nie
Wsparcie instytucji realizuj¹cej politykê spójnoœci poprzez wdra¿anie zapisów dyrektyw unijnych w 2015 roku;KRAJOWY ZARZ¥D GOSPODARKI WODNEJ;341754.00;290490.90;Nie;administracja;Nie
Wsparcie zatrudnienia pracowników Instytucji Wdra¿aj¹cej Program Operacyjny Wiedza Edukacja Rozwój w 2015 r., Ministerstwo Sprawiedliwoœci.;MINISTERSTWO SPRAWIEDLIWOŒCI;327636.00;278490.60;Nie;administracja;Nie
Wsparcie Instytucji Zarz¹dzaj¹cej POPT w realizacji POPT w latach 2015-2016;MINISTERSTWO INFRASTRUKTURY I ROZWOJU;300000.00;255000.00;Nie;brak;Nie
