Tytu≥ projektu;Nazwa beneficjenta;WartoúÊ projektu [z≥];Dofinansowanie z EU [z≥];Multimedia;Dziedzina;Czy projekt jest realizowany na obszarze wiÍkszym niø jedna jednostka administracyjna?
Uruchomienie obs≥ugi transportem kolejowym Lotniska OkÍcie im. Fryderyka Chopina;Szybka Kolej Miejska Sp. z o.o.;369128814.12;238440673.98;Nie;transport;Tak
Zakup taboru kolejowego do obs≥ugi portÛw lotniczych i przewozÛw aglomeracyjnych w kotytarzu linii E-65 oraz aglomeracji warszawskiej;Koleje Mazowieckie Sp. z o.o.;395115106.18;238319254.88;Tak;transport;Tak
Poprawa funkcjonowania krakowskiego transportu miejskiego poprzez zakup niskopod≥ogowego taboru tramwajowego oraz rozbudowÍ systemu Krakowskiej Karty Miejskiej;Miejskie PrzedsiÍbiorstwo Komunikacyjne S.A. z siedzibπ w Krakowie;364000283.27;237344664.49;Nie;transport;Nie
Uporzπdkowanie gospodarki wodno-úciekowej dla ochrony zasobÛw wodnych w Poznaniu i okolicach. Etap I.;Aquanet S.A.;608032513.51;236819190.81;Nie;ochrona úrodowiska;Tak
Zakup pasaøerskiego taboru kolejowego do obs≥ugi po≥πczeÒ miÍdzywojewÛdzkich organizowanych przez WojewÛdztwa: Lubuskie i Zachodniopomorskie;WojewÛdztwo Zachodniopomorskie z siedzibπ UrzÍdu Marsza≥kowskiego WojewÛdztwa Zachodniopomorskiego w Szczecinie;340791962.53;235506640.77;Nie;transport;Tak
Budowa po≥udniowej obwodnicy m. Stargard SzczeciÒski w ciπgu drogi krajowej nr 10;Generalna Dyrekcja DrÛg Krajowych i Autostrad;339581049.83;226511982.42;Nie;transport;Nie
Modernizacja linii kolejowej E 59 na odcinku Wroc≥aw ñ PoznaÒ, etap III, odcinek CzempiÒ ñ PoznaÒ Faza I;PKP Polskie Linie Kolejowe S.A.;380674133.92;225971681.73;Nie;transport;Tak
Zapewnienie prawid≥owej gospodarki wodno-úciekowej miasta Miko≥Ûw;Zak≥ad Inøynierii Miejskiej SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ w Miko≥owie;366446493.93;213851635.11;Nie;ochrona úrodowiska;Nie
Polepszenie jakoúci us≥ug przewozowych poprzez poprawÍ stanu technicznego linii kolejowych nr 61 i 700 na odcinku CzÍstochowa - Fosowskie;PKP Polskie Linie Kolejowe S.A.;353211224.09;211250738.07;Nie;transport;Tak
Modernizacja trasy tramwajowej Dworzec WileÒski ñ Stadion Narodowy ñ Rondo Waszyngtona wraz z zakupem 30 tramwajÛw niskopod≥ogowych;Tramwaje Warszawskie Sp. z o.o.;331983043.29;210390048.82;Nie;transport;Nie
Zintegrowany system gospodarki odpadami dla aglomeracji bia≥ostockiej;"PrzedsiÍbiorstwo Us≥ugowo-Handlowo-Produkcyjne ""LECH"" SpÛ≥ka z o.o.";484220989.43;210000000.00;Nie;ochrona úrodowiska;Tak
RozwÛj szybkiej kolei miejskiej w TrÛjmieúcie;PKP Szybka Kolej Miejska w TrÛjmieúcie Sp.z o.o.;315860761.57;202560595.16;Nie;transport;Tak
Kanalizacja obszaru Parku Krajobrazowego ÑPuszcza Zielonkaî i okolic;Zwiπzek MiÍdzygminny ÑPuszcza Zielonkaî;405854848.24;200136784.40;Nie;ochrona úrodowiska;Tak
Budowa zajezdni tramwajowej Franowo w Poznaniu;Miejskie PrzedsiÍbiorstwo Komunikacyjne w Poznaniu Sp. z o.o.;303034421.26;195109388.91;Nie;transport;Nie
Zakup taboru kolejowego do obs≥ugi po≥πczeÒ miÍdzywojewÛdzkich realizowanych przez WojewÛdztwa: Ma≥opolskie, Podkarpackie, ålπskie i åwiÍtokrzyskie;WojewÛdztwo åwiÍtokrzyskie z siedzibπ w Kielcach reprezentowane przez Zarzπd WojewÛdztwa åwiÍtokrzyskiego;273957691.00;188977859.01;Nie;transport;Tak
Modernizacja gospodarki odpadami komunalnymi w GdaÒsku;Zak≥ad Utylizacyjny Sp. z o.o.;390714505.96;188007024.81;Nie;ochrona úrodowiska;Nie
Budowa PÛ≥nocnej Obwodnicy årÛdmiejskiej we Wroc≥awiu - Etap I.;Gmina Wroc≥aw;265565169.29;184586549.87;Nie;transport;Nie
Integracja systemu transportu miejskiego wraz z zakupem taboru tramwajowego w Toruniu - BiT - City;Gmina Miasta ToruÒ;272718645.93;178159307.31;Nie;transport;Nie
Budowa i przebudowa torowisk w Szczecinie;Gmina Miasto Szczecin;285052248.06;177857627.11;Nie;transport;Nie
"""Rozbudowa wÍz≥a OT (DK S-6) z ul. Kartuskπ (DK7) - wÍze≥ Karczemki w GdaÒsku""";Generalna Dyrekcja DrÛg Krajowych i Autostrad;262392034.80;173932648.46;Nie;transport;Nie
Zakup 20 sztuk nowych piÍtrowych wagonÛw oraz 2 sztuk wagonÛw sterowniczych i 2 sztuk nowych lokomotyw do sk≥adÛw pociπgÛw w systemie push-pull;Koleje Mazowieckie Sp. z o.o.;267267096.06;173820257.60;Nie;transport;Nie
Polepszenie jakoúci us≥ug przewozowych poprzez poprawe stanu technicznego linii kolejowej nr 353 na odcinku Inowroc≥aw-Jab≥onowo Pomorskie ( z wy≥aczeniem odcinka ToruÒ G≥Ûwny- ToruÒ Wschodni);PKP Polskie Linie Kolejowe S.A.;251075099.50;173213932.57;Nie;transport;Tak
Modernizacja i rozbudowa systemu gospodarki wodno - úciekowej miasta Nowego Sπcza z przyleg≥ymi terenami gmin sπsiednich;Sπdeckie Wodociπgi Sp. z o.o.;309674539.00;170899078.36;Nie;ochrona úrodowiska;Tak
Zakup taboru kolejowego przewoøπcego pasaøerÛw do obszarÛw Aglomeracji Warszawskiej;Koleje Mazowieckie Sp. z o.o.;256542645.00;166732996.00;Nie;transport;Nie
"Budowa po≥πczenia kolejowego MPL ""KrakÛw - Balice"" z Krakowem, odcinek KrakÛw G≥Ûwny - Mydlniki - Balice";PKP Polskie Linie Kolejowe S.A.;311901216.99;165935650.91;Nie;transport;Tak
Budowa Zak≥adu Unieszkodliwiania odpadÛw dla miasta Kielce i powiatu kieleckiego w Promniku k/Kielc;PrzedsiÍbiorstwo Gospodarki Odpadami Sp. z o.o.;306003585.25;165076182.00;Nie;ochrona úrodowiska;Nie
Uporzπdkowanie gospodarki odpadami na terenie subregionu koniÒskiego;Miejski Zak≥ad Gospodarki Odpadami Komunalnymi Sp. z o.o.;387742966.32;164469176.12;Nie;ochrona úrodowiska;Tak
"""Czysta woda dla Krakowa""-uporzπdkowanie gospodarki wodno-úciekowej na terenie Gminy Myúlenice";Gmina Myúlenice;315862080.14;161830009.57;Nie;ochrona úrodowiska;Nie
Poprawa bezpieczeÒstwa i likwidacja zagroøeÒ eksploatacyjnych na przejazdach kolejowych - etap II;PKP Polskie Linie Kolejowe S.A.;236425598.89;161472769.46;Nie;transport;Nie
Polepszenie jakoúci us≥ug przewozowych poprzez poprawÍ stanu technicznego linii kolejowej nr 132 na odcinku B≥otnica Strzelecka ñ Opole Groszowice;PKP Polskie Linie Kolejowe S.A.;235988101.29;160829740.54;Nie;transport;Tak
ZwiÍkszenie skutecznoúci prowadzenia d≥ugotrwa≥ych akcji ratowniczych;Komenda G≥Ûwna PaÒstwowej Straøy Poøarnej;186279175.36;158337299.05;Nie;bezpieczeÒstwo;Nie
Wsparcie techniczne ratownictwa ekologicznego i chemicznego;Komenda G≥Ûwna PaÒstwowej Straøy Poøarnej;186262829.83;158146808.54;Nie;bezpieczeÒstwo;Nie
