fonds,start_date,end_date,eu_amount,co_financing,total,title,_source,programme,commune(s),coût_total,porteur_de_projet,objectifs_thématiques,catégorie_d'intervention
FSE,01/01/2014 , 31/12/2015,"160.000,00 €",,"320.000,00 €",Sciprisc 3,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/IFSB_Sciprisc3/index.html,Compétitivité Régionale et Emploi (2007-2013),Bettembourg,,IFSB,Marché de l'emploi,
FSE,01/01/2014 , 31/12/2015,"105.000,00 €",,"210.000,00 €",Anelo II,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/SNJ_Anelo2/index.html,Compétitivité Régionale et Emploi (2007-2013),Luxembourg,,Service national de la Jeunesse,Marché de l'emploi / Education et formation,
FSE,01/01/2014 , 31/12/2015,"336.500,00 €",,"673.000,00 €",Fit 4 financial markets,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/IFBL_Fit4FM/index.html,Compétitivité Régionale et Emploi (2007-2013),Luxembourg,,IFBL,Marché de l'emploi / Education et formation,
FSE,01/01/2013 , 31/12/2015,"249.205,00 €",,"498.410,00 €",Build-TIC,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/IFSB_BuildTIC/index.html,Compétitivité Régionale et Emploi (2007-2013),Bettembourg,,IFSB,Marché de l'emploi / Education et formation,
FSE,01/01/2014 , 31/12/2015,"214.000,00 €",,428.000 €,Uni/Séminaires,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/CSL_Uni/index.html,Compétitivité Régionale et Emploi (2007-2013),Luxembourg,,Chambre des Salariés Luxembourg (CSL),Education et formation,
FSE,01/01/2013 , 31/12/2014,"64.385,00 €",,"128.770,00 €",Create your future,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/ALAC_future/index.html,Compétitivité Régionale et Emploi (2007-2013),Luxembourg,,ALAC,Education et formation,
FSE,01/01/2014 , 31/12/2015,"552.450,00 €",,1.104.900 €,ECDL/VAE,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/CSL_ECDL/index.html,Compétitivité Régionale et Emploi (2007-2013),Luxembourg,,Chambre des Salariés Luxembourg (CSL),Education et formation,
FSE,01/01/2016 , 31/12/2017,73.450 €,,146.900 €,Formation « Secrétaire-comptable » 45+,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2014-2020/1028/index.html,Investissement pour la croissance et l'emploi (2014-2020),Luxembourg,,Initiativ Rëm Schaffen,Education et formation / Marché de l'emploi,102
FSE,01/07/2015 , 31/12/2017,"314.350,00 €",,"628.700,00 €",Y4W-Regio,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2014-2020/1005/index.html,Investissement pour la croissance et l'emploi (2014-2020),Redange sur Attert,,"Syndicat intercommunal ""De Réidener Kanton""",Education et formation / Marché de l'emploi,103
FSE,01/01/2014 , 31/12/2015,"137.050,00 €",,"274.100,00 €",GED II,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/Autisme_GED2/index.html,Compétitivité Régionale et Emploi (2007-2013),Beckerich,,Autisme Luxembourg a.s.b.l.,Education et formation / Inclusion sociale et pauvreté,
FSE,01/01/2014 , 31/12/2014,"29.500,00 €",,"59.000,00 €",Charte de la diversité,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/IMS_Charte/index.html,Compétitivité Régionale et Emploi (2007-2013),Luxembourg,,IMS Luxembourg,Marché de l'emploi,
FSE,01/07/2015 , 31/12/2017,252.500 €,,505.000 €,MCCD,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2014-2020/1014/index.html,Investissement pour la croissance et l'emploi (2014-2020),Betttembourg,,IFSB,Education et formation / Marché de l'emploi,103
