Name des Begünstigten,Bezeichnung des Vorhabens,Jahr Bewilligung ,Jahr Projektende,Gewährte Beträge,bei Abschluss des Vorhabens gezahlte Gesamtbeträge
bras e. V. - arbeiten für bremen,"SVB.Q. bras e. V., ""bras in Huchting- Klönhof/Hermine"",
geförderte Beschäftigung",2011,2012,"291558,12",
bras e. V. - arbeiten für bremen,"SVB.V. bras e. V., ""Netzwerk Hai -
sozialversicherungspflichtige Beschäftigung"", geförderte
Beschäftigung",2011,2012,,"343680,24"
bras e. V. - arbeiten für bremen,"SVB.V. bras e. V., ""Netzwerk Tenever/Vahr/Ellenerbrok-
Schevemoor - sozialversicherungspflichtige
Beschäftigung"", geförderte Beschäftigung",2011,2012,,"420242,96"
bras e. V. - arbeiten für bremen,MiLo bras FAV,2012,2013,"10764,53",
bras e. V. - arbeiten für bremen,"MAE. bras e. V., ""Bremer Geschichte""; geförderte
Beschäftigung ab 02/2013",2013,2014,139740,
bras e. V. - arbeiten für bremen,"MAE.U65R bras e. V., ""Regionales Netzwerk - Netzwerk
Huchtinger Arbeitsinitiative""; geförderte Beschäftigung ab
02/2013",2013,2014,803403,
bras e. V. - arbeiten für bremen,Jugend Informations- und Beratungsstelle Bremen Nord,2008,2010,,216710
bras e. V. - arbeiten für bremen,"MAE.U65R bras e. V., ""Regionales Netzwerk - Netzwerk
Tenever""; geförderte Beschäftigung ab 02/2013",2013,2014,559674,
bras e. V. - arbeiten für bremen,"MAE.U65R bras e. V., ""Regionales Netzwerk - Netzwerk
Marßel""; geförderte Beschäftigung ab 02/2013",2013,2014,"335416,27",
bras e. V. - arbeiten für bremen,"SVB.O. bras e.V, ""Holz Walle"", geförderte Beschäftigung
ab 06/2013",2013,2014,"151351,4",
bras e. V. - arbeiten für bremen,"SVB.O. bras e.V., ""GaLa FAV"", geförderte Beschäftigung
ab 06/2013",2013,2014,67262,
bras e. V. - arbeiten für bremen,"FOR. SVB.O. bras. e. V., ""Bremer Geschichte - live
dabei!"", geförderte Beschäftigung ab 04/2012",2012,2014,758816,
bras e. V. - arbeiten für bremen,"FOR. SVB.V. bras e. V., ""Neztwerk Hai -
sozialversicherungspflichtige Beschäftigung"", geförderte
Beschäftigung ab 04/2012",2012,2014,"60532,03",
bras e. V. - arbeiten für bremen,"Injobs-ESF MAE.U65R. bras e. V., ""Regionales Netzwerk
Süd (HAI)"", geförderte Beschäftigung ab 26.03.2012",2012,2012,136892,
bras e. V. - arbeiten für bremen,"Injobs-ESF MAE.U65R bras e. V., ""Regionales Netzwerk
Nord (Marßel)"", geförderte Beschäftigung ab 26.03.2012",2012,2012,48890,
bras e. V. - arbeiten für bremen,"Injobs-ESF MAE.U65R bras e. V., ""Regionales Netzwerk
Ost (Tenever, Vahr, Blockdiek)"", geförderte Beschäftigung
ab 26.03.2012",2012,2012,"101039,33",
bras e. V. - arbeiten für bremen,Bremen produktiv - integrativ BRAS / CREW,2009,2010,,"645191,75"
Brefunk,Ausbildungsverhältnis,2012,2013,4000,
Brefunk,Ausbildungsverhältnis,2013,2014,4000,
Bremer Bootsbau Vegesack gGmbH,"SVB.O. BBV Bremer Bootsbau Vegesack, ""Schiff Ahoi!""
Vorwärts im Bremer Norden - ein Beitrag zur maritim-
touristischen Erschließung Vegesacks"", geförderte",2011,2011,,"488388,54"
Bremer Bootsbau Vegesack gGmbH,"Bremen produktiv - integrativ Bremer Bootsbau /
Ökologische Anforderungen",2008,2010,"3890601,38",
Bremer Heimstiftung - Schule für Altenpflege,B-Schulverbund der Altenpflegeschulen in Bremen,2008,2011,"1229027,07",
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen",Deutschkurs für ausländische Frauen mit Kinderbetreuung,2008,2009,,"6337,97"
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen","Fortbildung ""Interkulturelle Kompetenz für Multiplikatoren""",2010,2010,,"7635,4"
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen","Fortbildung ""Interkulturelle Kompetenz für Multiplikatoren II""",2011,2011,,"4002,14"
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen",Bewerbungstraining für jugendliche MigrantInnen,2009,2009,,"2940,09"
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen","Deutschkurs / Einstieg Deutsch für ausländische Mütter mit
Kinderbetreuung",2009,2009,,"6494,87"
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen",Nähwerkstatt,2012,2013,"5279,6",
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen",Nähen und Deutsch lernen,2011,2012,,"3581,5"
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen",Grundlagen der EDV - Computerkurs für Frauen,2013,2014,"6204,8",
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen",Deutschkurs für Mütter KiTA- Heilig- Geist- Kirche,2013,2014,7273,
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen",Deutschkurs für Mütter Grundschule Paul-Singer-Straße,2013,2014,"4894,8",
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen","ALPHA - LOS Alphabetisierung von Erwachsenen im Land
Bremen",2012,2014,"94178,29",
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen",Wege in die Stadt,2011,2012,,6800
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen",Wege in die Stadt,2009,2010,,"6407,48"
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen",Deutschkurs Stufe II für Mütter mit Kinderbetreuung,2010,2011,,"9216,1"
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen","Computergrundkurs für junge Mütter, mit Kinderbetreuung",2010,2011,,820
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen",Deutschkurse für Mütter,2012,2012,,"8553,64"
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen","Orientierungskurs: Deutsch und gesellschaftliches
Grundwissen für Migrantinnen.",2008,2009,,"2285,97"
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen",Bewerbungstraining für jugendliche Migrantinnen,2008,2009,,"3433,49"
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen",Deutschkurs für Mütter Grundschule Paul-Singer-Straße,2013,2013,"5506,6",
