Name des Begünstigten,Ort,Bezeichnung des Vorhabens,Beginn des Vorhabens,Ende des Vorhabens,Gewährte öffentliche Beträge in EUR
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Arbeitsmarktbudget,01.01.2013 , 31.12.2013,"245.114,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Arbeitsmarktbudget,01.09.2013 , 31.03.2015,"262.100,00"
Kreisausschuss des Vogelsbergkreises,Lauterbach,Passgenau in Arbeit (PiA),01.01.2008 , 31.12.2008,"152.443,00"
Kreisausschuss des Vogelsbergkreises,Lauterbach,Passgenau in Arbeit (PiA),01.01.2009 , 31.12.2009,"121.000,00"
Kreisausschuss des Vogelsbergkreises,Lauterbach,Passgenau in Arbeit (PiA),01.01.2010 , 31.12.2010,"111.226,00"
Kreisausschuss des Vogelsbergkreises,Lauterbach,Arbeitsmarktbudget,01.01.2011 , 31.12.2011,"153.521,00"
Kreisausschuss des Vogelsbergkreises,Lauterbach,Arbeitsmarktbudget,01.01.2012 , 31.12.2012,"124.658,00"
Kreisausschuss des Vogelsbergkreises,Lauterbach,Arbeitsmarktbudget,01.01.2013 , 31.12.2013,"127.693,00"
Kreisausschuss des Werra-Meißner-Kreises,Eschwege,Passgenau in Arbeit (PiA),01.01.2008 , 31.12.2008,"326.485,00"
Kreisausschuss des Werra-Meißner-Kreises,Eschwege,Passgenau in Arbeit (PiA),01.01.2009 , 31.12.2009,"231.285,00"
Kreisausschuss des Werra-Meißner-Kreises,Eschwege,Passgenau in Arbeit (PiA),01.01.2010 , 31.12.2010,"278.309,00"
Kreisausschuss des Werra-Meißner-Kreises,Eschwege,Arbeitsmarktbudget,01.01.2011 , 31.12.2011,"216.608,00"
Kreisausschuss des Werra-Meißner-Kreises,Eschwege,Arbeitsmarktbudget,01.01.2012 , 31.12.2012,"308.132,00"
Kreisausschuss des Werra-Meißner-Kreises,Eschwege,Arbeitsmarktbudget,01.01.2013 , 31.12.2013,"306.719,00"
Kreisausschuss des Vogelsbergkreises,Lauterbach,Passgenau in Arbeit (PiA),01.01.2010 , 31.12.2010,"111.226,00"
Kreisausschuss des Vogelsbergkreises,Lauterbach,Arbeitsmarktbudget,01.01.2011 , 31.12.2011,"153.521,00"
Kreisausschuss des Vogelsbergkreises,Lauterbach,Arbeitsmarktbudget,01.01.2012 , 31.12.2012,"124.658,00"
Kreisausschuss des Vogelsbergkreises,Lauterbach,Arbeitsmarktbudget,01.01.2013 , 31.12.2013,"127.693,00"
Kreisausschuss des Werra-Meißner-Kreises,Eschwege,Passgenau in Arbeit (PiA),01.01.2008 , 31.12.2008,"326.485,00"
Kreisausschuss des Werra-Meißner-Kreises,Eschwege,Passgenau in Arbeit (PiA),01.01.2009 , 31.12.2009,"231.285,00"
Kreisausschuss des Werra-Meißner-Kreises,Eschwege,Passgenau in Arbeit (PiA),01.01.2010 , 31.12.2010,"278.309,00"
Kreisausschuss des Werra-Meißner-Kreises,Eschwege,Arbeitsmarktbudget,01.01.2011 , 31.12.2011,"216.608,00"
Kreisausschuss des Werra-Meißner-Kreises,Eschwege,Arbeitsmarktbudget,01.01.2012 , 31.12.2012,"308.132,00"
Kreisausschuss des Werra-Meißner-Kreises,Eschwege,Arbeitsmarktbudget,01.01.2013 , 31.12.2013,"306.719,00"
Kreisausschuss des Wetteraukreises,Friedberg,Passgenau in Arbeit (PiA),01.01.2008 , 31.12.2008,"365.895,00"
Kreisausschuss des Wetteraukreises,Friedberg,Quit - Qualifizierungsbeauftragte,01.10.2008 , 30.06.2010,"193.834,00"
