Name des Begünstigten/beneficiary name,Bezeichnung des Vorhabens/operation name,Zusammenfassung des Vorhabens/operation summary,Datum des Beginns des Vorhabens/operation start date,Datum des Endes des Vorhabens/operation end date,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens/total eligible expenditure allocated to the operation,Postleitzahl des Vorhabens/operation postcode,Land/country,Bezeichnung der Interventionskategorie für das Vorhaben/name of category of intervention for the operation,Spezifisches Ziel/specific objective,Internet-Adresse des Vorhabens/website of the operation
Arbeiterwohlfahrt Kreisverband Ulm e.V. ,EINSTIEG + Ulm 2016,"EINSTIEG + Stadt Ulm 2016 - Weitere Qualifizierung, Unterstützung und Perspektiven für Jung und Alt Zielgruppe im SGB II. Tagesstrukturierung. Schlüsselkompetenzen. Verschiedene Arbeitsfelder. Sozialpäd. Begleitung/case-management.",01.01.2016,31.12.2016,"91.640,41",89077,Deutschland,109,B 1.1,.
Arbeitsfördergesellschaft Ortenau gGmbH ,Jumbo,Junge Menschen in der Berufsorientierung (Jumbo),01.01.2015,31.12.2016,"307.000,00",77654,Deutschland,109,B 1.1,www.afoeg.de
Arbeitsinitiative Hohenlohekreis gGmbH ,Avanti,Avanti,01.01.2015,31.12.2015,"150.915,54",74653,Deutschland,109,B 1.1,www.aih-ggmbh.de
Arbeitsinitiative Hohenlohekreis gGmbH ,Rückenwind aktiv,"Rückenwind aktiv 
    Individuelle Unterstützung von Schüler/Innen beim Übergang Schule - Beruf und Vermeidung von Schulabbruch durch Frühwarnsystem, Trainingseinheiten
    Rückführung von straffälligen Jugendlichen an Regelsysteme 
    Nachbetreuung",01.01.2016,31.12.2016,"135.466,76",74653,Deutschland,115,C 1.1,www.aih-ggmbh.de
Arbeitsinitiative Hohenlohekreis gGmbH ,Avanti aktiv,"Avanti aktiv 
   
    Avanti aktiv ist ein niederschwelliges Angebot für Langzeitarbeitslose zur Tagesstrukturierung, Herstellung der Beschäftigungsfähigkeit und Verbesserung der Teilhabechance.",01.01.2016,31.12.2016,"150.928,90",74653,Deutschland,109,B 1.1,www.aih-ggmbh.de
Arbeitsinitiative Hohenlohekreis gGmbH ,Rückenwind extra,Rückenwind extra,01.01.2015,31.12.2015,"136.425,00",74653,Deutschland,115,C 1.1,www.aih-ggmbh.de
Arbeitskreis für Aus- u. Weiterbildung e.V. ,FIB-Migra,"FIB-Migra -  Fit für den Beruf für Frauen mit Migrationshintergrund - Ziel: Integration in Ausbildung/Arbeit, Stabilisierung der individuellen Gesamtsituation, Verbesserung der individuellen Sprachkompetenz, Integration in Gesellschaft",02.02.2015,23.12.2015,"121.880,54",74072,Deutschland,109,B 1.1,www.aaw.de
Arbeitskreis für Aus- u. Weiterbildung e.V. ,Jobfit,"Jobfit - Neue Perspektiven durch Gesundheit: für arbeitslose TN mit gesundheitlichen Problemen zur Stabilisierung der Gesundheit und Verbesserung ihrer Beschäftigungsfähigkeit, Integration in Arbeitsmarkt.",25.01.2016,22.12.2016,"133.188,25",77652,Deutschland,109,B 1.1,www.aaw.de
Arbeitskreis für Aus- u. Weiterbildung e.V. ,GesA-2,GesA-2 - Gesundheit und Arbeit -,02.02.2015,11.12.2015,"108.160,61",77652,Deutschland,109,B 1.1,www.aaw.de
Arbeitskreis für Aus- u. Weiterbildung e.V. ,NAOMI,NAOMI - Neuanfang und Orientierung für Migrantinnen -,02.02.2015,11.12.2015,"108.692,86",77652,Deutschland,109,B 1.1,www.aaw.de
