SAM / pasākuma nr.,Projekta nosaukums,Finansējuma saņēmējs,Kopējais finansējums,ES finansējums,Projekta īstenošanas vieta
6.3.1.,"Valsts reģionālā autoceļa P37 Pļaviņas – Madona – Gulbene posma km 80,43 – 90,40 pārbūve",LR Satiksmes ministrija,"10833915,07","9208827,00","Jaungulbenes pag., Gulbenes nov. Daukstu pag., Gulbenes nov. Daukstu pag., Gulbenes nov. Daukstu pag., Gulbenes nov."
6.3.1.,"Valsts reģionālā autoceļa P62 Krāslava – Preiļi – Madona km 44,15 – 57,54 (posma Bašķi – Preiļi) pārbūve (tilts)",LR Satiksmes ministrija,"16807424,58","14286310,00","Rušonas pag., Riebiņu nov. Preiļu pag., Preiļu nov. Preiļu pag., Preiļu nov. Preiļu pag., Preiļu nov. Rušonas pag., Riebiņu nov. Rušonas pag., Riebiņu nov."
7.1.2.,EURES tīkla darbība Latvijā,Nodarbinātības valsts aģentūra,"504300,00","428655,00",
7.1.1.,“Atbalsts bezdarbnieku izglītībai”,Nodarbinātības valsts aģentūra,"91902800,00","78117380,00",
7.1.2.,„Darba tirgus prognozēšanas sistēmas pilnveide”,Nodarbinātības valsts aģentūra,"1487720,00","1264562,00",
7.2.1.,„Sākotnējās profesionālās izglītības programmu īstenošana Jauniešu garantijas ietvaros”,Valsts izglītības attīstības aģentūra,"36184219,00","32780847,00",
7.2.1.,Jauniešu garantijas,Nodarbinātības valsts aģentūra,"33977162,00","31207922,00",
7.3.1.,Darba drošības normatīvo aktu praktiskās ieviešanas un uzraudzības pilnveidošana,Valsts darba inspekcija,"12643472,00","10746951,00",
8.2.4.,Atbalsts EQAR aģentūrai izvirzīto prasību izpildei,"Nodibinājums ""Akadēmiskās informācijas centrs""","1500000,00","1275000,00",
8.3.3.,“PROTI un DARI!”,Jaunatnes starptautisko programmu aģentūra,"8999975,19","7649978,00",
8.3.6.,Dalība starptautiskos izglītības pētījumos,Izglītības un zinātnes ministrija,"2399998,45","2039998,00",
8.3.1.,Kompetenču pieeja mācību saturā,Valsts izglītības satura centrs,"13960884,00","11866751,00",
9.1.1.,“Subsidētās darbavietas bezdarbniekiem”,Nodarbinātības valsts aģentūra,"27809934,00","23638444,00",
9.1.1.,“Atbalsts ilgstošajiem bezdarbniekiem”,Nodarbinātības valsts aģentūra,"40043677,00","34037125,00",
9.1.1.,Atbalsts sociālajai uzņēmējdarbībai,Labklājības ministrija,"14920206,00","12682175,00",
9.1.4.,Personu ar invaliditāti vai garīga rakstura traucējumiem integrācija nodarbinātībā un sabiedrībā,Sociālās integrācijas valsts aģentūra,"1252127,00","1064308,00","Slokas iela 68, Jūrmala, LV-2015"
9.1.4.,„VSIA NRC „Vaivari” funkcionēšanas novērtēšanas un asistīvo tehnoloģiju apmaiņas sistēmas izveide un ieviešana”,"Valsts sabiedrība ar ierobežotu atbildību ""Nacionālais rehabilitācijas centrs ""Vaivari""""","1323271,00","1124780,00",
9.1.4.,Dažādības veicināšana,Sabiedrības integrācijas fonds,"6813045,00","5791088,00",
9.2.1.,Profesionāla sociālā darba attīstība pašvaldībās,Labklājības ministrija,"8526615,00","7247622,00",
9.2.2.,Atver sirdi Zemgalē,Zemgales plānošanas reģions,"5709424,00","4853010,00","Katoļu iela 2B, Jelgava, LV-3001"
9.2.2.,„Vidzeme iekļauj”,Vidzemes plānošanas reģions,"4331134,00","3681463,00","Jāņa Poruka iela 8, Cēsis, Cēsu nov., LV-4101"
9.2.1.,Iekļaujoša darba tirgus un nabadzības risku pētījumi un monitorings,Labklājības ministrija,"1079960,00","917966,00",
9.2.2.,Kurzeme visiem,Kurzemes plānošanas reģions,"6285281,00","5342488,00","Avotu iela 12, Saldus, Saldus nov., LV-3801"
9.2.2.,Deinstitucionalizācijas pasākumu īstenošana Latgales reģionā,Latgales plānošanas reģions,"8278912,00","7037075,00","Atbrīvošanas aleja 95, Rēzekne, LV-4601"
9.2.2.,Deinstitucionalizācija un sociālie pakalpojumi personām ar invaliditāti un bērniem,Rīgas Plānošanas reģions,"18878169,00","16046443,00","Zigfrīda Annas Meierovica bulvāris 18, Rīga, LV-1050"
9.2.3.,VESELĪBAS TĪKLU ATTĪSTĪBAS VADLĪNIJU UN KVALITĀTES NODROŠINĀŠANAS SISTĒMAS IZSTRĀDE UN IEVIEŠANA PRIORITĀRO VESELĪBAS JOMU IETVAROS,Nacionālais veselības dienests,"4609777,00","3918310,00",
9.2.1.,"Atbalsta sistēmas pilnveide bērniem ar saskarsmes grūtībām, uzvedības traucējumiem un vardarbību ģimenē",Valsts bērnu tiesību aizsardzības inspekcija,"2331249,80","1981562,00",
9.2.2.,Sociālo pakalpojumu atbalsta sistēmas pilnveide,Labklājības ministrija,"4727073,00","4018012,00",
9.3.1.,„VSIA NRC „Vaivari” infrastruktūras attīstība funkcionēšanas novērtēšanas un asistīvo tehnoloģiju apmaiņas fonda izveidei”,"Valsts sabiedrība ar ierobežotu atbildību ""Nacionālais rehabilitācijas centrs ""Vaivari""""","4077075,00","3465513,00",
10.1.2.,Eiropas Sociālā fonda atbalsts Kohēzijas politikas fondu ieviešanai un vadībai Centrālajā finanšu un līgumu aģentūrā,Centrālā finanšu un līgumu aģentūra,"963000,00","818550,00",
10.1.2.,Sabiedrības informēšana par uzņēmējdarbības un energoefektivitātes pasākumiem,LR Ekonomikas ministrija,"117287,00","99693,00",
10.1.2.,Kohēzijas politikas fondu informācijas un komunikācijas pasākumu nodrošināšana Latvijā ES fondu 2014. – 2020. gada plānošanas periodā,Finanšu ministrija,"287006,00","243955,00",
10.1.1.,Kohēzijas politikas fondu izvērtēšanas nodrošināšana un kapacitātes palielināšana Latvijā ES fondu 2014. – 2020. gada plānošanas periodā,Finanšu ministrija,"3928425,00","3339161,00",
10.1.2.,Tehniskā palīdzība Tieslietu ministrijai kā atbildīgajai iestādei informācijas un publicitātes pasākumu īstenošanā,Latvijas Republikas Tieslietu ministrija,"185834,00","157958,00",
10.1.2.,Atbalsts Valsts kancelejas kā Eiropas Savienības fondu atbildīgās iestādes informācijas un publicitātes pasākumiem,Valsts Kanceleja,"25000,00","21250,00","Brīvības bulvāris 36, Rīga, LV-1050"
10.1.2.,Eiropas Sociālā fonda atbalsts Vides aizsardzības un reģionālās attīstības ministrijai publicitātes pasākumu par Kohēzijas politikas fondiem nodrošināšanai.,Vides aizsardzības un reģionālās attīstības ministrija,"336141,00","285719,00","Pils iela 17, Rīga, LV-1050 Vaļņu iela 30, Rīga, LV-1050 Elizabetes iela 19, Rīga, LV-1010 Peldu iela 25, Rīga, LV-1050"
10.1.2.,"„Izglītības un zinātnes ministrijas ES fondu 2014. – 2020. gada plānošanas perioda informācijas un publicitātes projekts, 1.kārta”",Izglītības un zinātnes ministrija,"200000,00","170000,00","Vaļņu iela 2, Rīga, LV-1050"
10.1.2.,"Tehniskā palīdzība Satiksmes ministrijas informācijas un komunikācijas pasākumiem par Kohēzijas politikas fondiem, 2016.-2018.gadā",LR Satiksmes ministrija,"100000,00","85000,00","Gogoļa iela 3, Rīga, LV-1050"
10.1.2.,Tehniskā palīdzība Kultūras ministrijai kā ES fondu atbildīgajai iestādei Latvijā informācijas un komunikācijas pasākumu īstenošanai,Kultūras ministrija,"33700,00","28645,00",
10.1.2.,Atbalsts Veselības ministrijai Eiropas Savienības fondu informācijas un komunikācijas pasākumu darbību īstenošanai,Latvijas Republikas Veselības ministrija,"110809,65","94188,00",
10.1.2.,Tehniskā palīdzība publicitātei un sabiedrības informēšanai labklājības jomā (1.kārta),Labklājības ministrija,"433350,00","368347,00",
11.1.1.,Eiropas Reģionālās attīstības fonda atbalsts Kohēzijas politikas fondu ieviešanai un vadībai Centrālajā finanšu un līgumu aģentūrā,Centrālā finanšu un līgumu aģentūra,"4178095,00","3551380,00",
