Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung / Jahr der Restzahlung,Gewährte Beträge - ERDF und Nationale Mittel ohne Eigenmittel,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"Eigentümergemeinschaft Theresia und Erich Gleißer, Rüsselsheim","Pilot- und Demonstrationsvorhaben ""Mikro-BHKW-Brennstoffzelle Viessmann Vitovalor 300- P""",2015,,"16.553,14"
"Eigentümergemeinschaft von Oelsen, Königstein","Pilot- und Demonstrationsvorhaben ""Mikro-BHKW-Brennstoffzelle Viessmann Vitovalor 300- P""",2015,"12.794,52",
"EKO-PLANT Entwicklungs- und Betriebsgesellschaft für ökotechnische Anlagen mbH, Neu-Eichenberg",Erweiterung einer Betriebsstätte in 37249 Neu-Eichenberg,2008,,"263.400,00"
"EKO-PLANT Entwicklungs- und Betriebsgesellschaft für ökotechnische Anlagen mbH, Neu-Eichenberg",Erweiterung einer Betriebsstätte in 37249 Neu-Eichenberg,2014,,"300.000,00"
"EMD Deutschland GbR, Kassel",Einstellung eines/r Innovationsassistenten/in in 34119 Kassel,2010,,"25.000,00"
"EMTech GmbH, Darmstadt",iREACT-Prognose,2015,,"25.000,00"
"Energenio AG, Dautphetal",Einstellung eines/r Innovationsassistenten/in in 35232 Dautphetal,2011,,"27.016,00"
"EnergieEffizienzAgentur Rhein-Neckar, Ludwigshafen","Projekt ""Energiekarawane in der Metropolregion Rhein-Neckar""",2012,,"6.168,51"
"Energiepunkt Frankfurt - Energieberatungszentrum Frankfurt e.V., Frankfurt","Projekt ""Einrichtung und Gründung einer überörtlichen Energieagentur""",2015,,"35.913,97"
"Engineering-High-Tech-Cluster Fulda e.V., Fulda",Engineering-High-Tech-Cluster Fulda - Aufbauphase,2010,,"35.088,29"
"Engineering-High-Tech-Cluster Fulda e.V., Fulda",Engineering-High-Tech-Cluster in der Region Fulda - Verstetigung,2013,"105.100,00",
"EngRoTec GmbH & Co. KG (BtG) EngRoTec Immobilien GmbH & Co. KG (BsG), Hünfeld",Erweiterung einer Betriebsstätte in 36088 Hünfeld,2013,,"752.320,85"
"ENTEGA AG, Darmstadt",Entwicklungsvorhaben „Einsatz eines saisonalen Erdsonden-Wärmespeichers zur Optimierung des Wärmedeckungsgrades regenerativer Energieversorgungssysteme“,2013,,"98.400,00"
"ENTEGA AG, Darmstadt","Demonstrationsvorhaben ""Versorgung der Fa. Frenger Systemen B.V. Heiz- und Kühltechnik GmbH mit geothermischer Energie""",2015,,"296.464,77"
"Entwicklungsgesellschaft Lorsch mbH, Lorsch",Virtuelles Gründerzentum Lorsch,2012,,"121.677,58"
"Entwicklungsgesellschaft Lorsch mbH, Lorsch",Virtuelles Gründerzentum Lorsch,2015,,"10.972,34"
"eOpinio GmbH Meinungsgemeinschaft für Deutschland, Gießen",Einstellung eines Innovationsassisstenten in 35394 Gießen,2012,,"22.000,00"
"Equinix Germany GmbH, Frankfurt","Demonstrationsvorhaben ""Brennstoffzelle im Rechenzentrum Frankfurt""",2014,,"450.400,00"
"Erbacher Lichtspiele GbR R. Eckerlin + I. Clauss, Erbach","Umrüstung von 2 Leinwänden von analoger auf digitale Projektions technik, Erbacher Lichtspiele, Obere Marktstraße 1, 64711 Erbach",2011,,"38.095,00"
"Erbacher Lichtspiele GbR R. Eckerlin + I. Clauss, Erbach","Umrüstung einer Leinwand von analoger auf digitale Projektionste chnik der Erbacher Lichtspiele, Kinosaal 2",2013,,"15.445,14"
"ERF Medien e.V., Wetzlar","Demonstrationsvorhaben ""Kraft-Wärme-Kopplung zur Kühlung & Stromversorgung""",2014,,"22.650,00"
"Evangelischer Verein für Jugendsozialarbeit in Frankfurt e.V., Frankfurt am Main",Beschaffung einer neuen Kreissäge für die Ausbildungsschreinerei der Produktionsschule Lernbetrieb Frankfurt am Main,2012,,"12.624,11"
"Evangelischer Verein für Jugendsozialarbeit in Frankfurt e.V., Frankfurt am Main",Beschaffung einer Kantenanleinmaschine für die Ausbildungsschreinerei der Produktionsschule Frankfurt am Main,2013,,"15.181,00"
"FAB gGmbH für Frauen Arbeit Bildung, Friedberg",FAB Akademie 2008,2008,,"7.588,65"
"FAB gGmbH für Frauen Arbeit Bildung, Friedberg",FAB Akademie 2009,2009,,"20.632,03"
"Fachhochschule Frankfurt am Main, Frankfurt",Erstellung einer Solardach-Potenzialanalyse/Pilotprojekt für das Land Hessen,2012,,"231.000,00"
"Fachverband Elektro- und Informationstechnik Hessen/Rheinland-Pfalz, Wiesbaden",Technologietransfer-Stelle,2008,,"11.000,00"
