Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung / Jahr der Restzahlung,Gewährte Beträge - ERDF und Nationale Mittel ohne Eigenmittel,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"TaleTekk UG (haftungsbeschränkt), Darmstadt",Tales,2014,,"16.000,00"
"Tanja Siebert Vermietung + Verpachtung (BSU), Meinhard",Erweiterung einer Betriebsstätte in der Gemeinde Meinhard,2008,,"225.000,00"
"Technik-Museum Kassel Betreiber gGmbH, Kassel",Errichtung des Technik-Museums Kassel,2010,,"194.369,63"
"Technische Hochschule Mittelhessen Der Präsident, Gießen",Anwenderzentrum Medizintechnik an der Fachhochschule Gießen-Friedberg,2008,,"3.828.886,77"
"Technische Hochschule Mittelhessen Der Präsident, Gießen",OpTIK- Optimierung des Technologietransfers und der notwendigen Innovationsprozesse und Kernkompetenzen in Mittelhessen,2010,,"47.543,74"
"Technische Hochschule Mittelhessen Der Präsident, Gießen","Machbarkeitstudie zu ""Optische Technologien in Mittelhessen""",2014,,"17.012,75"
"Technische Hochschule Mittelhessen, Giessen","Umbau und Erweiterung einer betrieblichen Kinderbetreuungseinrichtung der Fachhochschule Giessen-Friedberg, Moltkestraße 3",2009,,"180.000,00"
"Technische Universität Darmstadt, Darmstadt",Errichtung einer betrieblichen Kinderbetreuungseinrichtung der T echnischen Universität Darmstadt auf dem Campus Lichtwiese,2009,,"300.000,00"
"Technische Universität Darmstadt, Darmstadt",Transfermanagement im Intel-TU Darmstadt Security Institute 2012-2014,2012,,"175.144,56"
"Technische Universität Darmstadt, Darmstadt","Fabbing & Founding - Center for Innovation, Entrepreneurship and Digital Fabrication Technology",2013,,"100.986,82"
"Technische Universität Darmstadt, Darmstadt",Kompetenz- und Anwendungszentrum Energie (KAE)(Konzeptphase),2013,,"62.897,07"
"Technische Universität Darmstadt, Darmstadt","TU Darmstadt Lernfabrik ""Ressourceneffizienz in der Produktion""- Pilotprojekt",2014,,"280.000,00"
"Technische Universität Darmstadt Dezernat Forschung, Darmstadt",Transfermanagement an der TU Darmstadt,2010,,"70.892,38"
"Technische Universität Darmstadt Fachgebiet Multimedia Kommunikation, Darmstadt",Start up Factory,2008,,"149.809,11"
"Technische Universität Darmstadt, FB Lichttechnik, Darmstadt","Vermessung, Befragung , Auswertung + Präsentation v. Straßenbeleuchtung (LED)",2012,,"30.000,00"
"Technische Universität Darmstadt FB 20, Telekooperation, Darmstadt",Aufbau des Spritzguss-Cluster: Werkzeug- und Formenbau für die kunststoffverarbeitende Industrie -  Initiierungsphase,2008,,"25.000,00"
"Technische Universität Darmstadt FB 20, Telekooperation, Darmstadt",Spritzguss-Cluster - Aufbauphase 2009 - 2011,2009,,"236.742,43"
"Technische Universität Darmstadt Institut für Produktionsmanagement, Technologie und Werkzeugmaschinen, Darmstadt",Effiziente Fabrik 4.0,2014,,"537.400,00"
"Technische Universität Darmstadt Patentinformationszentrum der Universtitäts- und Landesbibliothek Darmstadt, Darmstadt",Technologietransfer im Bereich Patent- und Markeninformation 2008,2008,,"38.607,00"
"Technische Universität Darmstadt Patentinformationszentrum der Universtitäts- und Landesbibliothek Darmstadt, Darmstadt",Verbesserung Technologietransfer im Bereich Patent- und Markeninformation 2009,2009,,"80.000,00"
"Technische Universität Darmstadt Patentinformationszentrum der Universtitäts- und Landesbibliothek Darmstadt, Darmstadt","Verbesserung Technologietransfer im Bereich Patente, Marken und Muster",2010,,"80.000,00"
"Technische Universität Darmstadt Patentinformationszentrum der Universtitäts- und Landesbibliothek Darmstadt, Darmstadt","Verbesserung Technologietransfer im Bereich Patente, Marken und Muster 2011",2011,,"80.000,00"
"Technische Universität Darmstadt Patentinformationszentrum der Universtitäts- und Landesbibliothek Darmstadt, Darmstadt","Verbesserung Technologietransfer im Bereich Patente, Marken und Muster 2013",2013,,"80.000,00"
"Technische Universität Darmstadt Patentinformationszentrum der Universtitäts- und Landesbibliothek Darmstadt, Darmstadt","Unterstützung von KMU-Strategien un -Management sowie Technologietransfer im Bereich Patente, Marken & Designs 2014",2014,,"80.000,00"
"Technische Universität Darmstadt Patentinformationszentrum der Universtitäts- und Landesbibliothek Darmstadt, Darmstadt","Unterstützung von KMU-Strategien und -Management sowie Technologietransfer im Bereich Patente, Marken und Designs 2015",2015,"80.000,00",
"Technologie- und Innovationszentrum Gießen GmbH, Gießen",1.Gießener Existenzgründertag,2014,,"5.200,00"
"Technologie- und Innovationszentrum Gießen GmbH, Gießen",2. Gießener Existenzgründertag,2015,,"6.000,00"
"Technologieberatungsstelle beim DGB Hessen e.V., Frankfurt am Main",Proaktive Bewältigung des Wandels 2008,2008,,"93.000,00"
"Technologieberatungsstelle beim DGB Hessen e.V., Frankfurt am Main",Proaktive Bewältigung des Wandels 2009,2009,,"221.000,00"
"Technologieberatungsstelle beim DGB Hessen e.V., Frankfurt am Main",Proaktive Bewältigung des Wandels 2010,2010,,"212.283,64"
"Technologieberatungsstelle beim DGB Hessen e.V., Frankfurt am Main",Proaktive Bewältigung des Wandels 2011,2011,,"218.000,00"
"Technologieberatungsstelle beim DGB Hessen e.V., Frankfurt am Main","Proaktive Bewältigung des Wandels 2012 - Verbesserung der Innovationsfähigkeit und der betrieblichen Wettbewerbsfähigkeit von Unternehmen, sowie Förderung der Beschäftigung und der humanen Gestaltung von Arbeit und Technik insbesondere in KMU",2012,,"235.500,00"
"Technologieberatungsstelle beim DGB Hessen e.V., Frankfurt am Main",Proaktive Bewältigung des Wandels 2013,2013,,"235.500,00"
"Technologieberatungsstelle beim DGB Hessen e.V., Frankfurt am Main",Innovation und Technik - Entwicklung von Arbeitsplätzen unter Beteiligung der Mitarbeiterinnen 2014,2014,"235.500,00",
"Termacook GmbH, Dillenburg",Verlagerung nach Dillenburg und Übernahme einer stillgelegten Betriebsstätte,2014,,"101.541,08"
"ThingsOnAir GmbH, Wiesbaden","navilution""Zerspanungsprozesse""",2014,,"25.000,00"
"ThingsOnAir GmbH, Wiesbaden",navilution,2014,,"25.000,00"
"Tibor, Wagner, Hofheim","Pilot- und Demonstrationsvorhaben ""Mikro-BHKW-Brennstoffzelle Viessmann Vitovalor 300- P""""Zerspanungsprozesse""",2015,,"8.886,40"
"Tibor, Wagner, Hofheim","Pilot- und Demonstrationsvorhaben ""Mikro-BHKW-Brennstoffzelle Viessmann Vitovalor 300- P""",2015,,"8.886,40"
"TIGZ Technologie-, Innovations- und Gründungszentrum GmbH, Ginsheim-Gustavsburg",Werkstatt für Kultur- und Kreativwirtschaft,2009,,"120.000,00"
"Trägerverein für die Stufenausbildung der Bauwirtschaft e.V., Marburg",Schaffung eines Lehrpfades Klimaschutz und Ökologie im Ausbildungszentrum der Bauwirtschaft Marburg,2010,,"193.208,64"
"TransMIT Gesellschaft für Technologietransfer mbH, Gießen",Clustermanagement Medizinwirtschaft,2007,,"490.000,00"
"TransMIT Gesellschaft für Technologietransfer mbH, Gießen",Technologietransfer und Existenzgründungen aus TransMIT-Zentren,2008,,"76.200,00"
"TransMIT Gesellschaft für Technologietransfer mbH, Gießen",Technolgietransfer und Innovationsnetzwerkbildung 2009,2009,,"139.400,00"
"TransMIT Gesellschaft für Technologietransfer mbH, Gießen",Technologietransfer und Innovationsnetzwerkbildung 2010,2010,,"143.900,00"
"TransMIT Gesellschaft für Technologietransfer mbH, Gießen",Clustermanagement Medizinwirtschaft  (TIMM) Verstetigungsphase 2011 - 2013,2010,,"326.572,46"
"TransMIT GmbH, Gießen",Technologietransfer und Innovationsnetzwerkbildung 2011,2011,,"140.000,00"
"TransMIT GmbH, Gießen",Technologietransfer und Innovationsnetzwerkbildung 2012,2012,,"130.000,00"
"TransMIT GmbH, Gießen",Technologietransfer und Innovationsnetzwerkbildung 2013,2013,,"130.000,00"
"TransMIT GmbH, Gießen",Technologietransfer und Innovationsnetzwerkbildung 2014,2014,,"130.000,00"
"TransMIT GmbH, Gießen",Technologietransfer und Innovationsnetzwerkbildung 2015,2015,,"130.000,00"
"TRIGON Elektronik GmbH, Fuldabrück",Einstellung eines Innovationsassistenten in 34277 Fuldabrück,2011,,"27.743,20"
"Turmpalast Peter Schlosser, Seligenstadt","Umrüstung einer Leinwand von analoger auf digitale Projektions technik, Turmpalast Seligenstadt, Kino Palast",2012,,"16.637,75"
"Turmpalast Peter Schlosser, Seligenstadt","Umrüstung einer Leinwand von analoger auf digitale Projektions technik, Turmpalast Seligenstadt, Kino Studio",2012,,"16.264,00"
"UHD-Unternehmensberatung Hessen für Handel und Dienstleistung GmbH, Frankfurt am Main",Betriebsberatungen,2008,,"42.320,00"
"UHD-Unternehmensberatung Hessen für Handel und Dienstleistung GmbH, Frankfurt am Main",Betriebsberatung Einzelhandel 2009,2009,,"46.350,00"
"UHD-Unternehmensberatung Hessen für Handel und Dienstleistung GmbH, Frankfurt am Main",Betriebsberatung im hessischen Einzelhandel 2010,2010,,"132.262,00"
"UHD-Unternehmensberatung Hessen für Handel und Dienstleistung GmbH, Frankfurt am Main",Kampagne zur Unternehmensnachfolge im Handel 2010-2012,2010,,"121.734,22"
"UHD-Unternehmensberatung Hessen für Handel und Dienstleistung GmbH, Frankfurt am Main",Betriebsberatung im hessischen Einzelhandel 2011,2011,,"73.413,50"
"UHD-Unternehmensberatung Hessen für Handel und Dienstleistung GmbH, Frankfurt am Main",Betriebsberatung im hessischen Einzelhandel 2012,2012,,"72.149,75"
"UHD-Unternehmensberatung Hessen für Handel und Dienstleistung GmbH, Frankfurt am Main",Kampagne zur Unternehmensnachfolge im Handel Phase 2 2012-2014,2012,,"19.975,00"
"UHD-Unternehmensberatung Hessen für Handel und Dienstleistung GmbH, Frankfurt am Main",Betriebsberatung im hessischen Einzelhandel 2013,2013,,"74.129,38"
"ukowapi UG (haftungsbeschränkt), Darmstadt",Entwicklung und Vermarktung einer GNSS-Plattform (uka wapi),2015,,"22.227,71"
"Universität Kassel, Inst. für Berufsbildung, FB Technikdidaktik, Kassel","Erarbeitung der Entwicklung v. Lernmaterialien zu den Themen ""Solarthermie+Wärmepumpen""",2011,,"94.182,37"
"Universität Kassel, Kassel",Verbesserung des Technologietransfers im Bereich Patent- und Markeninformation,2008,,"38.700,00"
"Universität Kassel, Kassel",Technologietransfer mit Schwerpunkt Strategische Partnerschaften,2008,,"179.944,77"
"Universität Kassel, Kassel",Verbesserung Technologietransfer im Bereich Patent- und Markeninformation,2009,,"80.000,00"
"Universität Kassel, Kassel","Errichtung einer betrieblichen Kinderbetreuungseinrichtung der Universität Kassel, 34125 Kassel, Campus Nord,nördl. Moritzstr.",2011,,"500.000,00"
"Universität Kassel, Kassel",Unterstützung von High-Tech Gründungen aus dem Bereich Dezentrale Energietechnik und IKT,2011,,"214.100,00"
"Universität Kassel UniKasselTransfer Inkubator, Kassel",Inkubator UniKassel,2008,,"156.300,00"
"Urban Media Project GbR David Brautmann, Nicolas und Oliver Kremershof, Offenbach",Autumn School - Unternehmerqualifikation für Musik-Entrepreneure im Institut für Klangforschung (IfK),2015,,"23.200,00"
"Ursula Falkenbach, Bad Camberg","Pilot- und Demonstrationsvorhaben ""Brennstoffzellenheizgerät Ceramic fuel Cells, BlueGEN""",2015,,"16.442,00"
"Veltum GmbH, Waldeck","Pilot- und Demonstrationsvorhaben ""Mikro-KWK-Brennstoffzelle Viessmann Vitovalor 330- P""",2015,,"11.414,29"
"Verband der berufsbildenden Schulen der Stadt Hanau und des Main-Kinzig-Kreises, Hanau",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen der Stadt Hanau und des Main-Kinzig-Kreises,2008,,"39.862,00"
"Verband der berufsbildenden Schulen der Stadt Hanau und des Main-Kinzig-Kreises, Hanau",Modernisierung und Ergänzung der IuK-Ausstattung in der Ludwig- Geißler-Schule in Hanau,2012,,"463.415,76"
"Verband der berufsbildenden Schulen der Stadt Hanau und des Main-Kinzig-Kreises, Hanau",Modernisierung und Ergänzung der IuK-Ausstattung in der Eugen- Kaiser-Schule in Hanau,2013,,"28.444,16"
"Verein für Sozialpolitik, Bildung und Berufsförderung e.V., Kassel",Ausstattungsinvestition für ein Modulares Weiterbildungssystem mit Unterweisungsmöglichkeit des Blended-Learning,2009,,"22.199,00"
"Verein für Sozialpolitik, Bildung und Berufsförderung e.V., Kassel","Beschaffung von Ausstattungen zur technischen Modernisierung der Abteilungen Metall, Elektro und EDV des VSB in Kassel",2012,,"48.018,78"
"Verein für Sozialpolitik, Bildung und Berufsförderung e.V., Kassel",Beschaffung von Ausstattungen für die technische Modernisierung der Abteilung EDV und des Schulungsraumes im VSB Kassel,2014,,"23.950,22"
"Verein Geowelt Fortuna e. V., Wetzlar",Neue touristen- und besuchergerechte Präsentation des ehemaligen Eisenerzbergwerkes Grube Fortuna,2009,,"20.850,00"
"Verein Regionalentwicklung Schwalm-Aue e.V., Borken","Projekt ""Einrichtung und Gründung einer überörtlichen Energieagentur""",2015,,"43.648,90"
"Verein zur beruflichen Förderung von Frauen e.V., Frankfurt",Beschaffung von IT-Ausstattung für den PC-Raum und für das Ausbildungsbüro,2010,,"6.843,00"
"Vetter Holding GmbH, Siegen",Errichtung einer Betriebsstätte in 35708 Haiger,2015,,"164.181,80"
"Virtuelles Gründerzentrum Schwalm, Schwalmstadt",Virtuelles Gründerzentrum in der Schwalm,2008,,"20.320,84"
"Virtuelles Gründerzentrum Schwalm, Schwalmstadt",Virtuelles Gründerzentrum in der Schwalm Anschlussförderung 2009 - 2010,2009,,"37.648,00"
"Vogelsberg Consult GmbH, Alsfeld",Verpackungscluster Mittelhessen: Initiierungsphase,2008,,"25.000,00"
"Vogelsberg Consult GmbH, Alsfeld",Verpackungscluster Mittelhessen - Aufbauphase,2009,,"157.500,00"
"Vogelsberg Consult GmbH, Alsfeld",Machbarkeitsuntersuchg.zur Vorbereitung von Breitbandinfrastruk- iturmaßnahmen für ein regionales Hochleistungsnetz,2011,,"17.800,00"
"Vogelsberg Consult GmbH, Alsfeld",Verpackungscluster Mittelhessen - Verstetigungsphase 2012-2015,2012,,"146.852,68"
"Vogelsbergkreis, Lauterbach (Hessen)",Anschubmarketing BahnRadweg Hessen,2009,,"78.622,72"
"Volker und Simone Rühlicke, Frankfurt","Pilot- und Demonstrationsvorhaben ""Brennstoffzelle Viessmann Vitovalor 300-P im Wohnhaus""",2014,,"17.019,00"
"Volkshochschule Frankfurt am Main, Frankfurt am Main","Umrüstung einer Leinwand von analoger auf digitale Projetionstec hnik, Filmforum Höchst, Josef-Emmerich-Str. 46a, Frankfurt",2012,,"21.000,00"
"Volkshochschule Rheingau-Taunus e.V., Taunusstein",Ergänzungs- und Ersatzbeschaffungen von Ausstattung für die Ausbildungswerkstätten und -büros der VHS Rheingau-Taunus e. V.,2010,,"127.765,05"
"Volkshochschule Rheingau-Taunus e.V., Taunusstein",Ausstattungsinvestition im Berufsfeld Holz und Metall der VHS Rheingau- Taunus e. V. in Geisenheim,2010,,"7.273,30"
Volkswagen AG,"Demonstrationsvorhaben ""Abwärmeversorgung im Werk Baunatal""",2015,,"584.251,26"
"W. Kaulich GmbH & Co. KG, Berkatal",Erweiterung einer Betriebsstätte in 37297 Berkatal,2011,,"180.149,73"
"WEKAL Maschinenbau GmbH, Fritzlar",Diversifizierung der Produktion in 34560 Fritzlar,2009,,"147.148,22"
"Werner und Anna Müller, Otzberg","Pilot- und Demonstrationsvorhaben ""Mikro-BHKW-Brennstoffzelle Viessmann Vitovalor 300- P""",2015,,"17.049,00"
"Werra-Meißner-Kreis, Eschwege",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen des Werra- Meißner-Kreises,2008,,"118.170,00"
"Werra-Meißner-Kreis, Eschwege",Modernisierung und Ergänzung der IUK-Ausstattung in den Beruflichen Schulen Eschwege und Witzenhausen,2012,,"100.581,00"
"Werratal Energie- und Umweltgesellschaft mbH, Eschwege","Projekt ""Gründung und Betrieb einer zentralen Energieagentur im Landkreis Werra-Meißner""",2014,,"192.981,36"
"Wiegand Erlebnisberge GmbH Josef Wiegand Liegenschafts GmbH & Co. KG, Rasdorf",Errichtung einer Betriebsstätte in Wald-Michelbach,2009,,"292.300,00"
"Wilhelm und Ursula Seufert, Einhausen","Pilot- und Demonstrationsvorhaben ""Mikro-BHKW-Brennstoffzelle Viessmann Vitovalor 300- P""",2015,,"17.473,00"
"Wi.LL Metallbau & Designkonzepte GmbH & Co. KG, Runkel",Übern. einer vor Stilll. bedr. Betriebsstätte in 65594 Runkel,2013,,"80.657,06"
"Wintershall Holding GmbH, Kassel","Einrichtung einer betrieblichen Kinderbetreuungseinrichtung der Wintershall Holding GmbH, Kassel, Amelie-Wündisch-Straße 8",2011,,"500.000,00"
"Wirtschafts- und Infrastrukturbank Hessen, Frankfurt",Hessen-Kapital I,2011,,"38.546.000,00"
"Wirtschafts- und Infrastrukturbank Hessen, Frankfurt",JEREMIE-Fonds Hessen,2014,,"1.085.000,00"
"Wirtschafts- und Infrastrukturbank Hessen, Frankfurt",Mittelhessenfonds,2014,,"8.500.000,00"
"Wirtschafts- und Infrastrukturbank Hessen, Frankfurt",JESSICA-Stadtentwicklungsfonds Hessen,2016,,"9.910.860,62"
"Wirtschaftsförderung Bergstraße GmbH, Heppenheim","Projekt ""Einrichtung und Gründung der neuen, überörtlichen Energieagentur Bergstraße""",2014,,"375.000,00"
"Wirtschaftsförderung Bergstraße GmbH, Heppenheim (Bergstraße)",Gründungsoffensive Bergstraße-Odenwald 2009-2011,2009,,"182.800,00"
"Wirtschaftsförderung Bergstraße GmbH, Heppenheim (Bergstraße)",Indo-German Film Agency,2009,,"119.974,61"
"Wirtschaftsförderung Bergstraße GmbH, Heppenheim (Bergstraße)",Errichtung einer Breitbandberatungsstelle,2009,,"93.374,00"
"Wirtschaftsförderung Bergstraße GmbH, Heppenheim (Bergstraße)",Fortführung der Breitbandberatungsstelle in 2011,2011,,"139.648,53"
"Wirtschaftsförderung Bergstraße GmbH, Heppenheim (Bergstraße)",Gründungsoffensive Bergstraße-Odenwald 2011-2013,2011,,"200.000,00"
"Wirtschaftsförderung Bergstraße GmbH, Heppenheim (Bergstraße)",Breitbandberatungsstelle Südhessen - Fortführung 2012,2012,,"148.630,11"
"Wirtschaftsförderung Bergstraße GmbH, Heppenheim (Bergstraße)",Fortführung einer Breitbandberatungsstelle in 2013,2013,,"147.908,17"
"Wirtschaftsförderung Bergstraße GmbH, Heppenheim (Bergstraße)",Gründungsoffensive Bergstraße-Odenwald 2013-2015,2013,,"225.500,00"
"Wirtschaftsförderung Bergstraße GmbH, Heppenheim (Bergstraße)",Fortführung einer Breitbandberatungsstelle in 2014,2014,,"144.800,76"
"Wirtschaftsförderung Bergstraße GmbH, Heppenheim (Bergstraße)",Fortführung einer Breitbandberatungsstelle in 2015,2015,,"143.580,29"
"Wirtschaftsförderung Frankfurt GmbH, Frankfurt am Main",Gründerhaus Kreativwirtschaft,2009,,"100.000,00"
"Wirtschaftsförderung Limburg-Weilburg-Diez GmbH, Limburg a. d. Lahn",Machbarkeitsstudie zur Vorbereitung von Breitbandinfrastruktur- maßnahmen für ein regionales Hochleistungsnetz,2011,,"27.500,00"
"Wirtschaftsförderung Region Kassel GmbH, Kassel","Machbarkeitsstudie ""Science Park Kassel""",2008,,"82.000,00"
"Wirtschaftsförderung Region Kassel GmbH, Kassel",Standortmarketing 2008 - 2009,2008,,"102.370,00"
"Wirtschaftsförderung Region Kassel GmbH, Kassel",Marken- und Netzwerkbildung,2008,,"80.362,00"
"Wirtschaftsförderung Region Kassel GmbH, Kassel",Ökonomische Relevanz der Kultur- und Kreativwirtschaft in der Region Kassel,2009,,"39.992,00"
"Wirtschaftsförderung Region Kassel GmbH, Kassel",Standortmarketing zur Aktivierung von Ansiedlungspotenzialen,2010,,"65.000,00"
"Wirtschaftsförderung Region Kassel GmbH, Kassel",Aktionen zur Steigerung der Wettbewerbsfähigkeit von KMU-Unternehmen in betrieblichen Netzwerken,2010,,"80.000,00"
"Wirtschaftsförderung Region Kassel GmbH, Kassel",Initiierung Competence Center Aerospace (CCA) - Cluster,2010,,"25.000,00"
"Wirtschaftsförderung Region Kassel GmbH, Kassel",Standortmarketing 2012/2013,2012,,"95.760,21"
"Wirtschaftsförderung Region Kassel GmbH, Kassel",Competence Center Aerospace - Verstetigungsphase (2014 - 15),2014,,"160.844,86"
"Wirtschaftsförderungsgesellschaft für den Landkreis Hersfeld- Rotenburg mbH, Bad Hersfeld",Errichtung einer Breitbandberatungsstelle (Region Nordhessen),2009,,"49.297,00"
"Wirtschaftsförderungsgesellschaft für den Landkreis Hersfeld- Rotenburg mbH, Bad Hersfeld",Fortführung der Breitbandberatungsstelle in 2011,2011,,"61.980,76"
"Wirtschaftsförderungsgesellschaft für den Landkreis Hersfeld- Rotenburg mbH, Bad Hersfeld",Breitbandberatungsstelle Nordhessen - Fortführung 2012,2012,,"45.056,75"
"Wirtschaftsförderungsgesellschaft Werra-Meißner-Kreis mbH, Eschwege",Marketingprojekt zur Ansiedlung bio-affiner Unternehmen im Werra-Meißner-Kreis,2008,,"75.242,44"
"Wirtschaftsförderungsgesellschaft Werra-Meißner-Kreis mbH, Eschwege",Leben-Arbeiten-Wohnen im Werra-Meißner-Kreis,2009,,"221.844,26"
"Wirtschaftsförderungsgesellschaft Werra-Meißner-Kreis mbH, Eschwege",Standortmarketing Werra - Meißner 2014 -15,2014,,"118.500,00"
"XMODUS Systems GmbH, Haiger",Erwerb einer stillgelegten Betriebsstätte in 35708 Haiger,2012,,"186.979,62"
"your admins Michael Frohnapfel e.K., Fulda",Errichtung einer Betriebsstätte in 36041 Fulda-Sickels,2014,"272.000,00",
"Zeitsprung IT-Forum gGmbH, Fulda",Errichtung einer Breitbandberatungsstelle für die Region Osthessen,2010,,"128.185,55"
"Zeitsprung IT-Forum gGmbH, Fulda",Fortführung der Breitbandberatungsstelle in 2011,2011,,"121.583,56"
"Zeitsprung IT-Forum gGmbH, Fulda",Breitbandberatungsstelle Osthessen / Fortführung 2012,2012,,"99.104,95"
"Zeitsprung IT-Forum gGmbH, Fulda",Fortführung einer Breitbandberatungsstelle in 2013,2013,,"96.211,27"
"Zeitsprung IT-Forum gGmbH, Fulda",Fortführung einer Breitbandberatungsstelle in 2014,2014,,"99.536,66"
"Zeitsprung IT-Forum gGmbH, Fulda",Fortführung einer Breitbandberatungsstelle in 2015,2015,,"93.158,57"
"Zukunftsoffensive Überwald GmbH, Wald-Michelbach",Virtuelles Gründerzentrum Überwald in Wald-Michelbach,2009,,"222.507,86"
"Zukunftsoffensive Überwald GmbH, Wald-Michelbach","Virtuelles Gründerzentrum Überwald, Verstetigungsphase",2012,,"61.333,33"
"Zweckverband Entwicklung Fliegerhorst Langendiebach, Erlensee",Begleitendes Konversionsmanagement Fliegerhorst Langendiebach Erlensee,2012,,"42.140,85"
"Zweckverband Interkom. Zusammenarbeit Sontra Herleshausen Nentershausen, Sontra",Vermarktungsaktivitäten der Gewerbeflächen der ehem. Husarenkaserne Sontra,2012,,"17.500,00"
"Zweckverband Interkom. Zusammenarbeit Sontra Herleshausen Nentershausen, Sontra",Erschließung der Konversionsflächen ehem. Husarenkaserne Sontra,2012,,"896.589,57"
"Zweckverband Interkommunale Zusammenarbeit Schwalm, Schwalmstadt",Umgestaltung Paradeplatz in der Wasserfestung Ziegenhain,2012,,"821.800,00"
"Zweckverband Interkommunale Zusammenarbeit Schwalm-Eder Mitte, Knüllwald",Erschließung des interkommunalen Gewerbegebietes Schwalm-Eder Mitte in Knüllwald- Remsfeld,2009,,"2.124.600,00"
"Zweckverband Interkommunales Gewerbegebiet Mittleres Fuldatal, Malsfeld",Gemeindehalle Malsfeld,2011,,"758.900,00"
"Zweckverband Interkommunales Gewerbegebiet Mittleres Fuldatal, Malsfeld",Melsungen: Interkommunales Dienstleistungszentrum,2012,,"1.636.600,00"
"Zweckverband Interkommunales Gewerbegebiet Mittleres Fuldatal, Malsfeld",Morschen: Salzmannhallen,2012,,"1.477.800,00"
"Zweckverband Interkommunales Gewerbegebiet Mittleres Fuldatal, Malsfeld","Melsungen: Kultur,- Jugend,- und Tourismusbahnhof Melsungen",2013,,"1.115.000,00"
"Zweckverband Interkommunales Gewerbegebiet Mittleres Fuldatal, Malsfeld",Morschen: Hof Raabe,2013,,"1.126.890,44"
"Zweckverband Raum Kassel, Kassel",Planungsleistungen für den Straßenendausbau des GVZ Kassel,2009,,"63.094,19"
"3D-formen, Inhaber Jakob Wall, Fulda",Erweiterung einer Betriebsstätte in Fulda (2. Bauabschnitt),2012,,"180.000,00"
"3D-formen, Inhaber Jakob Wall, Fulda",Erweiterung einer Betriebsstätte in 36039 Fulda,2012,,"752.800,00"
