Begünstigte/r,Maßnahmebezeichnung,Jahr der Bewilligung / Jahr der Restzahlung,Bewilligte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"Akson AG -  Stahlbau, Logistik, Spezialtiefbau
Tröblitz","Qualifizierung in kleinen und mittleren Unternehmen - Individualschulung-DATEV-
intensiv",2009,,"1.272,60"
"AKTIF Technology GmbH - Softwarehersteller für
den Energievertriebsprozess",Qualifizierung in kleinen und mittleren Unternehmen - Programmiererschulung,2011,,"4.464,00"
"AKTIF Technology GmbH - Softwarehersteller für
den Energievertriebsprozess","Qualifizierung in kleinen und mittleren Unternehmen - Cisco Call Manager Express,
Cisco Unity, Oracle SQL Tuning, Oracle SQL und PI/SQL",2010,,"7.432,00"
"AKTIF Technology GmbH - Softwarehersteller für
den Energievertriebsprozess","Beschäftigung von Werkstudierenden im Rahmen eines betrieblichen
Innovationsprojektes",2014,"6.972,00",
"AKTIF Technology GmbH - Softwarehersteller für
den Energievertriebsprozess","Beschäftigung einer Innovationsassistentin bzw. eines Innovationsassistenten im
Bereich: Innovations-, Produktions-, Qualitäts-, Umweltmanagement",2014,"20.430,11",
"Aktion Kinder- und Jugendschutz,
Landesarbeitsstelle Brandenburg e.V.","Berufsgruppenübergreifende Tandem-Qualifizierung: Weiterbildung zum Eltern-
Medien-Trainer",2011,,"8.339,74"
"Aktion Kinder- und Jugendschutz,
Landesarbeitsstelle Brandenburg e.V.","Berufsgruppenübergreifende Tandem-Qualifizierung: Weiterbildung zum Eltern-
Medien-Trainer",2011,,"10.013,72"
"Aktion Kinder- und Jugendschutz,
Landesarbeitsstelle Brandenburg e.V.",Weiterbildung Eltern-Medien-Beratung,2013,,"10.435,39"
"Aktion Kinder- und Jugendschutz,
Landesarbeitsstelle Brandenburg e.V.",Weiterbildung Eltern- Medien- Beratung,2013,,"13.454,62"
"Aktion Kinder- und Jugendschutz,
Landesarbeitsstelle Brandenburg e.V.","Weiterbildung Medienerziehung und Elternbildung, Qualifikation zum Eltern-Medien-
Trainer",2010,,"18.303,08"
"Aktion Kinder- und Jugendschutz,
Landesarbeitsstelle Brandenburg e.V.","Sozialpädagogische Fortbildung für pädagogische Fachkräfte ""Eltern- Medienberater""",2012,"17.254,63",
"Aktion Kinder- und Jugendschutz,
Landesarbeitsstelle Brandenburg e.V.","Sozialpädagogische Fortbildung für pädagogische Fachkräfte ""Eltern- Medienberater""",2012,"13.123,24",
"Aktion Kinder- und Jugendschutz,
Landesarbeitsstelle Brandenburg e.V.",Qualifikation Eltern- Medien- Beratung (Brandenburg Nord- Ost),2013,"9.701,38",
"Aktion Kinder- und Jugendschutz,
Landesarbeitsstelle Brandenburg e.V.",Qualifikation Eltern- Medien- Beratung (Brandenburg Süd- West),2013,"25.223,54",
aktiv Gebäudereinigung Kasbau+Meyer GmbH,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"3.179,85",
"Aktiv Physiotherapie & Prävention GbR Doreen
Lehmann","Qualifizierung in kleinen und mittleren Unternehmen - Bobath, Propriozeptive
neuromuskuläre Fazilitation (PNF), Verkaufstraining",2010,,"1.456,70"
AKTIVA Werkstätten im Oberlinhaus gGmbH,"Reboot - Verbesserung des Zugangs zu Beschäftigung von arbeislosen Frauen und
Männern",2012,"170.999,27",
AKTIVA Werkstätten im Oberlinhaus gGmbH,"""Futuro"" - Ziel des Projekts ist es erwerbsfähige, langzeitarbeitslose Bürger und
Bürgerinnen der Landeshauptstadt Potsdam mit psychischen Krankheitsbildern und
vorrangig im ALG II Bezug mit einer angemessenen beruflichen Tätigkeit in den
regionalen Arbeitsmarkt zu integrieren.",2013,"137.499,03",
AKUD&Co Bildungsgesellschaft mbH,Bildungsscheck,2011,,"500,00"
Alarmanlagenbau Korsing GmbH,"Qualifizierung in kleinen und mittleren Unternehmen - Seminare zu RWA-und
Lüftungsanlagen, Integral, Ringbustechnologie, Workshop System8000",2010,,"2.403,20"
"ALBA Lausitz GmbH - Entsorgungsunternehmen
Cottbus","Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"17.168,45",
"ALBA Uckermark GmbH - Entsorgungsdienstleister
in der Uckermark",Verbundausbildung - Laborausbildung,2009,,"400,00"
"ALBA Uckermark GmbH - Entsorgungsdienstleister
in der Uckermark",Verbundausbildung - Laborausbildung,2011,,"680,00"
"ALBA Uckermark GmbH - Entsorgungsdienstleister
in der Uckermark",Verbundausbildung - Laborausbildung,2010,,"960,00"
"ALBA Uckermark GmbH - Entsorgungsdienstleister
in der Uckermark",Verbundausbildung - Grundausbildung Metall,2011,,"1.760,00"
Albert Schulz Tiefbau GmbH,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"9.828,00",
Albert-Schweitzer-Familienwerk Brandenburg e.V.,"""Tafelarbeit in Cottbus"" - Verbesserung der sozialen Eingliederung von arbeitslosen
Frauen und Männern",2012,"341.492,75",
Albert-Schweitzer-Familienwerk Brandenburg e.V.,Teilprojekt Regionalbudget Cottbus,2010,"65.763,36",
Albert-Schweitzer-Familienwerk Brandenburg e.V.,Teilprojekt Regionalbudget Cottbus,2010,"102.031,59",
Albert-Schweitzer-Familienwerk Brandenburg e.V.,Teilprojekt Regionalbudget Spree-Neiße,2010,"5.400,00",
Albert-Schweitzer-Familienwerk Brandenburg e.V.,Teilprojekt Regionalbudget Spree-Neiße,2010,"8.279,71",
Albert-Schweitzer-Familienwerk Brandenburg e.V.,Teilprojekt Regionalbudget Spree-Neiße,2011,"7.903,00",
"Albinus, Margit Hauskrankenpflege","Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"19.981,50",
"Albrecht + Neiss GmbH - Zustellgroßhandel von
Food und Non-Food Artikeln Neuenhagen bei Berlin","Qualifizierung in kleinen und mittleren Unternehmen -Persönlichkeitstraining und
Personalführung",2014,,"1.344,00"
"Albrecht, Heike Metallbau","Qualifizierung in kleinen und mittleren Unternehmen -Internationaler
Schweißfachmann",2014,"2.159,00",
"Albrecht, Thomas  (Organisation und Durchführung
von Personalentwicklungsmaßnahmen)","Qualifizierung in kleinen und mittleren Unternehmen - Systemische
Beratung/Prozessbegleitung",2010,,"2.989,00"
"Albrecht, Thomas  (Organisation und Durchführung
von Personalentwicklungsmaßnahmen)","Qualifizierung in kleinen und mittleren Unternehmen - Systemische Organisations-
und Personalentwicklung",2012,,"17.910,46"
Albro Versorgungstechnik GmbH,Verbundausbildung - Meßtechnik,2010,,"800,00"
Albro Versorgungstechnik GmbH,"Verbundausbildung - Anlagenmontage, Installation, Werkstoffe",2011,,"900,00"
Albro Versorgungstechnik GmbH,"Qualifizierung in kleinen und mittleren Unternehmen - Fortbildungslehrgang für
Schalthandlungen an elektrischen Anlagen",2011,,"2.104,00"
Albro Versorgungstechnik GmbH,"Verbundausbildung - technisches Zeichnen, Anlagenmontage, Installation, Werkstoff,
Messtechniken, Vorschriften, Steuerung, Kabel",2009,,"140,00"
Albro Versorgungstechnik GmbH,"Allgemeine Verbundausbildung - Vorbereitung Arbeiten unter Spannung, Montage
von Kabeln und Garnituren",2014,,"600,00"
Albro Versorgungstechnik GmbH,"Verbundausbildung - Fachausbildung zum Elektroniker für Betriebstechnik im
2. Lehrjahr",2010,,"1.400,00"
Albro Versorgungstechnik GmbH,"Verbundausbildung - technisches Zeichnen, Anlagenmontage, Installation, Werkstoff,
Meßtechniken, Vorschriften, Kabel",2010,,"1.400,00"
Albro Versorgungstechnik GmbH,"Qualifizierung in kleinen und mittleren Unternehmen - Arbeiten unter Spannung mit
Zusatzmodul",2012,,"2.506,00"
Albro Versorgungstechnik GmbH,"Verbundausbildung - technisches Zeichnen, Anlagenmontage, Werkstoffe u. a.",2012,,"2.800,00"
Albro Versorgungstechnik GmbH,"Allgemeine Verbundausbildung - Einf. E- Technik, Techn. Zeichnen, Steuerung-
Einbau Elektronik, Werkstoffbearb., Schraubstock, Werkstatt, Kabelanlagen, FL-
Anlagen, Kundenkontakt, Medientechnik",2014,,"2.900,00"
Albro Versorgungstechnik GmbH,"Qualifizierung in kleinen und mittleren Unternehmen -Qualitätsmanagement - optimale
Basis für nachhaltigen Unternehmenserfolg",2014,,"6.902,00"
Albro Versorgungstechnik GmbH,"Qualifizierung in kleinen und mittleren Unternehmen -Schaltberechtigung für
elektrische Anlagen bis 30 kV",2014,"2.224,60",
Albro Versorgungstechnik GmbH,"Allgemeine Verbundausbildung - Vorbereitung zur Schaltberechtigung,
Fachausbildung, Baugruppen-Anlagenmontagen",2014,"1.600,00",
Albro Versorgungstechnik GmbH,"Allgemeine Verbundausbildung - Grundlagen Lichtpunkte/Straßenbelag, Installation
Erdungsanlagen, Steuerungen, Blitzschutz, Prüfen von Steuerungen und Aufbau",2014,"1.500,00",
"Alburg, Sabine Wandel zu mehr Wohlbefinden",Qualifizierung in kleinen und mittleren Unternehmen -Yoga-Lehrer-Ausbildung,2014,,"1.302,00"
"Alburg, Sabine Wandel zu mehr Wohlbefinden","Qualifizierung in kleinen und mittleren Unternehmen -Beratungskompetenz
Gesundheit & Prävention, Gesundheitscoach-Fortbildung",2014,"587,40",
Alca Mobil Logistics+Service GmbH,Qualifizierung in kleinen und mittleren Unternehmen - Schulung Verkaufstraining,2011,,"768,00"
Alca Mobil Logistics+Service GmbH,"Qualifizierung in kleinen und mittleren Unternehmen - Einkauf, Auftrags- und
Rechnungsbearbeitung",2011,,"960,00"
Alca Mobil Logistics+Service GmbH,Qualifizierung in kleinen und mittleren Unternehmen - Business-English,2011,,"960,00"
Alca Mobil Logistics+Service GmbH,"Qualifizierung in kleinen und mittleren Unternehmen - Qualifizierung
Abfragemanagement, Reporting",2010,,"3.840,00"
Alca Mobil Logistics+Service GmbH,Qualifizierung in kleinen und mittleren Unternehmen -Vertriebs-/Verkaufstraining,2014,,"1.638,00"
"Alena Fleischer - Wellness und Ernährungsberaterin
Teltow",Teilprojekt Regionalbudget Potsdam-Mittelmark,2010,,"2.667,02"
Algatec Handels GmbH & Co. KG,"Qualifizierung in kleinen und mittleren Unternehmen - Grundlagen der
Betriebswirtschaftslehre und Kosten- und Leistungsrechnung",2013,,"3.500,00"
"Alice Salomon Hochschule, Hochschule für
Sozialarbeit",Bildungsscheck,2012,,"154,00"
Alisch Getränke GmbH,"Qualifizierung in kleinen und mittleren Unternehmen - Vorbereitung
Qualitätsmanagement",2012,,"5.390,00"
Alla Wutskowsky Allas Duftoase,Qualifizierung in kleinen und mittleren Unternehmen - Make Up Artist,2012,,"1.722,70"
"Allresist GmbH - Gesellschaft für chemische
Produkte zur Mikrostrukturierung mbH Strausberg","Qualifizierung in kleinen und mittleren Unternehmen - EFQM (European Foundation
for Quality Management)-Assessorentraining",2011,,"1.920,00"
"alpha 2000 GmbH - IT mit System - EDV-Berater
Leipzig","Qualifizierung in kleinen und mittleren Unternehmen - MS-Migration mit Windows
Server 2008 Active Directory",2013,,"1.541,75"
alpha blech GmbH - Feinblechbearbeitung Ziesar,Qualifizierung in kleinen und mittleren Unternehmen - Führungskräfteseminar,2013,,"6.000,00"
"Alpha Elektro-Montage GmbH, Fred Bürgelt","Qualifizierung in kleinen und mittleren Unternehmen - Excel2007/2009 Formeln und
Funktionen",2011,,"448,00"
"Alpha Elektro-Montage GmbH, Fred Bürgelt","Qualifizierung in kleinen und mittleren Unternehmen - Messtechnik und
Messverfahren in der Elektrotechnik",2013,,"644,00"
"Alpha Elektro-Montage GmbH, Fred Bürgelt",Qualifizierung in kleinen und mittleren Unternehmen - IPAF Schulungen Hebebühnen,2009,,"898,80"
"Alpha Elektro-Montage GmbH, Fred Bürgelt","Qualifizierung in kleinen und mittleren Unternehmen - Elektrische Heizungen
,Messtechnik und Messverfahren",2011,,"1.040,00"
"Alpha Elektro-Montage GmbH, Fred Bürgelt","Qualifizierung in kleinen und mittleren Unternehmen -MS Word Aufbaukurs und
Arbeiten mit großen Dokumenten, MS Excel, Messtechnik und Messverfahren u. a.",2014,,"1.750,00"
"Alpha Elektro-Montage GmbH, Fred Bürgelt","Qualifizierung in kleinen und mittleren Unternehmen - Sicherheitsschulung: Prüfung
Elektroanlagen, Prüfung Starkstrom, SPS Fachkraft, Messtechnik",2009,,"4.237,79"
"Alpha Elektro-Montage GmbH, Fred Bürgelt","Qualifizierung in kleinen und mittleren Unternehmen -Theoretische Grundlagen zum
Messpraktikum zur Prüfung nach der DIN VDE 0100-600 u. a.",2014,"781,20",
Alpha Institute S.L. GmbH Palma de Mallorca,Bildungsscheck,2011,,"500,00"
Alpha Institute S.L. GmbH Palma de Mallorca,Bildungsscheck,2011,,"500,00"
Alpha Institute S.L. GmbH Palma de Mallorca,Bildungsscheck,2011,,"500,00"
"Alpha PC - IT Systemhaus & Vertrieb in
Potsdam","Qualifizierung in kleinen und mittleren Unternehmen - Qualifizierung zum MCITP
Server Administrator und Enterprise Administrator",2010,,"2.938,83"
Alsted Metallverarbeitung GmbH Fürstenwalde,Qualifizierung in kleinen und mittleren Unternehmen - Schweißen von Aluminium,2010,,"1.056,00"
Alte Marktschenke Maik Dallmann,Teilprojekt Regionalbudget Prignitz,2011,"7.599,42",
"ALU-ME GmbH Karstädt - Aluminiumerzeugnisse
und Metallbau",Qualifizierung in kleinen und mittleren Unternehmen - Qualitätssicherung,2013,,"5.040,00"
Alzheimer-Gesellschaft Brandenburg e.V.,"Beschäftigung einer Innovationsassistentin bzw. eines Innovationsassistenten im
Bereich: Innovations-, Produktions-, Qualitäts-, Umweltmanagement",2013,"23.991,79",
"Ambrosys GmbH Gesellschaft für Management
komplexer Systeme","Beschäftigung von Werkstudierenden im Rahmen eines betrieblichen
Innovationsprojektes",2014,"7.470,00",
Ambulante Seniorenpflege,"Qualifizierung in kleinen und mittleren Unternehmen - Weiterbildung zur
Wohnbereichsleitung",2010,,"551,68"
Ambulante Seniorenpflege,"Qualifizierung in kleinen und mittleren Unternehmen - Weiterbildung zur
Pflegedienstleitung",2012,,"2.083,20"
Ambulante Seniorenpflege,"Qualifizierung in kleinen und mittleren Unternehmen - Weiterbildung
Wohnbereichsleitung",2011,,"2.206,72"
Ambulanter Pflegedienst Havel GmbH,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"17.280,00",
Ambulanter Pflegedienst Havel GmbH,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"10.235,70",
Ambulanter Pflegedienst im Oberlinhaus gGmbH,Qualifizierung in kleinen und mittleren Unternehmen - Palliativ Care Management,2013,,"2.982,00"
Ambulanter Pflegedienst Petra Hentschke,"Qualifizierung in kleinen und mittleren Unternehmen - Qualifizierung zur leitenden
Pflegefachkraft",2012,,"1.647,80"
AML GmbH Wozniak & Sohn,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"16.200,00",
AML GmbH Wozniak & Sohn,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"12.510,00",
AMM Aktionszentrum Multi Media GmbH Potsdam,"Ausbildungsplatzprogramm-Ost 2009, Kooperatives Modell",2012,,"164.118,00"
amperetta GmbH - Bootszubehörhändler Potsdam,"Beschäftigung von Werkstudierenden im Rahmen eines betrieblichen
Innovationsprojektes",2014,"4.980,00",
amperetta GmbH - Bootszubehörhändler Potsdam,"Beschäftigung von Werkstudierenden im Rahmen eines betrieblichen
Innovationsprojektes",2014,"4.067,00",
Amt Bad Wilsnack/Weisen,Teilprojekt Regionalbudget Prignitz,2010,"99.899,99",
Amt Bad Wilsnack/Weisen,Teilprojekt Regionalbudget Prignitz,2010,"30.656,34",
Amt Bad Wilsnack/Weisen,Teilprojekt Regionalbudget Prignitz,2011,"11.200,00",
Amt Falkenberg-Höhe,Teilprojekt Regionalbudget Märkisch-Oderland,2010,"6.701,16",
Amt Oder-Welse,"Transnationaler Erfahrungsaustausch zur Eindämmung der Abwanderung und
Stärkung der regionalen Branchen",2011,"274.157,07",
Amt Oder-Welse,"Transnationaler Erfahrungsaustausch zur Senkung der Arbeitslosigkeit durch
Erfahrungsaustausch zwischen dem deutsch - polnischen Wirtschaftsraum Unteres
Odertal mit seinem Nationalpark und anderen europäischen Grenzregionen",2013,"90.185,64",
Amt Schlieben für die Stadt Schlieben,Ausbildungsmesse am 14.02.2009 - Der Weg in die Zukunft - Tag der Berufe,2009,,"3.996,20"
Amt Schlieben für die Stadt Schlieben,"Ausbildungsmesse der ""Tag der Ausbildung"" am 20.02.2010",2010,,"4.000,00"
Amt Schlieben für die Stadt Schlieben,Ausbildungsmesse: Tag der Ausbildung,2011,,"4.000,00"
"Amvicu GmbH - Trainings-, Sort- und
Physiotherapiepraxis Potsdam","Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"11.232,00",
"Anatomie- und Körperwerkstatt, Praxis für
Physiotherapie Lilla Wuttich","Qualifizierung in kleinen und mittleren Unternehmen - Sektoraler Heilpraktiker,
Spiraldynamik, Chiropraktik",2012,,"1.976,80"
"Anatomie- und Körperwerkstatt, Praxis für
Physiotherapie Lilla Wuttich","Qualifizierung in kleinen und mittleren Unternehmen - Fasziendystorsionsmodell
Typaldos, angewandte Kinesiologie, Kinesio-Tape",2011,,"3.000,00"
"AnaTox GmbH & Co. KG - Industriebedarf
Fürstenwalde/Spree","Beschäftigung einer Innovationsassistentin bzw. eines Innovationsassistenten im
Bereich: Produktentwicklung, Produktvorbereitung, Design",2014,,"2.640,00"
"AnaTox GmbH & Co. KG - Industriebedarf
Fürstenwalde/Spree","Beschäftigung von Werkstudierenden im Rahmen eines betrieblichen
Innovationsprojektes",2014,,"4.944,07"
"AnaTox GmbH & Co. KG - Industriebedarf
Fürstenwalde/Spree","Beschäftigung von Werkstudierenden im Rahmen eines betrieblichen
Innovationsprojektes",2014,"3.735,00",
"Ancedis GmbH IT & Kommunikations-
Dienstleistungen","Beschäftigung von Werkstudierenden im Rahmen eines betrieblichen
Innovationsprojektes",2013,"5.602,50",
"André Hohenstein, Nadine Meyer und Manuela Zapf
GbR","NeuStart. | Gründen in Potsdam - Durchführung von 4 Ideenwerkstätten für
Gründungsinteressierte in Potsdam.",2013,"35.000,00",
"Andrea Hanschke Schmuckdesign in
Treuenbrietzen",Teilprojekt Regionalbudget Potsdam-Mittelmark,2010,,"3.628,98"
"Andrea Renée Oswald, Familienzelt e.V",Qualifizierung in kleinen und mittleren Unternehmen - Kalifornische Massage,2010,,"756,00"
Andreas Klinke AK Consulting,"Qualifizierung in kleinen und mittleren Unternehmen - Einführung von
Energiemanagementsystemen",2010,,"22.680,00"
Andreas Klinke AK Consulting,"Qualifizierung in kleinen und mittleren Unternehmen - Passivhäuser richtig planen,
errichten und vermarkten",2009,,"24.000,00"
Andreas Köhnke MKM Bau Marienfließ,"Qualifizierung in kleinen und mittleren Unternehmen - Qualitätsmanagement und
Personalentwicklung",2013,,"2.800,00"
"Andreas Koschenz, Steinmetzbetrieb","Verbundausbildung - Fachausbildung zum Steinmetz, 2. Lehrjahr",2009,,"260,00"
Andreas Plikat (Autokontor),Teilprojekt Regionalbudget Prignitz,2011,"6.600,00",
"Andreas Rau, Projektmanagement","Qualifizierung in kleinen und mittleren Unternehmen - Qualitätsmanager,
Qualitätsauditor",2009,,"2.058,00"
"Andreas Roy Sales Consulting
Unternehmenscoaching",Qualifizierung in kleinen und mittleren Unternehmen - Bildungsmanager,2012,,"1.106,00"
"Andreas Roy Sales Consulting
Unternehmenscoaching","Qualifizierung in kleinen und mittleren Unternehmen - Sprachkompetenzerweiterung
Englisch & Handelslehre",2012,,"1.448,49"
Andreas Werthschützky Dipl.-Ing. Architektur (TU),"Qualifizierung in kleinen und mittleren Unternehmen - Energieberater für
Wohngebäude (BAFA)",2010,,"1.808,80"
"Andreas Wilke Ingenieurbüro für Bauphysi k und
Baukonstruktion GmbH","Qualifizierung in kleinen und mittleren Unternehmen -Fachplaner für vorbeugenden
Brandschutz",2014,,"2.348,50"
"Andrick, Gundel, Massagetherapeutin",Qualifizierung in kleinen und mittleren Unternehmen - Massage Therapeut,2010,,"1.192,00"
"AneCom AeroTest GmbH - Triebwerks-und
Gasturbinenindustrie Wildau","Qualifizierung in kleinen und mittleren Unternehmen - Contract- u. Claimmanagement
Prokalschulung u. a.",2012,,"12.210,80"
"AneCom AeroTest GmbH - Triebwerks-und
Gasturbinenindustrie Wildau","Qualifizierung in kleinen und mittleren Unternehmen - Methoden der
Arbeitsvorbereitung, Angewandte Methoden der Betriebsfestigkeit, Erweiterung der
ANSYS Workbench Funktionalität mittels Scripting in APDL u. a.",2013,,"14.045,50"
"Anett & Detlef Schwär GbR - Feinkostläden
(Kleinhandel) Heideland","Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"11.931,30",
"Anett Loyda, medizinische Kosmetikerin",Qualifizierung in kleinen und mittleren Unternehmen - Energetische Kosmetikerin,2012,,"2.823,46"
"Angelique Kellenberger, Training  & Coaching",Qualifizierung in kleinen und mittleren Unternehmen - Personal Coach,2012,,"3.000,00"
"Angermünder Bildungswerk zur Förderung des
Handwerks und des Mittelstandes e.V.","Qualifizierung in kleinen und mittleren Unternehmen - Angebeotsentwicklung,
Kommunikation, Führungskräftetraining",2013,,"13.848,62"
"Angermünder Bildungswerk zur Förderung des
Handwerks und des Mittelstandes e.V.",ProdA - Heranführen an den Hauptschulabschluss 2010,2012,,"23.116,34"
"Angermünder Bildungswerk zur Förderung des
Handwerks und des Mittelstandes e.V.",Qualifizierungsinitiative Uckermark - Schaffung eines Qualifizierungsnetzwerks,2014,,"76.712,81"
"Angermünder Bildungswerk zur Förderung des
Handwerks und des Mittelstandes e.V.",Schulische und berufsvorbereitende Ausbildung von schulmüden Jugendlichen.,2010,,"151.500,74"
