Begünstigte/r,Maßnahmebezeichnung,Jahr der Bewilligung / Jahr der Restzahlung,Bewilligte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
airkom Anlagenbau & Service GmbH,"Qualifizierung in kleinen und mittleren Unternehmen -Intensiv-Seminar an
Wärmepumpen, Kälte- und Klimaanlagen (Kat. I)",2014,,"966,00"
airkom Anlagenbau & Service GmbH,"Qualifizierung in kleinen und mittleren Unternehmen - Internationaler
Schweißfachmann",2012,,"1.750,00"
airkom Druckluft GmbH,Qualifizierung in kleinen und mittleren Unternehmen - Qualifizierung Lagermanager,2011,,"1.160,00"
airkom Druckluft GmbH,"Qualifizierung in kleinen und mittleren Unternehmen - Kältetechnik - Grundlehrgang
und Aufbaulehrgang",2011,,"2.688,00"
airkom Druckluft GmbH,"Qualifizierung in kleinen und mittleren Unternehmen - Sicherheits-Certifikat-
Contractoren (SCC) -Schulung für operativ tätige Führungskräfte und operativ tätige
Mitarbeiter",2012,,"1.200,50"
"Akademie Damp GmbH - Lehrinstitut Physikalische
Therapie und Sportmedizin",Bildungsscheck,2012,,"495,00"
Akademie der Gesundheit Berlin/Brandenburg e.V.,Bildungsscheck,2012,,"280,00"
Akademie der Gesundheit Berlin/Brandenburg e.V.,Bildungsscheck,2012,,"280,00"
Akademie der Gesundheit Berlin/Brandenburg e.V.,Bildungsscheck,2012,,"455,00"
Akademie der Gesundheit Berlin/Brandenburg e.V.,Bildungsscheck,2012,,"455,00"
Akademie für den Heilmittelbereich Beate Riehl,Bildungsscheck,2011,,"241,50"
"Akademie für ganzheitliche Lebens- u. Heilweisen
GmbH & Co KG Haan",Bildungsscheck,2010,,"500,00"
Akademie für Gesundheits- und Sozialberufe gGmbH,Bildungsscheck,2012,,"500,00"
Akademie für Gesundheits- und Sozialberufe gGmbH,Bildungsscheck,2012,,"500,00"
Akademie für Gesundheits- und Sozialberufe gGmbH,Bildungsscheck,2012,,"500,00"
Akademie für Gesundheits- und Sozialberufe gGmbH,Bildungsscheck,2012,,"500,00"
Akademie für Gesundheits- und Sozialberufe gGmbH,Bildungsscheck,2012,,"1.000,00"
Akademie für Handrehabilitation GmbH & Co. KG,Bildungsscheck,2011,,"350,00"
Akademie für Handrehabilitation GmbH & Co. KG,Bildungsscheck,2010,,"500,00"
Akademie für Handrehabilitation GmbH & Co. KG,Bildungsscheck,2011,,"500,00"
Akademie für kognitives Training Hedwig Ladner,Bildungsscheck,2012,,"472,50"
Akademie für kognitives Training Hedwig Ladner,Bildungsscheck,2013,,"472,50"
Akademie für Sozial- und Gesundheitsberufe Beelitz,Erstausbildung zum Altenpfleger/zur Altenpflegerin,2012,,"117.633,86"
Akademie für Sozial- und Gesundheitsberufe Beelitz,Erstausbildung zum Altenpfleger/zur Altenpflegerin,2013,,"122.210,58"
Akademie für Sozial- und Gesundheitsberufe Beelitz,Erstausbildung zum Altenpfleger/zur Altenpflegerin,2010,,"150.995,00"
Akademie für Sozial- und Gesundheitsberufe Beelitz,Erstausbildung zum Altenpfleger/zur Altenpflegerin,2011,,"170.729,00"
Akademie für Sozial- und Gesundheitsberufe GmbH,Bildungsscheck,2011,,"210,00"
Akademie für Sozial- und Gesundheitsberufe GmbH,Bildungsscheck,2010,,"245,00"
Akademie für Sozial- und Gesundheitsberufe GmbH,Bildungsscheck,2010,,"245,00"
Akademie für Sozial- und Gesundheitsberufe GmbH,Bildungsscheck,2011,,"245,00"
Akademie für Sozial- und Gesundheitsberufe GmbH,Bildungsscheck,2010,,"315,00"
Akademie für Sozial- und Gesundheitsberufe GmbH,Bildungsscheck,2013,,"315,00"
Akademie für Sozial- und Gesundheitsberufe GmbH,Bildungsscheck,2011,,"490,00"
