Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Amt Kleine Elster,Erweiterungserschließung GWG Massen (GIP),2009,2011,"519.590,25 €","519.590,25 €"
Amt Lebus,"Digitalisierung von analog vorliegenden FNP und B-Plänen sowie
Klarstellungssatzungen im Verantwortungsbereich der Amtsverwalt.",2010,,"8.669,15 €",
Amt Lenzen-Elbtalaue,"Konzeption und Aufbau eines Infrastrukturknotens und eines
Geoportals einschließlich Datenaufbereitung",2011,2012,"12.971,00 €","12.971,00 €"
Amt Märkische Schweiz,"Konzeption und Aufbau eines Infrastrukturknotens und eines
Geoportals einschließlich Geodatenaufbereitung",2013,2014,"16.055,74 €","16.055,74 €"
Amt Nennhausen,"Herstellung einer B+R; P+R-Anlage, eines Wendekreises
sowieVorplatzgestaltung am Haltepunkt Buschow - Südseite",2011,2014,"368.454,86 €","368.454,86 €"
Amt Neuhardenberg,Ausbau Bahnhofsumfeld Seelow-Gusow,2010,2014,"589.309,88 €","589.309,88 €"
Amt Neustadt (Dosse),"Ergänzung der IT-Ausstattung an der Prinz-von-Homburg-Schule
Neustadt (Dosse)",2013,2014,"38.490,78 €","38.490,78 €"
Amt Neuzelle,"Herstellung einer B+R und P+R-Anlage, Bushaltestellen
sowieVorplatzgestaltung am Haltepunkt Neuzelle",2011,2015,"639.370,20 €","639.370,20 €"
Amt Neuzelle,"Konzeption und Aufbau eines Infrastrukturknotens und eines
Geoportals einschließlich Geodatenaufbereitung",2013,,"8.829,80 €",
Amt Oder-Welse,"Erweiterung eines bestehenden Infrastrukturknotens und eines
Geoportals einschl. ergänzender Geodatenaufbereitung",2012,,"0,00 €",
Amt Oder-Welse,"Konzeption und Aufbau eines Infrastrukturknotens und eines
Geoportals einschließlich Geodatenaufbereitung",2010,2011,"37.166,68 €","37.166,68 €"
Amt Ortrand,Einbau eines zentralen Lüftungsgerätes,2009,2011,"30.172,66 €","30.172,66 €"
Amt Ortrand,Errichtung einer Wärmepumpe,2013,,"60.278,01 €",
Amt Peitz,"Datenerhebung und -aufbereitung des analogen Stadtkartenwerkes
sowie XPlanungskonforme Erfassung von Daten der Bauleitplanung",2010,,"50.707,65 €",
Amt Plessa,"Digitalisierung von Plänen der komm. Bauleitplanung und XPlan-
konforme Aufbereitung sowie Bereitstellung der Daten im Internet",2010,2014,"5.310,97 €","5.310,97 €"
Amt Scharmützelsee,"Abbruch und Flächenentsiegelung in der ehemaligen Kaserne Bad
Saarow",2008,2010,"535.641,87 €","535.641,87 €"
Amt Schlaubetal,Aufbringung Rekultivierungsschicht Deponie Müllrose,2010,,"0,00 €",
Amt Schlaubetal,"XPlanungskonforme Erfassung von Daten der Bauleitplanung, durch
Erzeugen von Rasterbildern und Thematischer Vektorisierung",2013,,"13.539,82 €",
Amt Schlieben,"Konzeption und Aufbau eines Infrastrukturknotens und eines
Geoportals einschl. XPlanungskonformer Geodatenaufbereitung",2012,2014,"13.137,60 €","13.137,60 €"
Amt Schradenland,"XPlanungskonforme Digitalisierung von
Bauleitplanungsdaten,Bestandsplänen, weiteren Unterlagen u.
Bereitstell. als Dienste",2012,2014,"48.783,81 €","48.783,81 €"
Amt Seelow-Land,XPlanungskonforme Geodatenaufbereitung des Amtes Seelow-Land,2013,2014,"6.370,57 €","6.370,57 €"
