Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"Gemeinschaftsarztpraxis Dr. med. Wolfgang und Tobias
Wende","Modernisierung einer Praxis für Allgemeinmedizin sowie Schaffung
eines barrierefreien Zugangs",2012,2014,"16.139,00 €","16.139,00 €"
GEMTEC GmbH,Beschäftigung eines Innovationsassistenten,2008,2010,"25.000,00 €","25.000,00 €"
GEMTEC GmbH,"Entwicklung eines Ortungsverfahrens zur Personenverfolgung auf der
Grundlage elektromagnetischer Wellenimpedanz",2008,2011,"134.300,00 €","134.300,00 €"
GEMTEC GmbH,"Erweiterung einer Betriebsstätte zur Herstellung von industriellen
Prozess-Steuerungen",2007,2010,"80.000,00 €","80.000,00 €"
GEMTEC GmbH,"Erweiterung einer Betriebsstätte zur Herstellung von industriellen
Prozess-Steuerungen",2008,2014,"416.000,00 €","416.000,00 €"
Genesis GmbH,Errichtung einer Betriebsstätte der Erlebnisgastronomie,2008,2011,"925.000,00 €","925.000,00 €"
Genesis GmbH,"Errichtung einer Wärmerückgewinnungsanlage, eines
Nahwärmenetzes sowie der ganzheitlichen Steuerung und Regelung",2014,2014,"25.909,00 €","25.909,00 €"
Genius Entwicklungsgesellschaft mbH,"Messeteilnahme ""INTERSCHUTZ 2010"" in Leipzig",2010,2011,"1.850,00 €","1.850,00 €"
"Genrich, Karin",Modernisierung einer Betriebsstätte des Einzelhandels mit Bekleidung,2013,,"0,00 €",
Geoinformation und Vermessung Derksen König GbR,"Analyse Markterweiterungspotential, Erweiterung des Absatz marktes,
Erschließung neuer Zielgruppen",2008,2009,"50.000,00 €","50.000,00 €"
Geoinformation und Vermessung Derksen König GbR,Entwicklung und Bereitstellung eines Geoportal-Templates,2010,2010,"23.968,00 €","23.968,00 €"
GEOkomm INFRA e.V. Der Vorstand,"Aufbau des Netzwerkes GEOkomm Infrastruktur und Durchführung
gemeinsamer Projekte im Bereich Marketing",2012,,"205.704,00 €",
GEOkomm INFRA e.V. Der Vorstand,"Aufbau des Netzwerkes GEOkomm Infrastruktur und Durchführung
gemeinsamer Projekte im Bereich Marketing",2012,,"34.296,00 €",
geomecon GmbH,"Beschäftigung eines Innovationsassistenten im Bereich Innovations-,
Produkt- und Umweltmanagement",2008,2010,"17.730,00 €","17.730,00 €"
geomecon GmbH,"Entwicklung eines numerischen rissmechanischen Analyse-
werkzeuges für die geomechanische Anwendung",2009,2012,"289.300,00 €","289.300,00 €"
"Geo-Office Gesellschaft für graphische Datenverarbeitung
und Vermessung GmbH","Messeteilnahme: ""INTERGEO 2008"" in Bremen",2008,2009,"6.160,00 €","6.160,00 €"
"Gerätetechnik Brieselang GmbH Elektromechanik und
Elektronik",Erweiterung einer Betriebsstätte des Maschinenbaus,2008,,"0,00 €",
"Gerike, Regina",Errichtung einer Betriebsstätte des Einzelhandels mit Bekleidung,2010,2012,"6.756,00 €","6.756,00 €"
"Gerike, Regina","Erweiterung und Modernisierung einer Betriebsstätte des
Einzelhandels mit Damenbekleidung",2013,2014,"2.523,00 €","2.523,00 €"
"Gerlich, Guido",Erweiterung einer Betriebsstätte zur Metallbe- und Verarbeitung,2008,2009,"28.250,00 €","28.250,00 €"
German E-Cars Research & Development GmbH,e-SolCar (Verbundvorhaben),2011,,"1.602.600,00 €",
Germania Brauerei GmbH,Beratungsleistungen zur Qualitätssicherung von Bierspezialitäten,2009,2011,"33.000,00 €","33.000,00 €"
Germania Technik Brandenburg GmbH,"Errichtung einer Betriebsstätte zur Instandhaltung, Reparatur und
Umbau von Flugzeugen und Triebwerken",2010,,"3.094.800,00 €",
Geschichts- und Heimatverein Gusow-Platkow e. V.,Ausstattung des Museums Platkow für den Bereich Archäologie,2014,,"5.985,70 €",
Geschichts- und Heimatverein Gusow-Platkow e. V.,"Ausstattungsgegenstände zur Ausstellung ""70 Jahre Ende des 2.
Weltkrieges"" des Museums Platkow",2014,,"3.570,00 €",
"Geschwentner, Peter",Erweiterung einer Betriebsstätte des metallverarbeitenden Handwerks,2008,2010,"120.000,00 €","120.000,00 €"
"Geschwister Noack OHG Gasthaus und Hotel
Spreewaldeck",Erweiterung eines Hotels,2008,2010,"15.000,00 €","15.000,00 €"
Gesellschaft f.Montan-u.Bautechnik mbH (GMB),green MiSSiON,2010,,"947.800,00 €",
Gesellschaft für Abfall-Aufbereitung Beeskow GmbH,Errichtung einer Nahwärmeleitung vom BHKW zu den Büro- containern,2009,,"0,00 €",
Gesellschaft für Ökologie und Wasserwirtschaft mbH,"Beschäft. 2 Innov.assistenten im Bereich Technologiemarketing;
Umweltmanagement; Produktentwickl./Produktvorbereitung/Design",2009,2012,"39.050,00 €","39.050,00 €"
gesine.net AG,"Messeteilnahme ""EXPOPHARM 2009"" in Düsseldorf",2009,2011,"6.410,00 €","6.410,00 €"
Gestamp Umformtechnik GmbH,"Innovationen durch integrale Prozessführung in der Warmumformung
im Werk Ludwigsfelde",2011,,"781.563,00 €",
GET Gesellschaft für Environmental Technologies mbH,"Biogaspilotprojekt ""Märkischer Fermenter""",2008,,"0,00 €",
getemed Medizin- und Informationstechnik AG,"Beschäftigung von 2 Innovationsassistenten im Bereich
Produktentwicklung einschließlich Produktvorbereitung und Design",2007,2009,"42.780,00 €","42.780,00 €"
getemed Medizin- und Informationstechnik AG,"Messeteilnahme ""MEDICA 2013"" in Düsseldorf",2013,2014,"5.640,00 €","5.640,00 €"
getemed Medizin- und Informationstechnik AG,Telemedizin bei Vorhofflimmern (TMV),2012,2013,"27.030,00 €","27.030,00 €"
getemed Medizin- und Informationstechnik AG,"Verbundvorhaben ""SaPiMa/ PhysioGate""",2009,,"1.171.900,00 €",
GF Messtechnik GmbH,"Erweiterung einer Betriebsstätte zur Entwicklung, Bau und Vertrieb von
optischen 3D-Mess-Systemen",2007,2014,"272.370,00 €","272.370,00 €"
"GfOP Neumann und Partner Gesellschaft für
Organisation u. Programmierung mbH",Einbau einer Wärmepumpenanlage,2010,2011,"20.993,00 €","20.993,00 €"
GHD Gesellschaft für Handel und Dienstleistung mbH,"Beratung zur Weiterentwicklung des Unternehmenskonzeptes, zur
Erstellung von Marktanalysen, Rechnungswesen/Controlling",2008,2011,"10.120,00 €","10.120,00 €"
GHI Formwork GmbH,"Entwicklung einer Vertriebsorganisation; Markterschließung durch
Strukturierung, Standardisierung und Analytik",2008,2011,"14.970,00 €","14.970,00 €"
GHW Recyclinghof GmbH,"Beratung zu weiterführenden Entwicklungskonzepten für qualitäts-
bezogene Produktion von EBS z.Unternehmenssicherung",2010,,"0,00 €",
GICON Großmann Ingenieur Consult GmbH,Errichtung einer Betriebsstätte,2007,2011,"1.205.000,00 €","1.205.000,00 €"
"Giehle, Andreas","Beratung bei der Vermarktung von spezieller Sicherungs- technik im
Ausland, speziell bei UN-Einrichtungen und NGO",2008,2010,"32.170,00 €","32.170,00 €"
"Giepen, Carina",Messeteilnahme: Potsdam Bau 2008,2008,2008,"1.130,00 €","1.130,00 €"
GIER Service GmbH,"Erweiterung einer Betriebsstätte der Gastronomie für thailändische
Gerichte",2012,2014,"48.175,00 €","48.175,00 €"
GILUPI GmbH,"Beratung und Schulung z. Problematik monoklonaler Antikörper am
Beispiel eines ausgewählten Antigens",2008,2009,"12.500,00 €","12.500,00 €"
GILUPI GmbH,Beratung zur Anbindung von Antikörpern auf Gold über Linkersysteme,2008,2009,"25.000,00 €","25.000,00 €"
GILUPI GmbH,"Beschäftigung eines 2.  Innovationsassistenten im Bereich
Produktentwicklung einschl. Produktvorbereitung u. Design",2008,2010,"27.250,00 €","27.250,00 €"
GILUPI GmbH,"Beschäftigung eines Innovationsassistenten im Bereich
betriebswirtschaftliches Management",2008,2010,"25.600,00 €","25.600,00 €"
GILUPI GmbH,"Einstellung eines fachlich qualifizierten Assistenten für die
Erschließung onkolog. Diagnostikmärkte im Ausland",2014,2014,"12.370,00 €","12.370,00 €"
GILUPI GmbH,"Entwickl. neuer Antikörper für d. Funktionalisierung eines Nano-
detektors zur Isolierung von Zellen aus dem zirkulierenden Blut",2012,,"500.000,00 €",
GILUPI GmbH,Entwicklung eines Nanosensors für Pränataldiagnostik,2007,2009,"500.000,00 €","500.000,00 €"
GILUPI GmbH,"Isolierung zirkulierender Tumorzellen aus d. Blut von Prostata-
krebspatienten mittels antikörperbeschichteten Nanodetektors",2009,2012,"492.552,00 €","492.552,00 €"
GILUPI GmbH,"Messeteiln. ""MEDICA 2013"" in Düsseldorf, ""Arab Health 2014""in Dubai;
""IASLC 2013"" in Sydney; ""PerMediCon 2014"" in Köln",2014,2014,"9.360,00 €","9.360,00 €"
GILUPI GmbH,"Messeteilnahmen: ""World CTC Berlin 2013"" in Berlin und ""ISMRC
2013"" in Paris",2014,2014,"2.500,00 €","2.500,00 €"
GKT Gummi- und Kunststofftechnik Fürstenwalde GmbH,"Messeteilnahme ""IFAT Entsorga 2010"" in München",2010,2011,"10.550,00 €","10.550,00 €"
Gladrow GmbH,"Optimierung von Arbeits- u. Ablaufprozessen zur Leist.steigerung des
Unternehmens",2008,2009,"9.000,00 €","9.000,00 €"
Glahr & Co. GmbH,Beschäftigung eines Innovationsassisten,2007,2009,"20.540,00 €","20.540,00 €"
Glahr & Co. GmbH,Messeteilnahme: Hannover Messe 2008,2008,2008,"2.460,00 €","2.460,00 €"
Glas Systems Böhm GmbH,Einbau einer Biomasseanlage,2011,,"0,00 €",
Glas Systems Böhm GmbH,"Errichtung einer Betriebsstätte zur Fertigung und Veredelung von
Sonderglasteilen",2007,2011,"118.883,00 €","118.883,00 €"
Glas Systems Böhm GmbH,Errichtung einer Biomasseanlage,2010,2011,"22.100,00 €","22.100,00 €"
"Glaser, Adelheid","Erweiterung einer Betriebsstätte des Einzelhandels mit Blumen und
Pflanzen",2010,,"0,00 €",
"Glaserei ""Am Stern"" A. Powietzka GmbH","Messeteilnahme ""Potsdam Bau 2009""",2009,2011,"1.100,00 €","1.100,00 €"
"Glass, Kurt",Erweiterung eines Wellnesshotels,2008,2010,"50.000,00 €","50.000,00 €"
"Glass, Kurt","Installation einer KWK-Anlage zur Erhöhung der Energieeffizienz im
Wellness- und Kurhotel Legde",2011,2012,"14.950,00 €","14.950,00 €"
"Glass, Kurt","Umstellung einer Betriebsstätte zur Herstellung und Vertrieb von
Wellnessprodukten",2009,,"95.000,00 €",
Glatfelter Falkenhagen GmbH,Errichtung einer Energierückgewinnungsanlage,2013,,"29.800,00 €",
Glatfelter Falkenhagen GmbH,"Erweiterung einer Betriebsstätte zur Herstellung von Haushalts-,
Hygiene- und Toilettenartikeln",2008,2013,"8.554.704,00 €","8.554.704,00 €"
Glatfelter Falkenhagen GmbH,"Technologische Weiterentwickl. des Luftlegeverfahrens und darauf
beruhende Produktinnovation zur Verbess. d. Wettbewerbsfähigkeit",2013,,"781.000,00 €",
Gleichrichterwerk Großräschen GmbH Sitz Altdöbern,"Beratung zu wirtschaftlichen, finanziellen, personalwirtschaftl. und
organisatorischen Problemen",2008,2010,"10.000,00 €","10.000,00 €"
Globus Support GmbH,"Messeteilnahme ""ITB 2013"" in Berlin",2013,2014,"3.090,00 €","3.090,00 €"
GLOVA GmbH,"Teilnahme an der Messe ""InnoTrans 2010"" in Berlin",2009,2011,"2.100,00 €","2.100,00 €"
"GlucoMetrix Produktions-, Vertriebs- und Service GmbH
Brandenburg","Entwicklung einer innovativen Technologie von rekombinantemInsulin
mit höherer pharmazeutischer Qualität",2008,2011,"489.500,00 €","489.500,00 €"
"GlucoMetrix, NIB & Non Invasive Diagnostic GmbH","Entwicklung eines ""Non invasiven Blutzuckermessgerätes"" aufder
Basis von Quantenkaskadenlaser",2009,2013,"500.000,00 €","500.000,00 €"
GMAC Financial Services GmbH,"Errichtung einer Betriebsstätte zur Erbringung von Call- und Service-
Center-Aktivitäten",2009,,"0,00 €",
"GMT Gesellschaft für metallurgische Technologie- u.
Softwareentwicklung mbH","Beschäftigung eines Innovationsassistenten im Bereich
Prod.entwicklung, Produktvorbereitung, Design; Techn.marketing",2010,2012,"26.200,00 €","26.200,00 €"
"GMT Gesellschaft für metallurgische Technologie- u.
Softwareentwicklung mbH","Messeteilnahme ""Hannover Messe 2014"" in Hannover",2014,2015,"1.920,00 €","1.920,00 €"
Göde & Sohn GmbH,"Messeteilnahme ""Potsdam Bau 2009""",2009,2011,"1.950,00 €","1.950,00 €"
Golden Frozen Logistik GmbH,"Ber.z. Vorbereitung der Zertifizierung nach DIN EN ISO 9001:2000
Logistik und IFS (International Food Standard) Logistik",2008,2010,"21.000,00 €","21.000,00 €"
"Göldner, Andy",Errichtung einer Betriebsstätte zur Metallbearbeitung,2008,2009,"34.500,00 €","34.500,00 €"
"Göldner-Kabitzsch, Martina",Beratung zum Markenaufbau und Umsatzsteigerung,2008,2012,"6.860,00 €","6.860,00 €"
"Göldner-Kabitzsch, Martina","Messeteilnahme ""Green Middle East 2013"" in Sharjah/Vereinigte
Arabische Emirate",2013,2014,"2.690,00 €","2.690,00 €"
GOLEM GmbH Kunst- und Baukeramik,Erweiterung einer Betriebsstätte zur Herstellung von Baukeramik,2007,,"194.642,00 €",
GOLEM GmbH Kunst- und Baukeramik,"Messeteilnahme ""Denkmal 2010"" in Leipzig",2010,2011,"2.840,00 €","2.840,00 €"
GOLEM GmbH Kunst- und Baukeramik,"Messeteilnahme ""denkmal 2014"" in Leipzig",2014,2014,"3.360,00 €","3.360,00 €"
"Golka, Ulf",Errichtung einer Betriebsstätte für Schiffsreparaturen,2008,2010,"250.000,00 €","250.000,00 €"
Golm Präzisionsteile GmbH & Co. KG,"Messeteilnahme: ""ISH 2011"" in Frankfurt/Main",2011,2011,"6.420,00 €","6.420,00 €"
"Golßener Fleisch- und Wurstwaren GmbH & Co.
Produktions KG","Erweiterung einer Betriebsstätte zur Produktion von Fleisch- und
Wurstwaren sowie Feinkostsalaten",2008,2011,"3.443.286,00 €","3.443.286,00 €"
Gonis GmbH,Beschäftigung des 1. Innovationsassistenten,2009,,"0,00 €",
Goodyear Dunlop Tires Germany GmbH,Einführung eines Energiemanagementsystems nach DIN EN 16001,2012,,"0,00 €",
"Göritz, Susanne","Modernisierung einer Betriebsstätte des Einzelhandels mit
Sicherheitstechnik",2013,2014,"4.739,00 €","4.739,00 €"
"Gottschlich, Stefan",Erweiterung einer Betriebsstätte für die Dachdeckerei,2011,2012,"20.108,00 €","20.108,00 €"
"Götze, Petra",Erweiterung eines Hotels,2008,2009,"14.446,00 €","14.446,00 €"
GP Günter Papenburg AG,Rezirkulation der Rauchgase im Einsatz an der Asphalt-Recycling,2011,,"227.500,00 €",
GP Innovationsgesellschaft mbH,"Entwicklung einer automatischen Flexdüse für ein emissionsfreies
Verfahren zur Oberflächenbehandlung gekrümmter Flächen",2007,2009,"56.900,00 €","56.900,00 €"
GP Innovationsgesellschaft mbH,"Messeteilnahme: ""Glasstec 2008"" in Düsseldorf",2008,2008,"2.460,00 €","2.460,00 €"
Grabo GmbH,"Beschäftigung eines Innovationsassistenten in der Produkt-
entwicklung",2008,2010,"21.600,00 €","21.600,00 €"
"Gräflich zu Lynarsche Schloßverw. GbR
Hotelbetriebsges. Schloß Lübben GmbH",Erweiterung eines Hotels,2009,2011,"1.225.000,00 €","1.225.000,00 €"
"Gränz, Daniel",Erweiterung einer Betriebsstätte für Tischlerei- und Schreinerarbeiten,2013,2014,"9.257,00 €","9.257,00 €"
"Gränzer, Rainer",Erweiterung eines Kaffeehauses mit Ausschank und Gastronomie,2012,2012,"28.497,00 €","28.497,00 €"
"Granzow, Eberhard",Errichtung einer Betriebsstätte der Kanalreinigung,2007,2008,"240.000,00 €","240.000,00 €"
Greenblade GmbH,"Errichtung einer Betriebsstätte zur Herstellung und Entwicklung von
Rotorblättern",2008,,"0,00 €",
GREIBO-Chemie GmbH,"Beratung zur Optimierung der Entwicklungs- und
Produktionsprogramme",2011,2012,"11.200,00 €","11.200,00 €"
GREIBO-Chemie GmbH,Beratung zur Unternehmensnachfolge,2007,,"0,00 €",
GREIBO-Chemie GmbH,Entwicklung von Polyesterpolyolen unter Nutzung natürlicherÖle,2008,2010,"120.651,00 €","120.651,00 €"
GREIBO-Chemie GmbH,"Erweiterung einer Betriebsstätte zur Entwicklung, Herstellung und
Vertrieb von chemisch-technischen Spezialproduktionen",2008,2010,"18.300,88 €","18.300,88 €"
GRIAG Glasrecycling AG,Entwicklung von CRT-Glas-Produkten,2010,,"0,00 €",
GridLab GmbH,"Entwicklung einer Work Sample als Komponente eines Technischen
Assessment Centers",2013,,"50.100,00 €",
Grieben Holz GmbH,Erweiterung einer Betriebsstätte zur Produktion von Schnittholz,2007,2008,"27.000,00 €","27.000,00 €"
Gröditzer Kurbelwelle Wildau GmbH,Erweiterung einer Betriebsstätte zur Herstellung von Großkurbelwellen,2008,,"0,00 €",
Gronenfelder Werkstätten gGmbH,Umbau Gebäude im Wildpark Frankfurt (Oder),2008,2010,"264.057,00 €","264.057,00 €"
"Grünberg, Ulf",Erweiterung einer Bäckerei und Konditorei,2012,2014,"48.771,00 €","48.771,00 €"
Gründerzentrum Fachhochschule Eberswalde (NO),Förderung der unternehmerischen Selbstständigkeit an Hochschulen,2008,2013,"126.026,86 €","126.026,86 €"
"Grünewald, Peter",Errichtung einer Betriebsstätte des Tourismus,2008,2009,"38.700,00 €","38.700,00 €"
GSG Baubeschläge GmbH,"Begleitende Beratung zur Erarbeitung eines Markterschließungs-
konzeptes sowie dessen Umsetzung",2008,2009,"18.750,00 €","18.750,00 €"
GSG Baubeschläge GmbH,"Entwicklung einer modularen Mehrfachverriegelung mit neuartiger
Drückerbetätigung",2009,2012,"17.324,00 €","17.324,00 €"
GSG Baubeschläge GmbH,"Erweiterung einer Betriebsstätte zur Herstellung von Schlössern und
Beschlägen aus unedlen Metallen",2008,,"0,00 €",
GSG Gransee Stahlbau GmbH,Erweiterung einer Betriebsstätte des Stahl- und Leichtmetallbaus,2007,2008,"116.400,00 €","116.400,00 €"
GTB Bahntechnik GmbH,"INDUSI-Triebfahrzeugeinrichtung mit Schnittstellenanpassungund
neuer PZB-Fahrzeugmagnet für Regionalbahnen",2009,,"48.400,00 €",
gte Brandschutz AG Vorstand,"Beratung und Schulung der Mitarbeiter zur Einführung von neuer
Software (abas-Business-Software)",2008,2009,"22.860,00 €","22.860,00 €"
GUBBEMED INTERNATIONAL GmbH,"Entwicklung einer neuen Generation von LED-Operationsleuchten -
""GubbeLED""",2009,2013,"311.894,00 €","311.894,00 €"
Gubener Wasser- und Abwasserzweckverband,"Datenerhebung und -aufbereitung für die Medien Trinkwasser und
Abwasser, incl. Aufbau eines Geodatenservers / Geodatenportals",2009,2014,"122.958,67 €","122.958,67 €"
"GUMA GmbH Gesellschaft f. Umwelttechnik,Messtechnik
& Analytik","Diversifizierung einer Betriebsstätte zur Erbringung von Architektur-
und Ingenieurbürodienstleistungen",2008,2011,"18.747,00 €","18.747,00 €"
"Gummelt, Silke",Errichtung von Ferienwohnungen,2008,2009,"176.500,00 €","176.500,00 €"
Günter Teich & Sohn GmbH,"Modernisierung einer Betriebsstätte zur Be-/Verarbeitung von
Natursteinen",2013,2014,"49.595,00 €","49.595,00 €"
Günter Ziegenbalg & Junior GmbH,Errichtung einer gastronomischen Einrichtung,2011,2011,"44.102,00 €","44.102,00 €"
"Günzel Medical Consulting und Development UG
(haftungsbeschränkt)","Beratung und Durchführung einer Zulassung/Zertifizierung zweier
Medizinprodukte in Russland",2011,2012,"16.020,00 €","16.020,00 €"
"Günzel Medical Consulting und Development UG
(haftungsbeschränkt)","Beratung zur Zertifizierung/Zertifizierung zweier Geräte zur
Trinkwasseraufbereitung in Russland",2011,2012,"11.400,00 €","11.400,00 €"
"Günzel Medical Consulting und Development UG
(haftungsbeschränkt)","Messeteilnahmen: ""practica 2010"" in Bad Orb;""Mediz. Wochen 2010""
in Baden Baden; ""Int. Symp Herzfrequenzvariabilität 2010""Halle",2010,2011,"6.310,00 €","6.310,00 €"
"Gut Hesterberg, Fleisch- und Wurstwaren
Vertriebsgesellschaft GmbH & Co. KG","Beratung/Schulung zum Kommunikationsmanagement sowie zur
Markteinführung neuer Produkte aus eigener Entwicklung/Produktio",2008,2009,"24.240,00 €","24.240,00 €"
"Gutenmorgen, Birgit",Errichtung eines BHKWs Typ Giese Energator GB 20-45,2014,,"5.000,00 €",
"Gutsche, Alexander","Errichtung einer Betriebsstätte zur Herstellung von Metall-und
Kunststoffformteilen der spanenden Fertigung",2009,2012,"14.000,00 €","14.000,00 €"
"Gutwenger, Bähr und Koy GbR Hotel am See B-G-K
Hotelbetriebs mbH",Erweiterung eines Hotels,2009,2013,"1.057.500,00 €","1.057.500,00 €"
GWE pumpenboese GmbH,Erweiterung einer Betriebsstätte zur Herstellung von Kunststoff- rohren,2010,2014,"116.931,00 €","116.931,00 €"
