Name des Begünstigten -  beneficiary name;Bezeichnung des Vorhabens - operation name;Zusammenfassung des Vorhabens - operation summary;Beginns des Vorhabens - operation start date;Ende des Vorhabens  - operation end date;Gesamtbetrag der förderfähigen Ausgaben des Vorhabens - total eligible expenditure allocated to the operation;Unions-Kofinanz-ierungs-satz  pro Prioritätsachse - Union co-financing rate;Postleitzahl des Vorhabens - operation postcode;Land -country;Bezeichnung der Interventionskategorie-  name of category of intervention
Gothaer Werkzeugbau Bardasch GmbH;2015 TIZ 0310;Errichtung einer Produktionshalle für das Unternehmen;05.08.2015;31.12.2015;250.000,00 €;80%;99867;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Greenandfriends e. K. Inh. Janett Schwarz;2015 TIZ 0338;bauliche Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.09.2015;30.06.2016;76.000,00 €;80%;7743;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
GRINTECH GmbH;2015 FE 9011;Entwicklung von GRIN-Linsen und GRIN-Hybridsystemen hoher Transmission für den UV-Spektralbereich;01.06.2016;31.05.2019;317.671,12 €;80%;7745;Deutschland;062 - Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU
GRINTECH GmbH;2016 TIZ 0027;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;04.02.2016;31.12.2017;200.000,00 €;80%;7745;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Große Fahrt Weimar KG;2015 AWF 0063;"Teilnahme an der internationalen Messe ""Leipziger Buchmesse"" vom 17.03.2016 - 20.03.2016 in Leipzig/Deutschland sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache";20.12.2015;20.03.2016;13.000,00 €;80%;99425;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
Grübel KG - Ideen in Kunststoff;2016 EEB 0078;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen Grübel KG;01.07.2016;30.10.2016;12.600,00 €;80%;99891;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
GSAB Elektrotechnik GmbH;2016 AWF 0012;Teilnahme an der internationalen Messe ICCI 2016 vom 27.04.2016 bis 29.04.2016 in Istanbul/Türkei sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;20.01.2016;29.04.2016;13.000,00 €;80%;99718;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
GSAB Elektrotechnik GmbH;2016 AWF 0013;Kontaktanbahnung im Ausland;20.01.2016;31.12.2016;1.600,00 €;80%;99718;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
GSAB Elektrotechnik GmbH;2016 AWF 0073;Kontaktanbahnung im Ausland;18.03.2016;31.10.2016;1.600,00 €;80%;99718;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
GSP Lüftungstechnik GmbH;2016 EEB 0021;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für die GSP Lüftungstechnik GmbH;15.03.2016;30.04.2016;8.587,50 €;80%;36456;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
GSP Lüftungstechnik GmbH;2016 EEB 0113;Durchführung einer Energieeffizienzberatung (Projektbegleitung) für das Unternehmen GSP Lüftungstechnik GmbH;01.06.2016;31.08.2016;8.587,50 €;80%;36456;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
GTH Galvanotechnik Hainich GmbH;2016 EEB 0103;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen GTH Galvanotechnik Hainich GmbH;01.06.2016;30.09.2016;10.624,94 €;80%;99820;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
