Begünstigte,Bezeichnung des Vorhabens,öffentliche Beteiligung(EU+nationale Kofinanzierung),Status - G genehmigt - A ausbezahlt
EPCOS OHG,Betriebliches Forschungs- und Entwicklungsprojekt,"763.179,00",A
EPCOS OHG,Betriebliches Forschungs- und Entwicklungsprojekt,"767.500,00",A
EPCOS OHG,ESF cross-financing,"58.180,50",A
EPCOS OHG,ESF cross-financing,"59.918,96",A
EPCOS OHG,ESF cross-financing,"38.469,70",A
EPCOS OHG,ESF cross-financing,"52.223,70",A
EPCOS OHG,ESF cross-financing,"19.643,69",A
EPCOS OHG,Innovationsdienstleistung für Unternehmen,"4.900,00",A
EPCOS OHG,Innovationsdienstleistung für Unternehmen,"4.042,70",A
Erich Falschegger,Innovationsdienstleistung für Unternehmen,"3.920,00",A
Erne Fittings GmbH,ESF cross-financing,"6.601,70",A
Erne Fittings GmbH,ESF cross-financing,"7.810,60",A
Erne Fittings GmbH,ESF cross-financing,"7.144,34",A
Erne Fittings GmbH,Innovationsdienstleistung für Unternehmen,"560,00",A
Ertl & Groß OG,ESF cross-financing,"8.700,00",A
Ertl & Groß OG,Innovationsdienstleistung für Unternehmen,"1.760,00",A
ESG Elektro Service GmbH,Innovationsdienstleistung für Unternehmen,"7.800,00",A
ESTET Stahl- und Behälterbau GmbH,Innovationsdienstleistung für Unternehmen,"20.000,00",A
ESTET Stahl- und Behälterbau GmbH,ESF cross-financing,"6.652,50",A
ESTET Stahl- und Behälterbau GmbH,ESF cross-financing,"6.109,70",A
ESTET Stahl- und Behälterbau GmbH,ESF cross-financing,"10.275,90",A
ESTET Stahl- und Behälterbau GmbH,ESF cross-financing,"8.654,21",A
ESTET Stahl- und Behälterbau GmbH,ESF cross-financing,"7.339,44",A
ESTET Stahl- und Behälterbau GmbH,Innovationsdienstleistung für Unternehmen,"800,00",A
ESTET Stahl- und Behälterbau GmbH,Innovationsdienstleistung für Unternehmen,"773,48",A
ESTET Stahl- und Behälterbau GmbH,Innovationsdienstleistung für Unternehmen,"2.275,00",A
ESTET Stahl- und Behälterbau GmbH,Innovationsdienstleistung für Unternehmen,"10.260,00",A
Estyria Naturprodukte GmbH,ESF cross-financing,"1.750,00",A
Etivera Etikettenproduktions GmbH,Unternehmensinvestition mit Innovationsbezug,"178.229,85",A
EU-Regionalmanagement Obersteiermark West,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"42.840,00",A
EPCOS OHG,Innovationsdienstleistung für Unternehmen,"4.042,70",A
Erich Falschegger,Innovationsdienstleistung für Unternehmen,"3.920,00",A
Erne Fittings GmbH,ESF cross-financing,"6.601,70",A
Erne Fittings GmbH,ESF cross-financing,"7.810,60",A
Erne Fittings GmbH,ESF cross-financing,"7.144,34",A
Erne Fittings GmbH,Innovationsdienstleistung für Unternehmen,"560,00",A
Ertl & Groß OG,ESF cross-financing,"8.700,00",A
Ertl & Groß OG,Innovationsdienstleistung für Unternehmen,"1.760,00",A
ESG Elektro Service GmbH,Innovationsdienstleistung für Unternehmen,"7.800,00",A
ESTET Stahl- und Behälterbau GmbH,Innovationsdienstleistung für Unternehmen,"20.000,00",A
ESTET Stahl- und Behälterbau GmbH,ESF cross-financing,"6.652,50",A
ESTET Stahl- und Behälterbau GmbH,ESF cross-financing,"6.109,70",A
ESTET Stahl- und Behälterbau GmbH,ESF cross-financing,"10.275,90",A
ESTET Stahl- und Behälterbau GmbH,ESF cross-financing,"8.654,21",A
ESTET Stahl- und Behälterbau GmbH,ESF cross-financing,"7.339,44",A
ESTET Stahl- und Behälterbau GmbH,Innovationsdienstleistung für Unternehmen,"800,00",A
ESTET Stahl- und Behälterbau GmbH,Innovationsdienstleistung für Unternehmen,"773,48",A
ESTET Stahl- und Behälterbau GmbH,Innovationsdienstleistung für Unternehmen,"2.275,00",A
ESTET Stahl- und Behälterbau GmbH,Innovationsdienstleistung für Unternehmen,"10.260,00",A
Estyria Naturprodukte GmbH,ESF cross-financing,"1.750,00",A
Etivera Etikettenproduktions GmbH,Unternehmensinvestition mit Innovationsbezug,"178.229,85",A
EU-Regionalmanagement Obersteiermark West,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"42.840,00",A
EU-Regionalmanagement Obersteiermark West,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"302.831,00",A
EU-Regionalmanagement Oststeiermark,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"318.532,11",A
EU-Regionalmanagement Süd-West-Steiermark,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"210.051,82",A
EUROTRANSLINE Internationale Speditions- u. Transport-Ges.m.b.H.,Innovationsdienstleistung für Unternehmen,"10.200,00",A
EUROTRANSLINE Internationale Speditions- und Transport-Ges.m.b.H.,ESF cross-financing,"8.744,40",A
EUROTRANSLINE Internationale Speditions- und Transport-Ges.m.b.H.,Innovationsdienstleistung für Unternehmen,"4.800,00",A
EUROTRANSLINE Internationale Speditions- und Transport-Ges.m.b.H.,Innovationsdienstleistung für Unternehmen,"3.330,00",A
EUROTRANSLINE Internationale Speditions- undTransport-Ges.m.b.H.,ESF cross-financing,"7.772,50",A
Evelyn Götz,ESF cross-financing,"1.896,00",A
Evelyn Götz,ESF cross-financing,"3.000,00",A
Evelyn Götz,Innovationsdienstleistung für Unternehmen,"6.000,00",A
EVK DI Kerschhaggl GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"157.694,00",A
EVK DI Kerschhaggl GmbH,Innovationsdienstleistung für Unternehmen,"4.160,00",A
exthex GmbH,Innovationsdienstleistung für Unternehmen,"4.840,00",A
eyetea.biz GmbH,Innovationsdienstleistung für Unternehmen,"3.400,00",A
F.Url & Co GmbH,ESF cross-financing,"1.458,00",A
F.Url & Co GmbH,ESF cross-financing,"3.240,00",A
FARINA Mühlen GmbH,ESF cross-financing,"1.575,00",A
Feiner GmbH,ESF cross-financing,"4.479,36",A
Feiner GmbH,Innovationsdienstleistung für Unternehmen,"550,00",A
Feistritztal BetriebsGmbH.,Projekt zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"18.398,88",A
Feldbacher Fruit Partners GmbH,ESF cross-financing,"9.240,00",A
Feldbacher Fruit Partners GmbH,ESF cross-financing,"3.750,00",A
EU-Regionalmanagement Oststeiermark,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"318.532,11",A
EU-Regionalmanagement Süd-West-Steiermark,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"210.051,82",A
EUROTRANSLINE Internationale Speditions- u. Transport-Ges.m.b.H.,Innovationsdienstleistung für Unternehmen,"10.200,00",A
EUROTRANSLINE Internationale Speditions- und Transport-Ges.m.b.H.,ESF cross-financing,"8.744,40",A
EUROTRANSLINE Internationale Speditions- und Transport-Ges.m.b.H.,Innovationsdienstleistung für Unternehmen,"4.800,00",A
EUROTRANSLINE Internationale Speditions- und Transport-Ges.m.b.H.,Innovationsdienstleistung für Unternehmen,"3.330,00",A
EUROTRANSLINE Internationale Speditions- undTransport-Ges.m.b.H.,ESF cross-financing,"7.772,50",A
Evelyn Götz,ESF cross-financing,"1.896,00",A
Evelyn Götz,ESF cross-financing,"3.000,00",A
Evelyn Götz,Innovationsdienstleistung für Unternehmen,"6.000,00",A
EVK DI Kerschhaggl GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"157.694,00",A
EVK DI Kerschhaggl GmbH,Innovationsdienstleistung für Unternehmen,"4.160,00",A
exthex GmbH,Innovationsdienstleistung für Unternehmen,"4.840,00",A
eyetea.biz GmbH,Innovationsdienstleistung für Unternehmen,"3.400,00",A
F.Url & Co GmbH,ESF cross-financing,"1.458,00",A
F.Url & Co GmbH,ESF cross-financing,"3.240,00",A
FARINA Mühlen GmbH,ESF cross-financing,"1.575,00",A
Feiner GmbH,ESF cross-financing,"4.479,36",A
Feiner GmbH,Innovationsdienstleistung für Unternehmen,"550,00",A
Feistritztal BetriebsGmbH.,Projekt zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"18.398,88",A
Feldbacher Fruit Partners GmbH,ESF cross-financing,"9.240,00",A
Feldbacher Fruit Partners GmbH,ESF cross-financing,"3.750,00",A
Feldbacher Fruit Partners GmbH,ESF cross-financing,"1.750,00",A
Feldbacher Fruit Partners GmbH,Innovationsdienstleistung für Unternehmen,"13.800,00",A
Ferk Metallbau GmbH & Co. KG,Innovationsdienstleistung für Unternehmen,"3.695,70",A
FHL Messtechnik GmbH,Innovationsdienstleistung für Unternehmen,"12.495,00",A
Figureform Wilfinger GmbH,Innovationsdienstleistung für Unternehmen,"7.200,00",A
FiONiS GmbH,Innovationsdienstleistung für Unternehmen,"3.424,00",A
Firewall Systems Mautner KEG,Innovationsdienstleistung für Unternehmen,"8.100,00",A
Fliesen Lechner GmbH,ESF cross-financing,"978,00",A
Fliesen Lechner GmbH,Innovationsdienstleistung für Unternehmen,"675,00",A
Florian Lugitsch KG,Innovationsdienstleistung für Unternehmen,"10.500,00",A
Florian Lugitsch KG,Innovationsdienstleistung für Unternehmen,"2.500,00",A
Florian Lugitsch KG,ESF cross-financing,"29.543,40",A
Florian Lugitsch KG,ESF cross-financing,"4.562,50",A
Florian Lugitsch KG,Innovationsdienstleistung für Unternehmen,"6.250,00",A
Florian Lugitsch KG,Innovationsdienstleistung für Unternehmen,"12.650,00",A
FMT Industrieservice GmbH,Unternehmensinvestition mit Innovationsbezug,"377.273,54",A
Franz Gady GmbH,ESF cross-financing,"8.880,00",A
"Franz Gady GmbH, Gady Gesellschaft m.b.H., Gady Handelsgesellschaft
m.b.H.",Innovationsdienstleistung für Unternehmen,"17.750,00",A
Franz Großschädl Stahlgroßhandel GmbH,Unternehmensinvestition in umweltfreundliche Produkte/Verfahren,"60.582,78",A
Franz Maier Gesellschaft m.b.H.,Unternehmensinvestition mit Innovationsbezug,"452.000,00",A
Franz Maier Gesellschaft m.b.H.,Unternehmensinvestition mit Innovationsbezug,"20.030,00",A
Franz Salmhofer GmbH,Unternehmensinvestition mit Innovationsbezug,"39.920,00",A
Franz Schweiger Stahl- und Alubau GmbH,Innovationsdienstleistung für Unternehmen,"4.061,04",A
Feldbacher Fruit Partners GmbH,Innovationsdienstleistung für Unternehmen,"13.800,00",A
Ferk Metallbau GmbH & Co. KG,Innovationsdienstleistung für Unternehmen,"3.695,70",A
FHL Messtechnik GmbH,Innovationsdienstleistung für Unternehmen,"12.495,00",A
Figureform Wilfinger GmbH,Innovationsdienstleistung für Unternehmen,"7.200,00",A
FiONiS GmbH,Innovationsdienstleistung für Unternehmen,"3.424,00",A
Firewall Systems Mautner KEG,Innovationsdienstleistung für Unternehmen,"8.100,00",A
Fliesen Lechner GmbH,ESF cross-financing,"978,00",A
Fliesen Lechner GmbH,Innovationsdienstleistung für Unternehmen,"675,00",A
Florian Lugitsch KG,Innovationsdienstleistung für Unternehmen,"10.500,00",A
Florian Lugitsch KG,Innovationsdienstleistung für Unternehmen,"2.500,00",A
Florian Lugitsch KG,ESF cross-financing,"29.543,40",A
Florian Lugitsch KG,ESF cross-financing,"4.562,50",A
Florian Lugitsch KG,Innovationsdienstleistung für Unternehmen,"6.250,00",A
Florian Lugitsch KG,Innovationsdienstleistung für Unternehmen,"12.650,00",A
FMT Industrieservice GmbH,Unternehmensinvestition mit Innovationsbezug,"377.273,54",A
Franz Gady GmbH,ESF cross-financing,"8.880,00",A
"Franz Gady GmbH, Gady Gesellschaft m.b.H., Gady Handelsgesellschaft
m.b.H.",Innovationsdienstleistung für Unternehmen,"17.750,00",A
Franz Großschädl Stahlgroßhandel GmbH,Unternehmensinvestition in umweltfreundliche Produkte/Verfahren,"60.582,78",A
Franz Maier Gesellschaft m.b.H.,Unternehmensinvestition mit Innovationsbezug,"452.000,00",A
Franz Maier Gesellschaft m.b.H.,Unternehmensinvestition mit Innovationsbezug,"20.030,00",A
Franz Salmhofer GmbH,Unternehmensinvestition mit Innovationsbezug,"39.920,00",A
Franz Schweiger Stahl- und Alubau GmbH,Innovationsdienstleistung für Unternehmen,"4.061,04",A
Freiraum GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"9.760,00",A
Freiraum GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"5.525,00",A
Fresenius Kabi Austria GmbH,Innovationsdienstleistung für Unternehmen,"72.074,66",A
Fresenius Kabi Austria GmbH,Innovationsdienstleistung für Unternehmen,"11.619,92",A
FRIGOPOL Kälteanlagen GmbH,ESF cross-financing,"40.274,40",A
"FRIGOPOL Kälteanlagen GmbH, ELREHA Regelungstechnik GmbH",Innovationsdienstleistung für Unternehmen,"6.000,00",A
FRIKUS Transportlogistik GmbH,Innovationsdienstleistung für Unternehmen,"20.000,00",A
FRISSENBICHLER GesmbH,Innovationsdienstleistung für Unternehmen,"1.735,38",A
FRISSENBICHLER GesmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"4.166,86",A
Fritz Friedrich GesmbH,Innovationsdienstleistung für Unternehmen,"3.200,00",A
Frühwald Rauchfang- und Lüftungssysteme GmbH,Innovationsdienstleistung für Unternehmen,"10.800,00",A
Frutura Obst & Gemüse Kompetenzzentrum GmbH,Innovationsdienstleistung für Unternehmen,"11.700,00",A
FSSF Technotrade Computer GmbH,Innovationsdienstleistung für Unternehmen,"16.650,00",A
FSSF Technotrade Computer GmbH,Innovationsdienstleistung für Unternehmen,"6.240,00",A
Fuchshofer GmbH,Innovationsdienstleistung für Unternehmen,"12.037,50",A
Fuchshofer GmbH,Innovationsdienstleistung für Unternehmen,"6.210,00",A
Fuchshofer GmbH,Unternehmensinvestition mit Innovationsbezug,"140.795,18",A
Fuchshofer GmbH,ESF cross-financing,"7.710,20",A
Fuchshofer GmbH,Innovationsdienstleistung für Unternehmen,"800,00",A
G. Apoloner Metallbau Ges.m.b.H.,Unternehmensinvestition mit Innovationsbezug,"134.095,26",A
G. Völkl Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"6.183,76",A
G. Völkl Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"2.400,00",A
Freiraum GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"9.760,00",A
Freiraum GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"5.525,00",A
Fresenius Kabi Austria GmbH,Innovationsdienstleistung für Unternehmen,"72.074,66",A
Fresenius Kabi Austria GmbH,Innovationsdienstleistung für Unternehmen,"11.619,92",A
FRIGOPOL Kälteanlagen GmbH,ESF cross-financing,"40.274,40",A
"FRIGOPOL Kälteanlagen GmbH, ELREHA Regelungstechnik GmbH",Innovationsdienstleistung für Unternehmen,"6.000,00",A
FRIKUS Transportlogistik GmbH,Innovationsdienstleistung für Unternehmen,"20.000,00",A
FRISSENBICHLER GesmbH,Innovationsdienstleistung für Unternehmen,"1.735,38",A
FRISSENBICHLER GesmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"4.166,86",A
Fritz Friedrich GesmbH,Innovationsdienstleistung für Unternehmen,"3.200,00",A
Frühwald Rauchfang- und Lüftungssysteme GmbH,Innovationsdienstleistung für Unternehmen,"10.800,00",A
Frutura Obst & Gemüse Kompetenzzentrum GmbH,Innovationsdienstleistung für Unternehmen,"11.700,00",A
FSSF Technotrade Computer GmbH,Innovationsdienstleistung für Unternehmen,"16.650,00",A
FSSF Technotrade Computer GmbH,Innovationsdienstleistung für Unternehmen,"6.240,00",A
Fuchshofer GmbH,Innovationsdienstleistung für Unternehmen,"12.037,50",A
Fuchshofer GmbH,Innovationsdienstleistung für Unternehmen,"6.210,00",A
Fuchshofer GmbH,Unternehmensinvestition mit Innovationsbezug,"140.795,18",A
Fuchshofer GmbH,ESF cross-financing,"7.710,20",A
Fuchshofer GmbH,Innovationsdienstleistung für Unternehmen,"800,00",A
G. Apoloner Metallbau Ges.m.b.H.,Unternehmensinvestition mit Innovationsbezug,"134.095,26",A
G. Völkl Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"6.183,76",A
G. Völkl Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"2.400,00",A
G. Völkl Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"7.406,26",A
G. Völkl Gesellschaft m.b.H.; VeRo GmbH & Co KG,Unternehmensinvestition mit Forschungs-/Technologiebezug,"242.355,46",A
G.L. Pharma GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"1.483.782,31",A
G.L. Pharma GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"243.182,28",A
G.L. Pharma GmbH,ESF cross-financing,"214,00",A
G.L. Pharma GmbH,ESF cross-financing,"512,00",A
G.L. Pharma GmbH,ESF cross-financing,"27.246,66",A
G.L. Pharma GmbH,ESF cross-financing,"9.000,00",A
"Gady Gesellschaft m.b.H., Franz Gady GmbH",ESF cross-financing,"15.000,00",A
"GAMED Gesellschaft für Angewandte Mathematik und Elektronische
Datenverarbeitung mit beschränkter Haftung",Betriebliches Forschungs- und Entwicklungsprojekt,"88.441,00",A
"GAMED Gesellschaft für Angewandte Mathematik und Elektronische
Datenverarbeitung mit beschränkter Haftung",Innovationsdienstleistung für Unternehmen,"6.500,00",A
"GAMED Gesellschaft für Angewandte Mathematik und Elektronische
Datenverarbeitung mit beschränkter Haftung",Innovationsdienstleistung für Unternehmen,"5.980,00",A
GANAHL AKTIENGESELLSCHAFT,Unternehmensinvestition mit Forschungs-/Technologiebezug,"322.016,90",A
GANAHL AKTIENGESELLSCHAFT,Innovationsdienstleistung für Unternehmen,"7.200,00",A
Gänsweider Metalltechnik GmbH,ESF cross-financing,"8.809,00",A
Gartenbau Wallner GmbH,Investition zur Verbesserung der Energieeffizienz,"169.050,00",A
Gaugl Metallhandel GmbH,Innovationsdienstleistung für Unternehmen,"6.750,00",A
Gaugl Metallhandel GmbH,Unternehmensinvestition mit Innovationsbezug,"971.078,16",A
GBG Gebäude- und Baumanagement Graz GmbH,Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"552.817,67",A
GBG Gebäude und Baumanagement Graz GmbH (GBG),Projekt zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"37.795,52",A
Gebetsroither Handels GmbH,Innovationsdienstleistung für Unternehmen,"11.025,00",A
G. Völkl Gesellschaft m.b.H.; VeRo GmbH & Co KG,Unternehmensinvestition mit Forschungs-/Technologiebezug,"242.355,46",A
G.L. Pharma GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"1.483.782,31",A
G.L. Pharma GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"243.182,28",A
G.L. Pharma GmbH,ESF cross-financing,"214,00",A
G.L. Pharma GmbH,ESF cross-financing,"512,00",A
G.L. Pharma GmbH,ESF cross-financing,"27.246,66",A
G.L. Pharma GmbH,ESF cross-financing,"9.000,00",A
"Gady Gesellschaft m.b.H., Franz Gady GmbH",ESF cross-financing,"15.000,00",A
"GAMED Gesellschaft für Angewandte Mathematik und Elektronische
Datenverarbeitung mit beschränkter Haftung",Betriebliches Forschungs- und Entwicklungsprojekt,"88.441,00",A
"GAMED Gesellschaft für Angewandte Mathematik und Elektronische
Datenverarbeitung mit beschränkter Haftung",Innovationsdienstleistung für Unternehmen,"6.500,00",A
"GAMED Gesellschaft für Angewandte Mathematik und Elektronische
Datenverarbeitung mit beschränkter Haftung",Innovationsdienstleistung für Unternehmen,"5.980,00",A
GANAHL AKTIENGESELLSCHAFT,Unternehmensinvestition mit Forschungs-/Technologiebezug,"322.016,90",A
GANAHL AKTIENGESELLSCHAFT,Innovationsdienstleistung für Unternehmen,"7.200,00",A
Gänsweider Metalltechnik GmbH,ESF cross-financing,"8.809,00",A
Gartenbau Wallner GmbH,Investition zur Verbesserung der Energieeffizienz,"169.050,00",A
Gaugl Metallhandel GmbH,Innovationsdienstleistung für Unternehmen,"6.750,00",A
Gaugl Metallhandel GmbH,Unternehmensinvestition mit Innovationsbezug,"971.078,16",A
GBG Gebäude- und Baumanagement Graz GmbH,Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"552.817,67",A
GBG Gebäude und Baumanagement Graz GmbH (GBG),Projekt zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"37.795,52",A
Gebetsroither Handels GmbH,Innovationsdienstleistung für Unternehmen,"11.025,00",A
Gebetsroither Handels GmbH,Innovationsdienstleistung für Unternehmen,"7.200,00",A
Gebrüder Haider & Co Hoch- u. Tiefbau GmbH,Innovationsdienstleistung für Unternehmen,"3.521,09",A
GEDORE AUSTRIA GmbH,Unternehmensinvestition mit Innovationsbezug,"83.208,80",A
Gemeinde Grambach,Projekt zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"76.183,86",A
Gemeinde Soboth,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"30.150,00",A
Gemeinde St.Stefan ob Stainz,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"16.788,00",A
"Gemeindeverband ""Die Südsteirische Weinstraße""",Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"20.000,00",A
"Gemeindeverband ""Innovationsraum Unteres Mürztal",Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"34.944,00",A
"Gemeindeverband ""Kleinregion Zirbitzkogel-Grebenzen""",Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"26.160,00",A
Gemeindeverband Aktive Alternativregion Südsteiermark,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"23.400,00",A
