Naziv projekta,Fond,Šifra operativnog programa,Operativni program,NUTSII,Županija,Korisnik,Opis projekta,Datum ugovaranja,Zaključni datum provedbe aktivnosti,Bespovratna sredstva,Ukupno prihvatljivi troškovi
Širenje usluge osobne asistencije za osobe s invaliditetom Istarske županije,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,DRUŠTVO MULTIPLE SKLEROZE ISTARSKE ŽUPANIJE (34630041549),"Osobe s invaliditetom su u nepovoljnom položaju, socijalno isključene i  trajno ovisne o tuđoj pomoći prilikom obavljanja svakodnevnih životnih aktivnosti. Zbog nedostatnih kapaciteta za zbrinjavanje istih  pogoršava se kvaliteta njihovih života. Cilj projekta je Osigurati podršku neovisnom življenju i socijalnom uključenju u zajednicu osoba s najtežom vrstom i stupnjem invaliditeta, osoba s intelektualnim teškoćama i mentalnim oštećenjima i povećati broj zaposlenih osoba u nepovoljnom položaju na tržištu rada njihovim zapošljavanjem kao osobnih asistenata na području Istarske županije.",29.10.2015,15.11.2016,"498.985,34 kn","498.985,34 kn"
Širenje usluge osobne asistencije,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Udruga distrofičara Krapina (13391202745),"Usluga osobne asistencije predstavlja pružanje potpore osobama s najtežom vrstom i stupnjem invaliditeta u provođenju aktivnosti
svakodnevnog življenja i samozbrinjavanja. Širenjem usluge osobne asistencije veći broj korisnika, osoba s najtežim stupnjem i vrstom
invaliditeta, dobiva mogućnost unapređenja kvalitete življenja, socijalnog uključivanja u zajednicu te sprječavanja institucionalizacije. Pružatelji usluge su osobe u nepovoljnom položaju na tržištu rada. Usluga se pruža 80 sati mjesečno prema unaprijed utvrđenom planu korisnika, a o pruženoj usluzi se vodi evidencija rada.",29.10.2015,28.10.2016,"563.169,06 kn","563.169,06 kn"
Širenje usluge osobne asistencije za osobe s najtežim stupnjem invaliditeta,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Udruga osoba s mišićnom distrofijom Primorsko-goranske županije (71954510830),"Usluga osobne asistencije predstavlja pružanje potpore osobama s najtežom vrstom i stupnjem invaliditeta u provođenju aktivnosti
svakodnevnog življenja i samozbrinjavanja. Širenjem usluge osobne asistencije veći broj korisnika, osoba s najtežim stupnjem i vrstom
invaliditeta, dobiva mogućnost unapređenja kvalitete življenja, socijalnog uključivanja u zajednicu te sprječavanja institucionalizacije. Pružatelji usluge su osobe u nepovoljnom položaju na tržištu rada. Usluga se pruža 80 sati mjesečno po korisniku prema unaprijed utvrđenom planu korisnika, a o pruženoj usluzi se vodi evidencija.",29.10.2015,28.10.2016,"743.644,00 kn","743.644,00 kn"
Informatizacija i  stručne edukacije u centrima za socijalnu skrb (ISECSS),Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Ministarstvo socijalne politike i mladih (15351583880),"Projekt će doprinijeti daljnjem razvoju efikasnih i uključivih socijalnih usluga radi unaprjeđenja mogućnosti zapošljavanja i aktivnijeg sudjelovanja u životu zajednice skupina u nepovoljnom položaju. Navedeno će se postići kroz: nabavu informatičke opreme za potrebe Centara te organizaciju i provedbu 4 edukacije za radnike Centara. Tijekom posljednjeg desetljeća sustav socijalne skrbi prolazi intenzivne reforme u sklopu kojih se ulagalo u informatizaciju sustava te unaprjeđenje stručnih znanja radnika. Predloženi projekt će biti nadogradnja na aktivnosti koje se u sustavu već provode.
",18.06.2015,17.06.2016,"5.172.338,50 kn","5.172.338,50 kn"
Plan provedbe za sanaciju opasnih mjesta na državnim cestama Republike Hrvatske,Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,ISTARSKA,Hrvatske ceste d.o.o. (55545787885),"Projekt predviđa izradu Plana provedbe za sanaciju opasnih mjesta na državnim cestama Republike Hrvatske.

Cilj ovog projekta, odnosno navedeni Plan definirat će opasna mjesta, te će se dati prijedloga mjera za njihovu sanaciju, odnosno smanjenje broja nezgoda. Izrađeni materijal će zatim biti podloga za razvoj daljnje projektne dokumentacije sanacije opasnih mjesta na državnim cestama.
",16.10.2015,30.06.2016,"559.300,00 kn","658.000,00 kn"
Dizajn butik hotel Rivalmare 4* ,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,ISTARSKA,"VISION društvo s ograničenom odgovornošću za turizam, putnička agencija i zastupanje (73318086520)","Projekt izgradnje dizajn butik hotela Rivalmare 4* u Novigradu predviđa izgradnju novog hotela sa elementima eko-hotela sa 12 dvokrevetnih soba i jednim  apartmanom koji će za goste biti otvoren tijekom cijele godine. Uvrštavanje mogućnosti najma bicikala te bavljenja lovnim turizmom doprinijeti će produljenju sezone za što će se koristiti brdski i električni bicikli. Pored toga, u ponudi će biti i wellness i fitness centar mjesecima van glavne sezone. Hotelski će se prostori istovremeno koristiti za tečajeve kulinarstva u suradnji s organizacijom Slow Food Istra, čije je sjedište u Novigradu.",01.08.2014,10.04.2016,"7.173.022,16 kn","12.024.625,49 kn"
Primjena inovativnih tehnologija u izolaciji bioaktivnih spojeva iz organskog otpada u proizvodnji vina,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,ISTARSKA,"Sveučilište u Zagrebu, Prehrambeno-biotehnološki fakultet (47824453867)","Cilj projekta je definirati optimalne uvjete izolacije bioaktivnih spojeva iz organskog otpada od proizvodnje vina primjenom konvencionalnih i inovativnih metoda ekstrakcije te usporediti njihovu učinkovitost.Ciljne skupine fenola izdvojiti će se postupcima pročišćavanja i frakcioniranja,te će se istražiti biološki potencijal selektiranih spojeva (smjesa/pojedinačni) primjenom in vitro/in vivo metoda.Optimizirati će se uvjeti proizvodnje praha fenolnih spojeva primjenom sušenja raspršivanjem,odrediti topljivost praha u modelnim i realnim sustavima te nutritivna i senzorska svojstva proizvoda.",16.10.2014,16.02.2016,"3.007.771,86 kn","4.227.980,00 kn"
Jačanje konkurentnosti poduzeća Anilox d.o.o. integracijom i modernizacijom poslovnih procesa ,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,ISTARSKA,"ANILOX društvo s ograničenom odgovornošću za proizvodnju grafičke opreme, grafičku obradu i konzalting (41243852327)","Rješavanjem ključnog problema nedovoljne povezanosti poslovnih procesa i zastarjelosti trenutnih IKT rješenja Anilox će osigurati otvaranje novih radnih mjesta, optimiziranje poslovanja te povećanje vlastite konkurentnosti na tržištu regije. Glavni učinci projekta su povećanje poslovnih prihoda, produktivnosti rada i kvalitete konačnog proizvoda, povećanje obima proizvodnje, smanjenje troškova pripreme i proizvodnje te smanjenje potrošnje energije. Anilox će stvoriti preduvjete za razvoj inovativnosti, proširenje kapaciteta te time osigurati svoju poziciju na tržištu.",13.08.2015,31.07.2016,"746.991,00 kn","1.067.130,00 kn"
Poboljšanje Poslovnih Procesa Uniline- triP Uniline,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,ISTARSKA,Uniline d.o.o. (74786390334),"Tvrtka UNILINE je jedna od vodećih turističkih agencija u Hrvatskoj, s oko 200 zaposlenih djelatnika u sezoni i godišnjim prihodima  od 31 milijun eura od čega je oko 85% od prodaje na stranim tržištima. Hrvatsku je tijekom 2013. godine posjetilo 11.59 milijuna turista, od čega je 360.000 koristilo usluge u organizaciji tvrtke Uniline. Tvrtka organizira ponudu hotelijera i ugostitelja, turističke aranžmane, dovodeći turiste iz inozemstva. Zbog obujma posla tvrtka ima potrebu za nabavom novih integriranih softverskih rješenja za poboljšanje poslovanja i stvaranja preduvjeta za rast kompanije.",15.01.2015,01.07.2016,"750.000,00 kn","1.082.041,96 kn"
Povećanje konkurentnosti i učinkovitosti uvođenjem integriranog ERP i CRM sustava,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,ISTARSKA,Filix d.o.o. (00706597351),"Uvođenjem modernih IKT sustava upravljanja - integriranog ERPa i CRMa, Filix će postati tehnološki lider u sektoru proizvodnje LED rasvjete u regiji. Integrirani IKT sustavi stvorit će osnovu za daljnji rast poslovanja tvrtke, širenje tržišta, rast izvoza i novo zapošljavanje, te za povećanje učinkovitosti procesa upravljanja materijalima, prodajom, distribucijom, proizvodnjom i odnosa s kupcima. Novi IKT sustavi osnažit će konkurentnu poziciju Filixa kroz povećanje učinkovitost poslovanja, jačanje kapaciteta djelatnika, te, u konačnici, povećanje zadovoljstva klijenata. ",16.01.2015,15.07.2016,"439.103,70 kn","627.291,00 kn"
Informatizacija i automatizacija proizvodnih i poslovnih procesa,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,ISTARSKA,BRAJ KOP (17754872394),"Projektom se rješavaju problemi u proizvodnim i poslovnim procesima prijavitelja te se doprinosi rješavanju problema opadanja industrijske aktivnosti, opadanja izvoza i nezaposlenosti. 
Cilj projekta je povećanje konkurentnosti sektora prerađivačke industrije, povećanje izvoza i osiguranje održivog razvoja industrije u Pazinu i Istri povećanjem tržišne konkurentnosti prijavitelja ulaganjem u informatizaciju i automatizaciju proizvodnih i poslovnih procesa prijavitelja.
Ciljne skupine su društva u prerađivačkoj industriji, a krajnji korisnik je lokalna zajednica.",10.02.2015,01.08.2015,"593.513,21 kn","847.876,02 kn"
Informatizacija proizvodnih i poslovnih procesa implementacijom programskih sustava,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,ISTARSKA,Pero & Co  (57401375514),"Projektom se rješavaju problemi u poslovanju prijavitelja te se doprinosi rješavanju problema opadanja industrijske aktivnosti, nezaposlenosti i povećanja konkurentnosti prerađivačke industrije. 
Cilj projekta je povećanje konkurentnosti prerađivačke industrije i osiguranje održivog razvoja industrije u Oprtlju i Istri povećanjem tržišne konkurentnosti prijavitelja ulaganjem u tehnološko unaprjeđenje proizvodnih i poslovnih procesa implementacijom programskih sustava. 
Ciljna skupina su društva u građevinarstvu, investitori i kooperanti, a krajnji korisnik je lokalna zajednica.


",16.02.2015,01.10.2015,"577.313,60 kn","824.733,72 kn"
Izrada studije uvođenja Europskog sustava upravljanja željezničkim prometom (ERTMS),Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,ISTARSKA,HŽ Infrastruktura d.o.o. (39901919995),"Studijom će se odrediti željezničke pruge, odnosno pojedine dionice na kojima je potrebno i opravdano izgraditi Europski sustav upravljanja željezničkim prometom (ERTMS) te odrediti postupnost (faznost) izrade tehničke dokumentacije i izvođenja radova kao i financijska sredstva potrebna za izradu tehničke dokumentacije, nabavu opreme i izvođenje radova. ",08.06.2015,30.09.2016,"4.250.000,00 kn","5.000.000,00 kn"
Izgradnja kapaciteta za programsko financiranje visokih učilišta,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,"Ministarstvo znanosti, obrazovanja i sporta (49508397045)","Svrha projekta jest omogućavanje uvođenja višegodišnjeg programskog financiranja javnih sveučilišta i JZI u RH koji se većim dijelom financiraju iz državnog proračuna. Uvođenje višegodišnjeg programskog financiranja predstavlja strukturnu reformu za čije je provođenje potrebno osigurati ekspertna znanja, ojačati stručne kapacitete dionika, otkloniti postojeće pravne prepreke te izraditi potrebne pravne i stručne podloge. Projektom se planiraju osigurati navedene pretpostavke kako bi se ostvario cilj unapređenja sustava kvalitete, upravljanja i financiranja visokog obrazovanja. ",08.06.2015,19.05.2016,"1.950.750,00 kn","2.295.000,00 kn"
Heureka - spoznajom do uspjeha,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Srednja škola Ivanec (42359743872),"Gimnazijski kurikulumi su zastarjeli i usredotočeni na reprodukciju sadržaja, a ne na ishode učenja. Projekt će omogućiti uvođenje suvremenih i inovativnih fakultativnih predmeta iz  prirodoslovlja, matematike i informatike u gimnazijsko obrazovanje te osiguranje materijalnih i kadrovskih uvjeta za njihovo izvođenje, radi povećanja kompetencija učenika potrebnih za nastavak obrazovanja. Projektnom nastavom i istraživačkim učenjem učenici će steći stručna i praktična znanja koje će doprinijeti uspjehu i cjeloživotnom obrazovanju, a nastavnici kompetencije za kvalitetno i suvremeno poučavanje.",23.10.2015,22.10.2016,"1.338.388,39 kn","1.338.388,39 kn"
Sustav odvodnje s uređajima za pročišćavanje otpadnih voda grada Poreča,Kohezijski fond,EN,Okoliš,Adriatic Croatia,ISTARSKA,ODVODNJA POREČ d.o.o.  (67294322519),"Projekt će pridonijeti strateškim ciljevima Strategije upravljanja vodama (NN 91/08), poput povećanja razine priključenosti stanovništva na javne sustave odvodnje, izgradnje uređaja za pročišćavanje otpadnih voda, unapređivanja kakvoće vode i povećavanja priključenosti na sustave javne vodoopskrbe.  Pored toga, pridonijet će i usklađivanju s pravnom stečevinom EU-a vezanom uz Okvirnu direktivu o vodama i Direktivu o pročišćavanju komunalnih otpadnih voda.",03.04.2014,11.11.2016,"370.938.227,58 kn","501.218.004,00 kn"
Projekt izgradnje dijela sustava javne odvodnje na području aglomeracije Rovinj,Kohezijski fond,EN,Okoliš,Adriatic Croatia,ISTARSKA,ODVODNJA ROVINJ-ROVIGNO  d.o.o. (47873119402),"Glavni cilj Projekta je povećanje priključenosti stanovništva na javni kanalizacijski sustav odvodnje grada Rovinja dogradnjom 2800 m nove kanalizacijske mreže u djelovima naselja  koja nemaju izgrađen kanalizaciojski sustav, izgradnja crpne stanice  i spojnog kolektora te time doprinijeti uspostavljanju jedinstvenog sustava za prikupljanje i odvodnju otpadnih voda na području aglomeracije Rovinj i njihovo pročišćavanje na UPOV Cuvi. Glavni primatelji predloženih infrastrukturnih zahvata su 7150 stalnih stanovnika i sezonski turisti na području aglomeracije Rovinj. ",03.03.2016,31.12.2016,"6.250.096,75 kn","7.353.055,00 kn"
Jačanjem kapaciteta do socijalne uključenosti,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Udruga za promicanje stvaralaštva Art studio (23004270820),"Mali OCD-i u Puli nisu profesionalizirani, imaju nedovoljne kapacitete i nemaju iskustva u upravljanju volonterima. Postoji potreba da se učinkovitije uključe u pružanje socijalnih usluga, a osnaživanje je preduvjet za to. Kroz projekt će se 10 do 15 OCD-a osnažiti za prijavu na ESF-a te za upravljanje volonterima, dok će 7 do 10 OCD-a razvijati inovativni i inkluzivni umjetnički i sportski volonterski program. Izradom priručnika za inkluzivne aktivnosti i formiranjem Mreže OCD-a za inkluzivnu zajednicu osnažit će se male OCD-e za zadovoljavanje specifičnih potreba lokalne zajednice.",29.12.2014,28.12.2015,"182.428,00 kn","182.428,00 kn"
SPEAK UP - Socijalnim dijalogom do unapređenja radnih uvjeta u sektoru cestovnog prometa,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Nezavisni cestarski sindikat (84712436363),"Cilj projekta SPEAK UP je unapređenje kvalitete i održivosti socijalnog dijaloga u sektoru cestovnog prometa RH jačanjem kapaciteta cestarskih sindikata. Aktivnosti projekta obuhvaćaju osposobljavanje članova Nezavisnog cestarskog sindikata (NCS), aktivnosti umrežavanja nacionalnih i međunarodnih cestarskih sindikata te promociju sindikalnog djelovanja. Navedenim aktivnostima unaprijedit će se socijalni dijalog u sektoru cestovnog prometa s naglaskom na dijalog NCSa i njegovih socijalnih partnera na svim razinama te dati temelji za udruživanje nacionalnih i regionalnih cestarskih sindikata.
",29.07.2015,28.07.2016,"853.264,00 kn","853.264,00 kn"
Zajedno do cilja ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,INAŠ - Sindikat naftne djelatnosti (78734140349),"Boljim razumijevanjem uloge, odgovornosti, prava i obaveza dionika socijalnog dijaloga kao i podizanjem nivoa njihovih znanja i sposobnosti moguće je očekivati učinkovitiji i kvalitetniji socijalni dijalog. Projektom „Zajedno do cilja“, razmjenom  iskustava i najboljih praksi na stručnom simpoziju, te kroz stručnu edukaciju, osigurati će se dionicima više znanja za učinkovitiju participaciju u socijalnom dijalogu u periodu dok obnašaju svoje funkcije. Ciljna skupina su sindikalni povjerenici INAŠa i drugih srodnih sindikata HURSa, članovi RV i predstavnici poslodavaca u kojima djelujemo.",27.07.2015,26.07.2016,"783.577,66 kn","783.577,66 kn"
"""3R""  (razgovor- razumijevanje- rezultat)",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,ISTARSKA,Hrvatski sindikat pošte (23353461188),"„3R“ je projekt koji ima za cilj da upornim razgovorom svih dionika socijalnog dijaloga, boljim razumijevanjem pozadine socijalnog dijaloga i fokusom na rezultate poboljša informiranost, poveća znanja, vještine i motivaciju sindikalnih povjerenika članova RV i PZNR, unaprijedi njihovu suradnju i osigura prepoznatljivost uloge sindikata u jačanju bipartitnog socijalnog dijaloga sa poslodavcem na regionalnoj razini. „3R“ je razgovor, razumijevanje i rezultat. Ciljne skupine su sindikalni povjerenici iz HSP i RSRH, predstavnici srodnih sindikata iz zemlje i inozemstva i predstavnici poslodavca.",27.07.2015,26.07.2016,"958.445,75 kn","958.445,75 kn"
