Name des Begünstigten,Bezeichnung des Vorhabens / Zusammenfassung des Vorhabens,Beginns des Vorhabens,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens  ,Unions-Kofinan-zierungssatz  pro Prioritäts-achse ,Ort des Vorhabens,Land,Bezeichnung der Interventionskategorie
Ministerium der Justiz und für Europa und Verbraucherschutz (MdJEV) - Referat IV.2,Europa im Blick IV - EU Förderungen im Land Brandenburg,11.05.2016,"441.600,00 € ",80%,"Potsdam, Stadt",Deutschland,123 Information und Kommunikation
Ministerium der Justiz und für Europa und Verbraucherschutz (MdJEV) - Referat IV.2,"Fondsübergreifende Imagekampagne (Nachfolge ""Auch ganz schön""",22.10.2015,"811.800,00 € ",80%,"Potsdam, Stadt",Deutschland,123 Information und Kommunikation
"Ministerium für Arbeit, Soziales, Frauen und Familie (MASGF)- Referat 34","Kontakt- und Beratungsstelle ""KBSplus""",22.10.2014,"890.875,00 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
Ministerium für Infrastruktur und Landwirtschaft (MIL) - Referat 21,Finanzierung von Personalkosten ,18.03.2015,"900.000,00 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
Ministerium für Wirtschaft und Energie (MWE) - Referat 13 Bescheinigungsbehörde EFRE,Finanzierung von Personalkosten ,27.02.2015,"1.110.000,00 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
Ministerium für Wirtschaft und Energie (MWE) - Referat 13 Bescheinigungsbehörde EFRE,Finanzierung von Fortbildungskosten,11.08.2015,"20.000,00 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
Ministerium für Wirtschaft und Energie (MWE) - Referat 16 Verwaltungsbehörde EFRE,ILB Drittkosten Schnittstelle efREporter III,11.04.2016,"3.800,00 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
Ministerium für Wirtschaft und Energie (MWE) - Referat 16 Verwaltungsbehörde EFRE,ILB-Drittkosten - Schnittstelle efREporter II zum Abschluss der FP 2007-2013,01.06.2016,"372.136,80 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
Ministerium für Wirtschaft und Energie (MWE) - Referat 16 Verwaltungsbehörde EFRE,Finanzierung von Personalkosten ,31.07.2015,"3.243.303,14 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
Ministerium für Wirtschaft und Energie (MWE) - Referat 16 Verwaltungsbehörde EFRE,Finanzierung von Personalkosten im ESF und EFRE Einsatz - SharePoint,19.04.2016,"535.000,00 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
