years,source,beneficiary,name_of_operation,on_finish_total_value,allocated_public_funding
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bäckerei- Konditorei Uwe Konrad
Fehmarn",A2 - Potenzialberatung,"3.000,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bäckerei Post GmbH
Barlt",A2 - Potenzialberatung,"600,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bäckerei Schlüter
Heikendorf",A2 - Potenzialberatung,"3.000,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bäckerei Speck
Kampen",A2 - Potenzialberatung,"3.000,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bäckerei Stange
Itzehoe",A2 - Potenzialberatung,"3.000,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bäckerei Werblow
Flensburg",A2 - Potenzialberatung,"3.000,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Baddesign Heizung Solar Wulff
Eutin",A2 - Potenzialberatung,"3.000,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bagela Baumaschinen GmbH & Co. KG
Kaltenkirchen",A2 - Potenzialberatung,"2.970,00",
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Baguette Bäckerei 
W. Stahmer GmbH
Schleswig",A2 - Potenzialberatung,"2.970,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Baguette Bäckerei 
W. Stahmer GmbH
Schleswig",A2 - Potenzialberatung,"2.970,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bahl GmbH Garten-, Landschafts- u. 
Schwimmteichbau
Kiebitzreihe",A2 - Potenzialberatung,"600,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Baudienst Peter Hoffmann GmbH & Co. KG
Silberstedt",A2 - Potenzialberatung,"3.000,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Baudienst Peter Hoffmann GmbH & Co. KG
Silberstedt",A2 - Potenzialberatung,"1.500,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bauunternehmen Dieter Ohlerich
Lübeck",A2 - Potenzialberatung,"3.000,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bauunternehmen Thiesen GmbH
Tarp",A2 - Potenzialberatung,"3.000,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Beethoven Apotheke 
Flensburg",A2 - Potenzialberatung,"3.000,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Behmer Oberflächentechnik
Rendsburg",A2 - Potenzialberatung,"1.728,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bendfeldt der Malerbetrieb
Scharbeutz",A2 - Potenzialberatung,"1.500,00",
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Benkel & Co. Handelsgesellschaft mbH
Oststeinbek",A2 - Potenzialberatung,"2.400,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bergers Hotel & Landgasthof
Enge-Sande",A2 - Potenzialberatung,"1.800,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bernd Reher - Westphal
Groß Rönnau",A2 - Potenzialberatung,"2.100,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bestattungsinstitut 
Jutta und Wilhelm Stührk GbR
Marne",A2 - Potenzialberatung,"900,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Betonfertigteile Frank Ripp GmbH
Sereetz",A2 - Potenzialberatung,"3.000,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"BGS GmbH
Tangstedt",A2 - Potenzialberatung,"3.000,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bildungszentrum Malepartus
Bargteheide",A2 - Potenzialberatung,"1.800,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Binckebanck GmbH
Meldorf",A2 - Potenzialberatung,"3.000,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"BioConsult SH
Husum",A2 - Potenzialberatung,"3.000,00",
